femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,incidentBeginDate,incidentEndDate,designatedArea,fipsStateCode,fipsCountyCode,placeCode,region,lastRefresh,id,source
DR-4482-CA,4482,CA,DR,2020-03-22T00:00:00.000Z,2020,Biological,COVID-19 PANDEMIC,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,Los Angeles (County),6,37,99037,9,2024-08-27T18:22:14.800Z,5333c7ee-f20d-4a70-a1a3-1e91dfbacbc8,FEMA OpenFEMA Disaster Declarations Summaries
EM-3428-CA,3428,CA,EM,2020-03-13T00:00:00.000Z,2020,Biological,COVID-19,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,Los Angeles (County),6,37,99037,9,2024-08-27T18:22:14.800Z,fd150736-88ae-43d1-874e-d0b66923b3e5,FEMA OpenFEMA Disaster Declarations Summaries
DR-4569-CA,4569,CA,DR,2020-10-16T00:00:00.000Z,2021,Fire,WILDFIRES,2020-09-04T00:00:00.000Z,2020-11-17T00:00:00.000Z,Los Angeles (County),6,37,99037,9,2024-08-27T18:22:14.800Z,ff6e2add-7db1-4ea8-b2b9-68e4beb12ef2,FEMA OpenFEMA Disaster Declarations Summaries
FM-5374-CA,5374,CA,FM,2020-09-13T00:00:00.000Z,2020,Fire,BOBCAT FIRE,2020-09-13T00:00:00.000Z,,Los Angeles (County),6,37,99037,9,2024-08-27T18:22:14.800Z,944feceb-372e-4d19-b0ad-7e7ba1c8b668,FEMA OpenFEMA Disaster Declarations Summaries
DR-4683-CA,4683,CA,DR,2023-01-14T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-12-27T00:00:00.000Z,2023-01-31T00:00:00.000Z,Los Angeles (County),6,37,99037,9,2025-03-25T15:35:55.159Z,a0f562da-b2d4-46eb-9eb4-aac432342e30,FEMA OpenFEMA Disaster Declarations Summaries
EM-3591-CA,3591,CA,EM,2023-01-09T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",2023-01-08T00:00:00.000Z,2023-01-31T00:00:00.000Z,Los Angeles (County),6,37,99037,9,2025-03-25T15:35:55.159Z,25cf60b4-85d4-4255-ac3a-76dbd51701b3,FEMA OpenFEMA Disaster Declarations Summaries
DR-4699-CA,4699,CA,DR,2023-04-03T00:00:00.000Z,2023,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-02-21T00:00:00.000Z,2023-07-10T00:00:00.000Z,Los Angeles (County),6,37,99037,9,2025-03-25T15:35:55.159Z,18222832-ab02-4903-a433-7a54126b7783,FEMA OpenFEMA Disaster Declarations Summaries
EM-3592-CA,3592,CA,EM,2023-03-10T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2023-03-09T00:00:00.000Z,2023-07-10T00:00:00.000Z,Los Angeles (County),6,37,99037,9,2025-03-25T15:35:55.159Z,a3971f09-aa30-42fb-8ad2-476fe2130951,FEMA OpenFEMA Disaster Declarations Summaries
DR-4769-CA,4769,CA,DR,2024-04-13T00:00:00.000Z,2024,Severe Storm,"SEVERE WINTER STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",2024-01-31T00:00:00.000Z,2024-02-09T00:00:00.000Z,Los Angeles (County),6,37,99037,9,2025-03-25T15:35:55.159Z,e0340ccc-0797-4470-a3da-c46e23758c1b,FEMA OpenFEMA Disaster Declarations Summaries
FM-5537-CA,5537,CA,FM,2024-09-11T00:00:00.000Z,2024,Fire,BRIDGE FIRE,2024-09-10T00:00:00.000Z,2024-09-24T00:00:00.000Z,Los Angeles (County),6,37,99037,9,2025-02-07T16:01:33.129Z,586266f2-380e-4a5d-8e94-354911390fc7,FEMA OpenFEMA Disaster Declarations Summaries
FM-5548-CA,5548,CA,FM,2024-12-10T00:00:00.000Z,2025,Fire,FRANKLIN FIRE,2024-12-10T00:00:00.000Z,2024-12-18T00:00:00.000Z,Los Angeles (County),6,37,99037,9,2025-02-07T16:01:33.129Z,ae2c69a4-9e9d-4bbc-a7e4-adecc01759f3,FEMA OpenFEMA Disaster Declarations Summaries
