femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id
DR-4482-CA,4482,CA,DR,2020-03-22T00:00:00.000Z,2020,Biological,COVID-19 PANDEMIC,1,0,1,1,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),20074,2025-09-30T00:00:00.000Z,2020030901,9,,2024-08-27T18:22:14.800Z,2614fcb5d7da21f7c2ae14dba60b163a9caed5f1,5333c7ee-f20d-4a70-a1a3-1e91dfbacbc8
EM-3428-CA,3428,CA,EM,2020-03-13T00:00:00.000Z,2020,Biological,COVID-19,0,0,1,0,2020-01-20T00:00:00.000Z,2023-05-11T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),20015,,2020030901,9,,2024-08-27T18:22:14.800Z,2ce4379b888c5911e4c54218f2b087318e3b95fa,fd150736-88ae-43d1-874e-d0b66923b3e5
DR-4569-CA,4569,CA,DR,2020-10-16T00:00:00.000Z,2021,Fire,WILDFIRES,1,0,1,1,2020-09-04T00:00:00.000Z,2020-11-17T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),20302,2020-12-16T00:00:00.000Z,2020100301,9,,2024-08-27T18:22:14.800Z,4ea48cd646b686e4b9a5029aa9bb37444aeb725a,ff6e2add-7db1-4ea8-b2b9-68e4beb12ef2
FM-5374-CA,5374,CA,FM,2020-09-13T00:00:00.000Z,2020,Fire,BOBCAT FIRE,0,0,1,1,2020-09-13T00:00:00.000Z,,,0,06,037,99037,Los Angeles (County),20289,,2020091402,9,,2024-08-27T18:22:14.800Z,f6bc5b714db9b738219f7e9bfa9d68129743242e,944feceb-372e-4d19-b0ad-7e7ba1c8b668
DR-4683-CA,4683,CA,DR,2023-01-14T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2022-12-27T00:00:00.000Z,2023-01-31T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),23004,2023-03-16T00:00:00.000Z,2023010401,9,"5,M,W,F",2025-03-25T15:35:55.159Z,ba42ec10bc2184ba2113b869af0476b83c405dd3,a0f562da-b2d4-46eb-9eb4-aac432342e30
EM-3591-CA,3591,CA,EM,2023-01-09T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",0,0,1,0,2023-01-08T00:00:00.000Z,2023-01-31T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),23002,,2023010401,9,"5,M,W,F",2025-03-25T15:35:55.159Z,6f82ecaf420896f61494d981f897f22dbc39d591,25cf60b4-85d4-4255-ac3a-76dbd51701b3
DR-4699-CA,4699,CA,DR,2023-04-03T00:00:00.000Z,2023,Severe Storm,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2023-02-21T00:00:00.000Z,2023-07-10T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),23028,2023-09-01T00:00:00.000Z,2023030901,9,"2,5,M,O,W,F",2025-03-25T15:35:55.159Z,9b46f40b11300317265a5ae952f082f95f430558,18222832-ab02-4903-a433-7a54126b7783
EM-3592-CA,3592,CA,EM,2023-03-10T00:00:00.000Z,2023,Flood,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,0,2023-03-09T00:00:00.000Z,2023-07-10T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),23021,,2023030901,9,"M,S,W,F",2025-03-25T15:35:55.159Z,6361a642492a05bf97dd5cd6cd346fabd2fb7e1e,a3971f09-aa30-42fb-8ad2-476fe2130951
DR-4769-CA,4769,CA,DR,2024-04-13T00:00:00.000Z,2024,Severe Storm,"SEVERE WINTER STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",0,0,1,1,2024-01-31T00:00:00.000Z,2024-02-09T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),24026,,2024013101,9,"5,M,W,F,T",2025-03-25T15:35:55.159Z,d7f2a1af5486238ea839d5d714e1170f03545eb9,e0340ccc-0797-4470-a3da-c46e23758c1b
FM-5537-CA,5537,CA,FM,2024-09-11T00:00:00.000Z,2024,Fire,BRIDGE FIRE,0,0,1,1,2024-09-10T00:00:00.000Z,2024-09-24T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),24150,,2024091101,9,R,2025-02-07T16:01:33.129Z,2750530dbcd81e1ca800ca265c60053386eb04fb,586266f2-380e-4a5d-8e94-354911390fc7
FM-5548-CA,5548,CA,FM,2024-12-10T00:00:00.000Z,2025,Fire,FRANKLIN FIRE,0,0,1,1,2024-12-10T00:00:00.000Z,2024-12-18T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),24204,,2024121001,9,R,2025-02-07T16:01:33.129Z,81443ceb442e3a64f01a6e1b54cf29eff1227ccb,ae2c69a4-9e9d-4bbc-a7e4-adecc01759f3
FM-5550-CA,5550,CA,FM,2025-01-08T00:00:00.000Z,2025,Fire,EATON FIRE,0,0,1,1,2025-01-07T00:00:00.000Z,,,0,06,037,99037,Los Angeles (County),25003,,2025010802,9,R,2025-01-08T22:42:11.297Z,d1b13631fbf670728d1c7fb6f5d28b89651a471d,c37993a3-052f-4caf-80e4-6e3aa408c198
FM-5549-CA,5549,CA,FM,2025-01-07T00:00:00.000Z,2025,Fire,PALISADES FIRE,0,0,1,1,2025-01-07T00:00:00.000Z,,,0,06,037,99037,Los Angeles (County),25002,,2025010801,9,R,2025-01-08T22:42:11.297Z,4cbeeb38ec62c64f35facb839330b14c36ad7d44,179d315c-87b5-458e-b7bf-7499e5a2331e
DR-4856-CA,4856,CA,DR,2025-01-08T00:00:00.000Z,2025,Fire,WILDFIRES AND STRAIGHT-LINE WINDS,1,0,1,1,2025-01-07T00:00:00.000Z,2025-01-31T00:00:00.000Z,,0,06,037,99037,Los Angeles (County),25005,2025-03-31T00:00:00.000Z,2025010805,9,"2,R",2025-03-07T17:21:36.314Z,130feab22d4a2aca466f4add1aa2414aabbe01a2,c47f94a6-e9be-4a39-a1b3-32ff6db4f7ed
FM-5551-CA,5551,CA,FM,2025-01-08T00:00:00.000Z,2025,Fire,HURST FIRE,0,0,1,1,2025-01-07T00:00:00.000Z,,,0,06,037,99037,Los Angeles (County),25004,,2025010803,9,R,2025-01-08T22:42:11.297Z,c5eeb589a2ed8f990f339e09b03c299e365163f7,9e75025b-58cd-49d8-b433-24fba4b28d53
FM-5605-CA,5605,CA,FM,2025-08-08T00:00:00.000Z,2025,Fire,CANYON FIRE,0,0,1,0,2025-08-07T00:00:00.000Z,,,0,06,037,99037,Los Angeles (County),25110,,2025080801,9,R,2025-08-08T19:42:11.470Z,512910e25e0bde818f25e418f2fd56640dd0c3e6,d300459b-021e-4611-9526-c8e7ad8c0202
