resource_id,resource_name,resource_type,address,city,latitude,longitude,source_agency,source_status
1,Fallback Fire/EMS Station 001,fire_ems,5863 Example Ave,Burbank,34.385286,-118.399083,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
2,Fallback Fire/EMS Station 002,fire_ems,6638 Example Ave,Whittier,34.001771,-118.307258,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
3,Fallback Fire/EMS Station 003,fire_ems,466 Example Ave,Torrance,33.848272,-118.490681,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
4,Fallback Fire/EMS Station 004,fire_ems,3350 Example Ave,Pasadena,33.740533,-117.834286,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
5,Fallback Fire/EMS Station 005,fire_ems,8900 Example Ave,Los Angeles,33.904914,-117.955153,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
6,Fallback Fire/EMS Station 006,fire_ems,7361 Example Ave,Lancaster,33.787292,-118.298767,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
7,Fallback Fire/EMS Station 007,fire_ems,8071 Example Ave,Glendale,34.144729,-118.087023,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
8,Fallback Fire/EMS Station 008,fire_ems,7904 Example Ave,Lancaster,33.708186,-118.744635,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
9,Fallback Fire/EMS Station 009,fire_ems,2235 Example Ave,Pasadena,34.43878,-117.83779,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
10,Fallback Fire/EMS Station 010,fire_ems,5300 Example Ave,Glendale,34.424022,-118.106373,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
11,Fallback Fire/EMS Station 011,fire_ems,9907 Example Ave,Santa Monica,34.359881,-118.10261,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
12,Fallback Fire/EMS Station 012,fire_ems,1382 Example Ave,Long Beach,34.375831,-118.245577,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
13,Fallback Fire/EMS Station 013,fire_ems,1649 Example Ave,Lancaster,34.165539,-118.39733,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
14,Fallback Fire/EMS Station 014,fire_ems,3054 Example Ave,Long Beach,34.071737,-118.176516,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
15,Fallback Fire/EMS Station 015,fire_ems,6324 Example Ave,Torrance,33.707826,-118.589963,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
16,Fallback Fire/EMS Station 016,fire_ems,2803 Example Ave,Glendale,34.495456,-118.252508,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
17,Fallback Fire/EMS Station 017,fire_ems,3007 Example Ave,Long Beach,34.00836,-118.016205,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
18,Fallback Fire/EMS Station 018,fire_ems,4022 Example Ave,Glendale,34.322696,-117.92444,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
19,Fallback Fire/EMS Station 019,fire_ems,9437 Example Ave,Whittier,34.358978,-118.708772,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
20,Fallback Fire/EMS Station 020,fire_ems,3390 Example Ave,Lancaster,34.062479,-117.854217,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
21,Fallback Fire/EMS Station 021,fire_ems,8528 Example Ave,Lancaster,34.239054,-118.637724,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
22,Fallback Fire/EMS Station 022,fire_ems,7692 Example Ave,Burbank,34.397597,-118.584797,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
23,Fallback Fire/EMS Station 023,fire_ems,5299 Example Ave,Lancaster,34.02319,-118.663521,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
24,Fallback Fire/EMS Station 024,fire_ems,4572 Example Ave,Santa Monica,34.027298,-118.280929,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
25,Fallback Fire/EMS Station 025,fire_ems,800 Example Ave,Santa Monica,34.272878,-118.320239,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
26,Fallback Fire/EMS Station 026,fire_ems,6423 Example Ave,Los Angeles,34.265067,-118.081175,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
27,Fallback Fire/EMS Station 027,fire_ems,2236 Example Ave,Pasadena,33.896098,-118.020677,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
28,Fallback Fire/EMS Station 028,fire_ems,782 Example Ave,Pomona,33.79273,-118.625839,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
29,Fallback Fire/EMS Station 029,fire_ems,5626 Example Ave,Los Angeles,33.853922,-118.688155,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
30,Fallback Fire/EMS Station 030,fire_ems,5776 Example Ave,Long Beach,34.480943,-117.96929,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
31,Fallback Fire/EMS Station 031,fire_ems,2965 Example Ave,Whittier,34.549839,-118.253178,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
32,Fallback Fire/EMS Station 032,fire_ems,5133 Example Ave,Los Angeles,34.450092,-117.897187,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
33,Fallback Fire/EMS Station 033,fire_ems,2895 Example Ave,Pomona,34.424826,-118.524991,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
34,Fallback Fire/EMS Station 034,fire_ems,4994 Example Ave,Los Angeles,34.28878,-117.974187,LA County / HIFLD style,simulated_fallback_due_download_missing_or_unavailable
