event_id,event_date,hazard_type,source_agency,source_status,latitude,longitude,severity_metric,severity_value,location_name
4482,2020-01-20,Biological,FEMA,real_downloaded,,,declaration,COVID-19 PANDEMIC,Los Angeles (County)
3428,2020-01-20,Biological,FEMA,real_downloaded,,,declaration,COVID-19,Los Angeles (County)
4569,2020-09-04,Fire,FEMA,real_downloaded,,,declaration,WILDFIRES,Los Angeles (County)
5374,2020-09-13,Fire,FEMA,real_downloaded,,,declaration,BOBCAT FIRE,Los Angeles (County)
4683,2022-12-27,Flood,FEMA,real_downloaded,,,declaration,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Los Angeles (County)
3591,2023-01-08,Flood,FEMA,real_downloaded,,,declaration,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",Los Angeles (County)
4699,2023-02-21,Severe Storm,FEMA,real_downloaded,,,declaration,"SEVERE WINTER STORMS, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",Los Angeles (County)
3592,2023-03-09,Flood,FEMA,real_downloaded,,,declaration,"SEVERE WINTER STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",Los Angeles (County)
4769,2024-01-31,Severe Storm,FEMA,real_downloaded,,,declaration,"SEVERE WINTER STORMS, TORNADOES, FLOODING, LANDSLIDES, AND MUDSLIDES",Los Angeles (County)
5537,2024-09-10,Fire,FEMA,real_downloaded,,,declaration,BRIDGE FIRE,Los Angeles (County)
5548,2024-12-10,Fire,FEMA,real_downloaded,,,declaration,FRANKLIN FIRE,Los Angeles (County)
5550,2025-01-07,Fire,FEMA,real_downloaded,,,declaration,EATON FIRE,Los Angeles (County)
5549,2025-01-07,Fire,FEMA,real_downloaded,,,declaration,PALISADES FIRE,Los Angeles (County)
4856,2025-01-07,Fire,FEMA,real_downloaded,,,declaration,WILDFIRES AND STRAIGHT-LINE WINDS,Los Angeles (County)
5551,2025-01-07,Fire,FEMA,real_downloaded,,,declaration,HURST FIRE,Los Angeles (County)
5605,2025-08-07,Fire,FEMA,real_downloaded,,,declaration,CANYON FIRE,Los Angeles (County)
