landslide_id,county,zone_name,landslide_type,confidence,activity,year_mapped,area_sqkm_est,latitude,longitude,source_agency,source_status
FALLBACK_LSI_0001,Los Angeles,Palos Verdes Peninsula,deep-seated landslide,high,active,1983,2.9796,33.7786832,-118.40911019999999,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0002,Los Angeles,Palos Verdes Peninsula,earth flow,high,active,2004,0.8616,33.765329200000004,-118.379847,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0003,Los Angeles,Palos Verdes Peninsula,rock slide,high,unknown,1990,2.7674,33.774717599999995,-118.37618699999999,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0004,Los Angeles,Palos Verdes Peninsula,shallow landslide,high,active,1980,2.3583,33.7953628,-118.41744320000001,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0005,Los Angeles,Santa Monica Mountains,shallow landslide,moderate,dormant,1977,1.7737,34.08141880000001,-118.7483468,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0006,Los Angeles,Santa Monica Mountains,rock slide,moderate,dormant,2018,1.0368,34.1220724,-118.73738139999998,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0007,Los Angeles,Palos Verdes Peninsula,debris flow,moderate,dormant,1994,1.8317,33.7668288,-118.4376522,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0008,Los Angeles,Palos Verdes Peninsula,debris flow,moderate,dormant,2025,2.0694,33.7628046,-118.36540640000001,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0009,Los Angeles,San Gabriel Mountains,debris flow,moderate,dormant,2019,4.5142,34.26790140000001,-118.05808280000001,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0010,Los Angeles,Angeles National Forest,rock slide,moderate,active,2016,1.4113,34.374394,-118.24575039999999,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0011,Los Angeles,Santa Monica Mountains,deep-seated landslide,moderate,dormant,2012,2.7785,34.13005360000001,-118.63639699999999,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0012,Los Angeles,Palos Verdes Peninsula,rock slide,low,historic,2016,1.4755,33.750363199999995,-118.42630240000001,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0013,Los Angeles,Angeles National Forest,debris flow,low,dormant,2002,3.1883,34.42730160000001,-118.2817116,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0014,Los Angeles,Santa Monica Mountains,deep-seated landslide,high,historic,1991,3.2958,34.108047,-118.60293899999999,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0015,Los Angeles,San Gabriel Mountains,rock slide,low,historic,1997,1.8027,34.2608958,-117.98365340000001,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0016,Los Angeles,San Gabriel Mountains,deep-seated landslide,low,dormant,1996,1.4707,34.2396976,-118.1129508,California Geological Survey style,simulated_fallback_due_ssl_download_failure
FALLBACK_LSI_0017,Los Angeles,Palos Verdes Peninsula,debris flow,low,historic,2021,3.4876,33.7514834,-118.4160398,California Geological Survey style,simulated_fallback_due_ssl_download_failure
