svi_id,location_name,total_population,svi_score,poverty_pct,unemployment_pct,age65_pct,disability_pct,latitude,longitude,source_agency,source_status
06037000001,Los Angeles County fallback SVI tract 1,3383,34.16,16.9,4.5,15.5,6.6,33.640364,-118.35183199999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000002,Los Angeles County fallback SVI tract 2,3304,62.42,13.2,14.9,16.0,18.8,33.404162,-117.76096600000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000003,Los Angeles County fallback SVI tract 3,2488,43.42,14.6,3.1,22.9,18.6,34.748241,-118.829869,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000004,Los Angeles County fallback SVI tract 4,6601,65.32,36.5,5.7,11.2,10.7,34.735416,-117.71074100000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000005,Los Angeles County fallback SVI tract 5,3627,54.67,34.0,3.1,8.0,11.9,33.910218,-118.47674500000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000006,Los Angeles County fallback SVI tract 6,1739,48.8,13.3,14.4,7.4,14.4,34.418668000000004,-118.784868,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000007,Los Angeles County fallback SVI tract 7,3344,61.53,19.7,13.9,22.8,10.3,33.669508,-118.823127,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000008,Los Angeles County fallback SVI tract 8,2805,61.68,35.9,9.9,15.1,12.1,33.737656,-118.88494600000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000009,Los Angeles County fallback SVI tract 9,4145,35.84,10.5,2.5,12.8,15.8,32.999176999999996,-118.62637500000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000010,Los Angeles County fallback SVI tract 10,6844,40.51,10.2,8.7,21.6,6.5,33.60793399999999,-118.496407,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000011,Los Angeles County fallback SVI tract 11,3554,45.5,14.9,1.9,22.8,11.1,34.569843000000006,-117.957448,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000012,Los Angeles County fallback SVI tract 12,985,45.73,37.4,5.6,5.8,10.2,32.756575,-118.03545100000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000013,Los Angeles County fallback SVI tract 13,1246,53.6,37.9,4.0,9.3,17.1,33.583188,-118.23970999999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000014,Los Angeles County fallback SVI tract 14,5159,77.81,35.6,9.3,19.0,16.9,34.733436,-118.649965,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000015,Los Angeles County fallback SVI tract 15,6652,59.05,12.0,13.5,15.7,17.8,32.82793,-117.986775,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000016,Los Angeles County fallback SVI tract 16,4019,44.94,9.8,11.5,19.3,15.1,33.231638,-118.48532499999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000017,Los Angeles County fallback SVI tract 17,2666,41.15,18.7,3.6,8.8,18.7,33.288594,-117.69682900000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000018,Los Angeles County fallback SVI tract 18,2453,54.51,24.8,4.3,11.9,13.1,34.223985,-118.33046999999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000019,Los Angeles County fallback SVI tract 19,3279,53.12,25.6,9.9,6.4,7.2,32.776428,-118.730744,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000020,Los Angeles County fallback SVI tract 20,2777,64.34,24.1,14.2,7.6,15.2,32.796069,-118.532314,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000021,Los Angeles County fallback SVI tract 21,2502,48.9,10.3,11.4,15.3,16.2,34.401922,-118.02657099999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000022,Los Angeles County fallback SVI tract 22,3579,67.47,8.0,13.9,23.2,20.6,33.821319,-118.71799700000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000023,Los Angeles County fallback SVI tract 23,5385,60.33,29.4,7.6,6.1,21.7,34.257326,-117.747578,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000024,Los Angeles County fallback SVI tract 24,3179,71.25,13.4,13.7,21.5,21.6,32.983799999999995,-118.675406,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000025,Los Angeles County fallback SVI tract 25,1946,58.28,29.6,5.8,9.7,21.7,34.468859,-117.888497,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000026,Los Angeles County fallback SVI tract 26,1085,36.12,19.0,11.3,5.3,5.9,33.9017,-118.275243,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000027,Los Angeles County fallback SVI tract 27,5549,39.3,8.3,11.0,14.6,7.2,34.315827,-118.89216099999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000028,Los Angeles County fallback SVI tract 28,865,44.13,17.3,9.4,18.6,9.0,33.154672999999995,-117.67443,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000029,Los Angeles County fallback SVI tract 29,5359,56.81,26.3,15.5,7.2,12.6,34.555865,-118.28253400000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000030,Los Angeles County fallback SVI tract 30,6480,61.55,21.4,15.7,15.0,7.5,33.772565,-118.28148900000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000031,Los Angeles County fallback SVI tract 31,5817,43.46,18.3,4.2,20.7,15.5,34.414551,-118.789823,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000032,Los Angeles County fallback SVI tract 32,3295,47.43,13.9,6.7,22.6,12.4,33.413048999999994,-118.17828,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000033,Los Angeles County fallback SVI tract 33,4957,68.19,22.3,10.2,21.7,14.5,32.89194,-117.77325099999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000034,Los Angeles County fallback SVI tract 34,5623,55.47,31.7,13.3,8.9,7.1,33.97543699999999,-118.935548,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000035,Los Angeles County fallback SVI tract 35,5185,62.49,30.8,12.3,20.0,4.2,33.274082,-118.22750599999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000036,Los Angeles County fallback SVI tract 36,4508,79.77,36.4,11.8,21.7,17.7,34.58645,-117.78294000000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000037,Los Angeles County fallback SVI tract 37,1980,73.81,31.9,11.6,23.5,5.7,33.45827,-118.679154,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000038,Los Angeles County fallback SVI tract 38,4936,44.61,21.6,5.7,8.2,4.9,33.924192,-118.09663900000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000039,Los Angeles County fallback SVI tract 39,6156,60.26,36.1,4.1,20.4,12.6,33.294883,-118.879248,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000040,Los Angeles County fallback SVI tract 40,3058,51.23,15.8,15.4,13.9,5.0,32.967888,-117.794876,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000041,Los Angeles County fallback SVI tract 41,994,57.89,4.8,12.9,21.5,20.8,33.824012,-118.29294399999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000042,Los Angeles County fallback SVI tract 42,3081,60.91,8.7,16.0,16.8,13.5,33.228077,-118.07467899999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000043,Los Angeles County fallback SVI tract 43,2563,53.9,28.2,13.5,10.4,6.7,33.01879,-117.928835,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000044,Los Angeles County fallback SVI tract 44,6982,64.54,32.1,12.7,14.3,16.7,33.574223,-117.87532900000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000045,Los Angeles County fallback SVI tract 45,2640,38.93,3.2,5.9,21.4,12.0,34.443839000000004,-118.197659,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000046,Los Angeles County fallback SVI tract 46,5680,56.63,28.2,6.3,9.9,13.0,34.787337,-117.65585300000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000047,Los Angeles County fallback SVI tract 47,5513,67.62,37.2,8.0,22.2,15.6,34.489145,-118.80480600000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000048,Los Angeles County fallback SVI tract 48,5820,66.02,31.2,5.3,20.7,15.5,33.381088999999996,-118.89451399999999,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000049,Los Angeles County fallback SVI tract 49,4242,66.86,24.4,14.3,7.1,18.5,32.83069,-118.470298,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000050,Los Angeles County fallback SVI tract 50,3352,46.4,14.8,6.5,20.3,4.5,33.279607,-117.80714800000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000051,Los Angeles County fallback SVI tract 51,1906,44.65,5.7,8.3,13.0,13.5,34.494681,-118.33049000000001,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000052,Los Angeles County fallback SVI tract 52,4196,49.04,20.5,6.9,21.8,11.1,33.701272,-118.927101,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
06037000053,Los Angeles County fallback SVI tract 53,2455,55.53,31.5,2.9,15.2,15.2,33.115496,-118.402278,LA County / CDC SVI style,simulated_fallback_due_download_missing_or_unavailable
