horizon_hour,MAE_ft,RMSE_ft,R2
1,0.09607342788151925,0.1475356376192326,0.9938881762810731
2,0.11326521788040572,0.16533695519772496,0.9923243229133965
3,0.09195759600320261,0.14956623664265262,0.9937188154947352
4,0.11929419259973784,0.17538236833462614,0.9913634282088607
5,0.10644321244446395,0.17510060481110304,0.9913912861275148
6,0.11598813012904531,0.18105961571165533,0.9907955101530456
7,0.11233368436751356,0.1765031228256611,0.991253095919276
8,0.1194507178495831,0.19662119241047146,0.9891456838574451
9,0.12681554867991618,0.20584418523156398,0.9881037604124345
10,0.1117763841849346,0.18397349349927763,0.9904976726540177
11,0.11741985928174396,0.20300619044675164,0.9884302440354554
12,0.12291395398839713,0.22189012843712505,0.9861781767604519
13,0.12553104603242649,0.21556313356869602,0.9869557178630022
14,0.12983209849119587,0.23027510493512185,0.9851150638433736
15,0.13918848633439776,0.23923049360143853,0.9839354886879674
16,0.13292859615113262,0.24161246242295226,0.9836147192718449
17,0.13628679923383835,0.23929044428418522,0.9839288886190112
18,0.14077106533321804,0.236421999385804,0.9843126218492639
19,0.14593903634822578,0.2518273064851851,0.9822026189121644
20,0.1434831835427208,0.26597962026992916,0.9801472051538686
21,0.15090078540923213,0.2717445525002835,0.9792784974604435
22,0.15414899355661543,0.2726588398268724,0.9791400262495663
23,0.16053897227361988,0.2964543218707876,0.9753415458836106
24,0.17438761016157076,0.2981814626457752,0.9750547529798089
