horizon_hour,MAE_ft,RMSE_ft,R2
1,0.0953353084463908,0.14642562363113565,0.9939797973801862
2,0.09832077259981543,0.15814143078748705,0.9929778815274447
3,0.09961924803795301,0.1603795262863146,0.9927777540987656
4,0.0997089247779132,0.16479746558704705,0.9923744603530196
5,0.10014621421505095,0.16368810891702898,0.9924768929134623
6,0.10780071465573336,0.17578833720761303,0.9913236582346688
7,0.10738831696858274,0.17193770052426044,0.9916997379238155
8,0.1081410393936198,0.18030648949298822,0.9908722332979295
9,0.11153618581913662,0.18328668620737001,0.9905682054069781
10,0.1117948361254804,0.18777902514269793,0.9901004914081033
11,0.11318305621961584,0.1889503470847613,0.9899769239903917
12,0.1180175394625112,0.19712293679224113,0.9890915337285642
13,0.12195939133968349,0.20067908459140413,0.9886948734050371
14,0.12336844964927435,0.20204494819070534,0.9885409400732178
15,0.1263557431491875,0.20803320512559087,0.9878521403286188
16,0.13192338571298265,0.21517493399923854,0.9870043328254497
17,0.13247699735033375,0.21819675527902907,0.9866373751776815
18,0.13724052528268857,0.2287354429741578,0.9853160964553187
19,0.13949728958732072,0.23528564033377128,0.9844639251640638
20,0.14530672843779086,0.2405422900229297,0.9837629243576803
21,0.1481832181192425,0.24595937335526863,0.9830243541778879
22,0.15231335679903926,0.2548634664676355,0.9817740672179721
23,0.15842084471395296,0.2626915066119615,0.9806383512611886
24,0.1617445043451216,0.2743577030793179,0.9788816081443835
