"单位","物资名称","备注","数量","序号"
"件","荒漠迷彩大衣","大安仓库","5297","1"
"件","陆干棉大衣","大安仓库","1970","2"
"件","冬执勤服","大安仓库","248","3"
"个","救生衣","大安仓库","200","4"
"根","救生绳","大安仓库","10","5"
"条","一吨沙袋","大安仓库","500","6"
"顶","帐篷","大安仓库","516","7"
"台","美的远红外取暖器","大安仓库","98","8"
"只","救生圈","大安仓库","200","9"
"张","凉席","科大鼎鑫仓库","340","10"
"床","棉被","科大鼎鑫仓库","340","11"
"套","卫星电话","三楼仓库","3","12"
"把","手灯","三楼仓库","200","13"
"把","海洋王手提灯","三楼仓库","6","14"
"台","海洋王立式灯","三楼仓库","2","15"
"把","铁锹","三楼仓库","100","16"
"件","天堂雨衣","三楼仓库","200","17"
"双","高筒胶靴","三楼仓库","200","18"
"把","天堂雨伞","三楼仓库","200","19"
"个","对讲机","三楼仓库","20","20"
"副","手套","三楼仓库","50","21"
"双","防水棉靴","三楼仓库","30","22"
"台","救生索抛投器","三楼仓库","5","23"
"个","救生衣","阁楼","23","1"
"个","救生衣","颜店仓库","170","2"
"根","救生绳","颜店仓库","10","3"
"条","一吨沙袋","阁楼","4","4"
"条","一吨沙袋","颜店仓库","496","5"
"只","救生圈","阁楼","3","6"
"只","救生圈","颜店仓库","190","7"
"个","对讲机","五楼值班室","17","8"
"个","对讲机","十五楼值班室","3","9"
"套","卫星电话","五楼值班室","2","10"
"把","海洋王手提灯","五楼值班室","6","11"
"台","海洋王立式灯","五楼值班室","2","12"
"把","铁锹","阁楼仓库","90","13"
"把","天堂雨伞","阁楼仓库","55","14"
"把","强光手电筒","阁楼仓库","104","15"
"件","雨衣","阁楼仓库","117","16"
"台","救生索抛投器","阁楼仓库","3","17"
"双","雨靴","阁楼仓库","64","18"
"张","凉席","颜店仓库","160","19"
"床","夏凉被","颜店仓库","160","20"
