edge_id,from,to,distance,danger_type,congestion,passable,road_name,instruction,polyline,strategy,variant,path_index,step_index
AM0001,N001,N003,0.034,normal,0.15,true,向东南行驶34米右转,向东南行驶34米右转,"116.326803,40.003166;116.32697,40.002888",0,default_fast,0,0
AM0002,N003,N004,0.056,normal,0.15,true,向西行驶56米左转,向西行驶56米左转,"116.32697,40.002888;116.326305,40.002861",0,default_fast,0,1
AM0003,N004,N005,0.216,normal,0.05,true,向南行驶216米左转,向南行驶216米左转,"116.326305,40.002861;116.326326,40.002711;116.326412,40.002186;116.326417,40.002046;116.326406,40.001944;116.326256,40.001596;116.326122,40.001317;116.326036,40.00122;116.325854,40.001006",0,default_fast,0,2
AM0004,N005,N006,0.179,normal,0.05,true,清华路,沿清华路向东行驶179米右转进入左侧道路,"116.325854,40.001006;116.3266,40.001016;116.327453,40.001006;116.327962,40.001021",0,default_fast,0,3
AM0005,N006,N007,0.406,normal,0.05,true,学堂路,沿学堂路向南行驶406米左转进入左侧道路,"116.327962,40.001021;116.328059,40.000276;116.328107,39.999916;116.32815,39.999589;116.328252,39.998999;116.328348,39.998157;116.328354,39.99813;116.328472,39.997363",0,default_fast,0,4
AM0006,N007,N008,0.347,normal,0.05,true,日新路,沿日新路向东行驶347米右转,"116.328568,39.997368;116.328837,39.997385;116.329818,39.997422;116.330902,39.99746;116.331776,39.997503;116.33264,39.99754",0,default_fast,0,5
AM0007,N008,N009,1.239,normal,0.19,true,中关村东路,沿中关村东路向南行驶1.2千米左转,"116.33264,39.99754;116.332667,39.997208;116.332705,39.996735;116.332715,39.996564;116.332705,39.996548;116.332586,39.996322;116.332608,39.996145;116.332624,39.995979;116.332645,39.995813;116.332683,39.995228;116.332688,39.995137;116.332694,39.994997;116.332699,39.994767;116.332747,39.993801;116.332774,39.993039;116.33278,39.992889;116.332796,39.992605;116.332806,39.992498;116.332849,39.991736;116.33286,39.99157;116.33286,39.991521;116.332908,39.990861;116.332919,39.99062;116.332924,39.990534;116.33294,39.990234;116.33294,39.990191;116.332962,39.989713;116.332973,39.989493;116.333042,39.988126;116.333075,39.987433;116.333091,39.987063;116.333096,39.986972;116.333101,39.986881;116.333118,39.986484;116.333123,39.986275",0,default_fast,0,6
AM0008,N009,N010,1.069,normal,0.05,true,北四环西路辅路,沿北四环西路辅路途径北四环中路辅路向东行驶1.1千米向左前方行驶进入主路,"116.333429,39.985819;116.334147,39.985856;116.334807,39.985894;116.334872,39.985899;116.334947,39.985899;116.33786,39.986044;116.338857,39.986098;116.339581,39.986114;116.339769,39.986125;116.340547,39.986151;116.342511,39.986232;116.343991,39.986307;116.344774,39.986355;116.345101,39.986361;116.345193,39.986366;116.345214,39.986366;116.345504,39.986377;116.345997,39.986404",0,default_fast,0,7
AM0009,N010,N011,14.209,collapse,0.472,true,北四环中路入口,沿北四环中路入口途径北四环中路、北四环东路、东四环北路向东行驶14.2千米向右前方行驶进入辅路,"116.345997,39.986404;116.346153,39.986468;116.346362,39.986554;116.348277,39.986602;116.350563,39.986677;116.355911,39.986854;116.35774,39.986913;116.359097,39.986961;116.3598,39.986983;116.36215,39.987053;116.363882,39.987106;116.364526,39.987128;116.366672,39.987187;116.367187,39.987203;116.371586,39.987316;116.373082,39.987342;116.373576,39.987369;116.376757,39.98745;116.377481,39.987487;116.378458,39.987546;116.379552,39.987578;116.380346,39.9876;116.381236,39.987643;116.383151,39.98767;116.383999,39.987691;116.384364,39.987707;116.384948,39.987723;116.385463,39.987745;116.387363,39.987788;116.387738,39.987798;116.389143,39.987825;116.38916,39.987825;116.389911,39.987863;116.390211,39.987873;116.393993,39.987997;116.397233,39.988083;116.397421,39.988083;116.397608,39.988083;116.399969,39.988142;116.402329,39.988201;116.402812,39.988206;116.403831,39.988249;116.40477,39.988281;116.405054,39.988297;116.405741,39.988319;116.406808,39.988356;116.407184,39.988367;116.40793,39.988388;116.408831,39.98841;116.409695,39.988437;116.410118,39.988453;116.410993,39.98848;116.411132,39.988485;116.412328,39.988506;116.414034,39.98856;116.415349,39.988598;116.418664,39.988705;116.419361,39.988726;116.42141,39.988775;116.427172,39.988925;116.429672,39.988989;116.43038,39.989011;116.433105,39.98908;116.433405,39.989086;116.434323,39.989113;116.43488,39.989118;116.435605,39.989145;116.436216,39.98914;116.436753,39.989123;116.437321,39.989075;116.438137,39.988978;116.439065,39.98878;116.439585,39.988635;116.440492,39.988335;116.441323,39.988034;116.44643,39.986044;116.447101,39.985755;116.447347,39.985631;116.447841,39.985384;116.448586,39.984928;116.449778,39.984166;116.45025,39.983866;116.450609,39.98363;116.452572,39.982353;116.455078,39.980701;116.457288,39.979247;116.457905,39.97884;116.460383,39.977193;116.461466,39.97648;116.462464,39.975803;116.463569,39.975053;116.463661,39.974993;116.46424,39.974602;116.46453,39.974409;116.465956,39.973497;116.467764,39.972333;116.468108,39.972113;116.468365,39.971946;116.469588,39.971153;116.469985,39.97089;116.470371,39.970632;116.472963,39.968905;116.473939,39.968261;116.47705,39.966206;116.477168,39.966131;116.477662,39.965804;116.478171,39.965466;116.480773,39.96375;116.48286,39.962285;116.483268,39.961985;116.483917,39.961523;116.484458,39.961083;116.48551,39.960161;116.485885,39.959764;116.486331,39.959297;116.486711,39.958857;116.486905,39.958621;116.487511,39.957795;116.487752,39.957425;116.487849,39.957275;116.488171,39.956728;116.488417,39.956229;116.48875,39.955505;116.488986,39.954866;116.489099,39.954512;116.489372,39.95353;116.489442,39.953198;116.48949,39.952849;116.489592,39.952195;116.489689,39.951073;116.489732,39.950355",0,default_fast,0,8
AM0010,N011,N012,0.574,congestion,0.75,true,东四环北路出口,沿东四环北路出口途径东四环北路辅路向南行驶574米左转进入主路,"116.489732,39.950355;116.48956,39.949936;116.489565,39.9494;116.489555,39.949169;116.489555,39.949105;116.489555,39.946959;116.489555,39.946288;116.489565,39.945602;116.489555,39.945457;116.489555,39.945167",0,default_fast,0,9
AM0011,N012,N013,0.927,normal,0.225,true,朝阳站路,沿朝阳站路向东行驶927米直行进入左侧道路,"116.490343,39.945055;116.49059,39.945038;116.490923,39.945017;116.491389,39.945017;116.491534,39.945023;116.493669,39.94506;116.495155,39.945189;116.495375,39.945216;116.497387,39.945425;116.499023,39.94558;116.500836,39.945757;116.501174,39.945795",0,default_fast,0,10
AM0012,N013,N014,0.533,normal,0.05,true,向东行驶533米右转,向东行驶533米右转,"116.501405,39.945827;116.501603,39.945865;116.501893,39.945891;116.502837,39.945993;116.504312,39.94616;116.505283,39.946288;116.506013,39.946385;116.506549,39.946487;116.507059,39.946573;116.507193,39.946573;116.507391,39.946525;116.507536,39.946433",0,default_fast,0,11
AM0013,N014,N015,0.111,congestion,0.4,true,向南行驶111米左转进入右岔路,向南行驶111米左转进入右岔路,"116.507536,39.946433;116.507541,39.946288;116.507547,39.946117;116.507552,39.945795;116.507563,39.94543",0,default_fast,0,12
AM0014,N015,N002,0.073,congestion,0.75,true,向东行驶73米到达目的地,向东行驶73米到达目的地,"116.507552,39.945183;116.507971,39.945178;116.508415,39.945174",0,default_fast,0,13
AM0015,N001,N016,0.034,normal,0.15,true,向东南行驶34米右转,向东南行驶34米右转,"116.326803,40.003166;116.32697,40.002888",0,via_xizhimen,0,0
AM0016,N016,N017,0.056,normal,0.15,true,向西行驶56米左转,向西行驶56米左转,"116.32697,40.002888;116.326305,40.002861",0,via_xizhimen,0,1
AM0017,N017,N018,0.216,normal,0.05,true,向南行驶216米左转,向南行驶216米左转,"116.326305,40.002861;116.326326,40.002711;116.326412,40.002186;116.326417,40.002046;116.326406,40.001944;116.326256,40.001596;116.326122,40.001317;116.326036,40.00122;116.325854,40.001006",0,via_xizhimen,0,2
AM0018,N018,N019,0.179,normal,0.05,true,清华路,沿清华路向东行驶179米右转进入左侧道路,"116.325854,40.001006;116.3266,40.001016;116.327453,40.001006;116.327962,40.001021",0,via_xizhimen,0,3
AM0019,N019,N020,0.406,normal,0.05,true,学堂路,沿学堂路向南行驶406米左转进入左侧道路,"116.327962,40.001021;116.328059,40.000276;116.328107,39.999916;116.32815,39.999589;116.328252,39.998999;116.328348,39.998157;116.328354,39.99813;116.328472,39.997363",0,via_xizhimen,0,4
AM0020,N020,N021,0.347,normal,0.05,true,日新路,沿日新路向东行驶347米右转,"116.328568,39.997368;116.328837,39.997385;116.329818,39.997422;116.330902,39.99746;116.331776,39.997503;116.33264,39.99754",0,via_xizhimen,0,5
AM0021,N021,N022,5.3,normal,0.05,true,中关村东路,沿中关村东路途径皂君庙路、大柳树路、高梁桥斜街向南行驶5.3千米向右前方行驶进入辅路,"116.33264,39.99754;116.332667,39.997208;116.332705,39.996735;116.332715,39.996564;116.332705,39.996548;116.332586,39.996322;116.332608,39.996145;116.332624,39.995979;116.332645,39.995813;116.332683,39.995228;116.332688,39.995137;116.332694,39.994997;116.332699,39.994767;116.332747,39.993801;116.332774,39.993039;116.33278,39.992889;116.332796,39.992605;116.332806,39.992498;116.332849,39.991736;116.33286,39.99157;116.33286,39.991521;116.332908,39.990861;116.332919,39.99062;116.332924,39.990534;116.33294,39.990234;116.33294,39.990191;116.332962,39.989713;116.332973,39.989493;116.333042,39.988126;116.333075,39.987433;116.333091,39.987063;116.333096,39.986972;116.333101,39.986881;116.333118,39.986484;116.333123,39.986275;116.33315,39.985813;116.33316,39.985567;116.333235,39.984306;116.333273,39.983512;116.333284,39.98326;116.3333,39.983008;116.333316,39.98267;116.333348,39.981913;116.33338,39.981302;116.333391,39.981125;116.333402,39.98091;116.333434,39.980261;116.333466,39.979575;116.333482,39.979247;116.333488,39.979167;116.333498,39.978995;116.333509,39.978748;116.333536,39.978164;116.333563,39.977536;116.333595,39.976769;116.3336,39.976624;116.333616,39.976388;116.333627,39.976243;116.333681,39.975755;116.333691,39.975616;116.333718,39.975337;116.333756,39.974135;116.333793,39.973175;116.333847,39.972435;116.333858,39.97229;116.333868,39.972038;116.333895,39.971592;116.333933,39.970713;116.333981,39.969645;116.334024,39.968744;116.334046,39.968261;116.334061,39.967864;116.334067,39.967719;116.334105,39.967247;116.334115,39.967129;116.334169,39.966646;116.334196,39.966432;116.334212,39.966292;116.334239,39.966067;116.334303,39.965466;116.334453,39.963948;116.334491,39.96354;116.334614,39.962151;116.33463,39.961985;116.334652,39.961792;116.334721,39.961255;116.334743,39.961083;116.334764,39.960917;116.334872,39.959882;116.334893,39.959635;116.33499,39.95853;116.33506,39.957913;116.335081,39.957704;116.335102,39.957446;116.335129,39.957275;116.335135,39.957248;116.335172,39.956985;116.335263,39.956411;116.335322,39.956105;116.335371,39.955762;116.33544,39.955338;116.335505,39.954871;116.335569,39.954442;116.335606,39.954228;116.335708,39.953584;116.335768,39.953139;116.33581,39.952844;116.335826,39.952731;116.335912,39.952248;116.335987,39.952028;116.33617,39.951605;116.336411,39.951095;116.336594,39.950784;116.336781,39.950505;116.337098,39.950119;116.337151,39.95007;116.337441,39.949818",0,via_xizhimen,0,6
AM0022,N022,N023,1.485,normal,0.05,true,高梁桥斜街,沿高梁桥斜街向东南行驶1.5千米右转,"116.337441,39.949818;116.33757,39.949636;116.337822,39.949448;116.337865,39.949421;116.338192,39.949207;116.33868,39.948922;116.340021,39.948182;116.340676,39.947812;116.340853,39.94771;116.34111,39.94756;116.341513,39.947335;116.341674,39.947243;116.342183,39.946996;116.342655,39.946787;116.342918,39.94668;116.343176,39.946573;116.343476,39.946444;116.343541,39.946417;116.343857,39.946288;116.344367,39.946079;116.345214,39.94579;116.347328,39.945108;116.347451,39.945065;116.34802,39.944878;116.348798,39.944572;116.349527,39.944357;116.349822,39.944271;116.350348,39.9441;116.350595,39.943993;116.350799,39.943869;116.350981,39.94373;116.351115,39.943606;116.351196,39.94351;116.351303,39.94336;116.351421,39.943102;116.351475,39.942963;116.351539,39.942785;116.351593,39.942528",0,via_xizhimen,0,7
AM0023,N023,N024,0.178,normal,0.05,true,北展北街,沿北展北街向西行驶178米右转,"116.351593,39.942528;116.350804,39.942372;116.350702,39.942351;116.350343,39.942308;116.349516,39.942286",0,via_xizhimen,0,8
AM0024,N024,N025,0.066,normal,0.15,true,向北行驶66米左转,向北行驶66米左转,"116.349516,39.942286;116.3495,39.942582;116.349495,39.942651;116.349484,39.942764;116.349479,39.942893",0,via_xizhimen,0,9
AM0025,N025,N026,0.262,normal,0.15,true,向西行驶262米左转,向西行驶262米左转,"116.349479,39.942893;116.348492,39.943118;116.347934,39.94322;116.347199,39.943311;116.34648,39.943354",0,via_xizhimen,0,10
AM0026,N026,N027,0.042,normal,0.15,true,向南行驶42米向左前方行驶,向南行驶42米向左前方行驶,"116.34648,39.943354;116.346464,39.942968",0,via_xizhimen,0,11
AM0027,N027,N028,0.013,normal,0.15,true,向东南行驶13米到达途经地,向东南行驶13米到达途经地,"116.346464,39.942968;116.346518,39.942903;116.346514,39.942864",0,via_xizhimen,0,12
AM0028,N028,N029,0.058,normal,0.15,true,向南行驶58米向右前方行驶,向南行驶58米向右前方行驶,"116.346514,39.942864;116.346512,39.94285;116.346475,39.942753;116.346464,39.942689;116.346496,39.942517;116.346448,39.942399;116.346416,39.942362",0,via_xizhimen,0,13
AM0029,N029,N030,0.091,normal,0.15,true,北展北街,沿北展北街向西行驶91米左转,"116.346416,39.942362;116.346271,39.942271;116.346164,39.942244;116.345922,39.942238;116.345692,39.942233;116.345676,39.942222;116.345676,39.942185;116.345558,39.942179;116.345429,39.942169",0,via_xizhimen,0,14
