node_id,x,y,label,type
N001,116.326936,40.003213,AMap origin,start
N002,116.50841,39.944819,AMap destination,target
N003,116.32697,40.002888,route point,normal
N004,116.326305,40.002861,route point,normal
N005,116.325854,40.001006,route point,normal
N006,116.327962,40.001021,清华路,normal
N007,116.328472,39.997363,学堂路,normal
N008,116.33264,39.99754,日新路,normal
N009,116.333123,39.986275,中关村东路,normal
N010,116.345997,39.986404,北四环西路辅路,normal
N011,116.489732,39.950355,北四环中路入口,normal
N012,116.489555,39.945167,东四环北路出口,normal
N013,116.501174,39.945795,朝阳站路,normal
N014,116.507536,39.946433,route point,normal
N015,116.507563,39.94543,route point,normal
N016,116.32697,40.002888,route point,normal
N017,116.326305,40.002861,route point,normal
N018,116.325854,40.001006,route point,normal
N019,116.327962,40.001021,清华路,normal
N020,116.328472,39.997363,学堂路,normal
N021,116.33264,39.99754,日新路,normal
N022,116.337441,39.949818,中关村东路,normal
N023,116.351593,39.942528,高梁桥斜街,normal
N024,116.349516,39.942286,北展北街,normal
N025,116.349479,39.942893,route point,normal
N026,116.34648,39.943354,route point,normal
N027,116.346464,39.942968,route point,normal
N028,116.346514,39.942864,route point,normal
N029,116.346416,39.942362,route point,normal
N030,116.345429,39.942169,北展北街,normal
N031,116.345515,39.938612,北展东马路,normal
N032,116.349415,39.939636,西直门外大街辅路,normal
N033,116.351968,39.940109,西直门外大街入口,normal
N034,116.36907,39.947866,西直门桥,normal
N035,116.428588,39.949657,北二环,normal
N036,116.454938,39.958144,东直门北桥,normal
N037,116.454268,39.957978,三元桥,normal
N038,116.463344,39.966743,三元桥,normal
N039,116.466766,39.969747,京密路,normal
N040,116.489732,39.950355,四元桥,normal
N041,116.489555,39.945167,东四环北路出口,normal
N042,116.501174,39.945795,朝阳站路,normal
N043,116.507536,39.946433,route point,normal
N044,116.507563,39.94543,route point,normal
N045,116.32697,40.002888,route point,normal
N046,116.326305,40.002861,route point,normal
N047,116.325854,40.001006,route point,normal
N048,116.327962,40.001021,清华路,normal
N049,116.328472,39.997363,学堂路,normal
N050,116.33264,39.99754,日新路,normal
N051,116.333123,39.986275,中关村东路,normal
N052,116.345997,39.986404,北四环西路辅路,normal
N053,116.436216,39.98914,北四环中路入口,normal
N054,116.439,39.988485,望和桥,normal
N055,116.446516,39.992991,望和桥,normal
N056,116.448528,39.995684,S11京承高速出口,normal
N057,116.469143,39.997631,姜庄路,normal
N058,116.470162,39.99687,route point,normal
N059,116.469996,39.996741,route point,normal
N060,116.470316,39.996517,route point,normal
N061,116.470334,39.996505,route point,normal
N062,116.469996,39.996741,route point,normal
