edge_id,from,to,road_name,scenario,event_id,event_name,danger_type,distance_to_event_km,influence_radius_km,mapping_method,source_url
AM0009,N010,N011,北四环中路入口,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.646,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0053,N052,N053,北四环中路入口,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,0.259,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0054,N053,N054,望和桥,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,2.263,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0055,N054,N055,望和桥,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,2.489,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0101,N099,N100,北四环中路入口,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.334,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0127,N124,N125,德胜门外大街入口,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,2.598,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0128,N125,N126,健翔桥,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.185,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0142,N138,N139,北四环中路入口,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,0.582,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0143,N139,N140,北四环中路出口,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,0.436,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0144,N140,N141,安慧桥,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,0.304,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0145,N141,N142,安慧桥,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,0.263,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0146,N142,N143,安定路,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.876,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0147,N143,N144,安定路,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.947,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0148,N144,N145,安定门外大街,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,2.003,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0149,N145,N146,安定门外大街,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.96,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0150,N146,N147,安定路,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,0.205,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0151,N147,N148,安慧桥,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,0.217,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0152,N148,N149,安慧桥,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,0.235,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0153,N149,N150,北四环东路入口,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,0.206,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0167,N162,N163,北三环西路入口,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,2.677,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0187,N181,N182,北四环中路入口,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.79,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0188,N182,N183,北四环中路出口,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.619,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0189,N183,N184,北辰桥,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.463,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0190,N184,N185,民族园路,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.377,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0191,N185,N186,北辰路,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.338,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0192,N186,N187,国家体育场南路,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.358,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
AM0193,N187,N188,向东行驶195米左转调头,earthquake,EQ1679-BJ-IMPACT-01,1679 Sanhe-Pinggu earthquake Beijing impact zone,collapse,1.175,2.7,edge segment intersects historical disaster influence buffer,https://en.wikipedia.org/wiki/1679_Sanhe-Pinggu_earthquake
