edge_id,from,to,distance,danger_type,congestion,passable,road_name,instruction,polyline,strategy,variant,path_index,step_index
AM0001,N001,N003,0.701,normal,0.103,true,向北行驶701米右转,向北行驶701米右转,"116.231376,39.842196;116.231097,39.843764;116.23107,39.843898;116.230979,39.844284;116.230936,39.84459;116.23092,39.844703;116.230861,39.845073;116.230845,39.845325;116.230823,39.845529;116.230834,39.845936;116.230872,39.846339;116.230904,39.846746;116.230931,39.846993;116.230958,39.847336;116.230968,39.847406;116.230968,39.847411;116.230984,39.847572;116.231011,39.847884;116.231033,39.848146;116.231006,39.848329;116.230979,39.848383;116.230893,39.8485",0,default_fast,0,0
AM0002,N003,N004,1.066,normal,0.05,true,卢沟桥南路,沿卢沟桥南路向东北行驶1.1千米靠左沿辅路行驶,"116.230893,39.8485;116.231306,39.848731;116.231499,39.848849;116.232121,39.849198;116.233173,39.849724;116.233393,39.849841;116.233828,39.850056;116.234074,39.850185;116.234933,39.850593;116.235351,39.850786;116.23615,39.851177;116.236381,39.851311;116.23659,39.85144;116.236719,39.851526;116.236976,39.851741;116.237126,39.85188;116.23739,39.85218;116.237534,39.852368;116.237706,39.85262;116.237754,39.852695;116.237813,39.852819;116.237899,39.853023;116.238044,39.853457;116.238124,39.853747;116.238618,39.855469",0,default_fast,0,1
AM0003,N004,N005,0.28,normal,0.05,true,G4京港澳高速辅路,沿G4京港澳高速辅路向东北行驶280米靠左进入高速,"116.238618,39.855469;116.238731,39.855903;116.238843,39.856198;116.239213,39.856917;116.239417,39.857271;116.23982,39.857813",0,default_fast,0,2
AM0004,N005,N006,3.404,normal,0.05,true,G4京港澳高速入口,沿G4京港澳高速入口途径G4京港澳高速向东北行驶3.4千米向右前方行驶进入匝道,"116.23982,39.857813;116.240313,39.858376;116.24034,39.858398;116.240688,39.858639;116.241075,39.85887;116.241971,39.859315;116.243301,39.859895;116.247303,39.861525;116.249545,39.862426;116.250999,39.86299;116.251605,39.863236;116.252758,39.863698;116.254963,39.864583;116.25602,39.865007;116.256685,39.865275;116.256776,39.865307;116.256964,39.865382;116.257324,39.865522;116.257994,39.865785;116.261309,39.867126;116.26235,39.867555;116.262688,39.86771;116.263283,39.86799;116.266153,39.869384;116.26633,39.86947;116.26897,39.870747;116.270724,39.8716;116.271663,39.872061;116.271947,39.8722;116.273342,39.872876;116.273605,39.873;116.273873,39.873134;116.274141,39.873268",0,default_fast,0,3
AM0005,N006,N007,1.529,fire,0.05,true,岳各庄桥,沿岳各庄桥途径西四环中路向北行驶1.5千米向右前方行驶,"116.274141,39.873268;116.27434,39.873295;116.27442,39.873316;116.274586,39.87337;116.274919,39.873504;116.277006,39.874529;116.277258,39.874673;116.277381,39.874765;116.27758,39.874926;116.27766,39.875006;116.277859,39.875253;116.277961,39.875441;116.278041,39.875698;116.278068,39.875923;116.278068,39.87602;116.278057,39.876133;116.278036,39.876272;116.278003,39.876385;116.277907,39.876696;116.277456,39.877812;116.277166,39.878515;116.277129,39.878579;116.277038,39.878686;116.276877,39.878842;116.276646,39.879475;116.276324,39.88037;116.275815,39.881808;116.275353,39.88309;116.275209,39.883487;116.274661,39.885075",0,default_fast,0,4
AM0006,N007,N008,0.088,fire,0.05,true,西四环中路出口,沿西四环中路出口向北行驶88米向右前方行驶,"116.274661,39.885075;116.274699,39.885349;116.274613,39.885869",0,default_fast,0,5
AM0007,N008,N009,0.379,fire,0.05,true,西四环中路出口,沿西四环中路出口途径西四环中路辅路向北行驶379米右转,"116.274613,39.885869;116.274635,39.886041;116.274672,39.886191;116.274581,39.8867;116.274527,39.887049;116.274458,39.887468;116.27435,39.888186;116.274307,39.888905;116.274302,39.889291",0,default_fast,0,6
AM0008,N009,N010,0.538,fire,0.05,true,靛厂路,沿靛厂路向东行驶538米右转,"116.274302,39.889291;116.27442,39.889361;116.274581,39.889404;116.275396,39.88941;116.275546,39.88941;116.275766,39.88941;116.276126,39.889415;116.276475,39.88942;116.276764,39.88942;116.277177,39.88942;116.277311,39.889426;116.278046,39.88949;116.279296,39.889501;116.279822,39.889506;116.280106,39.889501;116.280616,39.889506",0,default_fast,0,7
AM0009,N010,N002,0.041,fire,0.15,true,向南行驶41米到达目的地,向南行驶41米到达目的地,"116.280616,39.889506;116.280621,39.889383;116.280621,39.889302;116.280621,39.889127",0,default_fast,0,8
AM0010,N001,N011,0.701,normal,0.103,true,向北行驶701米右转,向北行驶701米右转,"116.231376,39.842196;116.231097,39.843764;116.23107,39.843898;116.230979,39.844284;116.230936,39.84459;116.23092,39.844703;116.230861,39.845073;116.230845,39.845325;116.230823,39.845529;116.230834,39.845936;116.230872,39.846339;116.230904,39.846746;116.230931,39.846993;116.230958,39.847336;116.230968,39.847406;116.230968,39.847411;116.230984,39.847572;116.231011,39.847884;116.231033,39.848146;116.231006,39.848329;116.230979,39.848383;116.230893,39.8485",0,via_north_wanshoulu,0,0
AM0011,N011,N012,1.066,normal,0.05,true,卢沟桥南路,沿卢沟桥南路向东北行驶1.1千米靠左沿辅路行驶,"116.230893,39.8485;116.231306,39.848731;116.231499,39.848849;116.232121,39.849198;116.233173,39.849724;116.233393,39.849841;116.233828,39.850056;116.234074,39.850185;116.234933,39.850593;116.235351,39.850786;116.23615,39.851177;116.236381,39.851311;116.23659,39.85144;116.236719,39.851526;116.236976,39.851741;116.237126,39.85188;116.23739,39.85218;116.237534,39.852368;116.237706,39.85262;116.237754,39.852695;116.237813,39.852819;116.237899,39.853023;116.238044,39.853457;116.238124,39.853747;116.238618,39.855469",0,via_north_wanshoulu,0,1
AM0012,N012,N013,0.28,normal,0.05,true,G4京港澳高速辅路,沿G4京港澳高速辅路向东北行驶280米靠左进入高速,"116.238618,39.855469;116.238731,39.855903;116.238843,39.856198;116.239213,39.856917;116.239417,39.857271;116.23982,39.857813",0,via_north_wanshoulu,0,2
AM0013,N013,N014,3.404,normal,0.05,true,G4京港澳高速入口,沿G4京港澳高速入口途径G4京港澳高速向东北行驶3.4千米向右前方行驶进入匝道,"116.23982,39.857813;116.240313,39.858376;116.24034,39.858398;116.240688,39.858639;116.241075,39.85887;116.241971,39.859315;116.243301,39.859895;116.247303,39.861525;116.249545,39.862426;116.250999,39.86299;116.251605,39.863236;116.252758,39.863698;116.254963,39.864583;116.25602,39.865007;116.256685,39.865275;116.256776,39.865307;116.256964,39.865382;116.257324,39.865522;116.257994,39.865785;116.261309,39.867126;116.26235,39.867555;116.262688,39.86771;116.263283,39.86799;116.266153,39.869384;116.26633,39.86947;116.26897,39.870747;116.270724,39.8716;116.271663,39.872061;116.271947,39.8722;116.273342,39.872876;116.273605,39.873;116.273873,39.873134;116.274141,39.873268",0,via_north_wanshoulu,0,3
AM0014,N014,N015,1.529,fire,0.05,true,岳各庄桥,沿岳各庄桥途径西四环中路向北行驶1.5千米向右前方行驶,"116.274141,39.873268;116.27434,39.873295;116.27442,39.873316;116.274586,39.87337;116.274919,39.873504;116.277006,39.874529;116.277258,39.874673;116.277381,39.874765;116.27758,39.874926;116.27766,39.875006;116.277859,39.875253;116.277961,39.875441;116.278041,39.875698;116.278068,39.875923;116.278068,39.87602;116.278057,39.876133;116.278036,39.876272;116.278003,39.876385;116.277907,39.876696;116.277456,39.877812;116.277166,39.878515;116.277129,39.878579;116.277038,39.878686;116.276877,39.878842;116.276646,39.879475;116.276324,39.88037;116.275815,39.881808;116.275353,39.88309;116.275209,39.883487;116.274661,39.885075",0,via_north_wanshoulu,0,4
AM0015,N015,N016,0.088,fire,0.05,true,西四环中路出口,沿西四环中路出口向北行驶88米向右前方行驶,"116.274661,39.885075;116.274699,39.885349;116.274613,39.885869",0,via_north_wanshoulu,0,5
AM0016,N016,N017,0.76,fire,0.05,true,西四环中路出口,沿西四环中路出口途径西四环中路辅路向北行驶760米右转,"116.274613,39.885869;116.274635,39.886041;116.274672,39.886191;116.274581,39.8867;116.274527,39.887049;116.274458,39.887468;116.27435,39.888186;116.274307,39.888905;116.274302,39.889291;116.274297,39.889748;116.274291,39.889892;116.274291,39.890134;116.274291,39.890284;116.274291,39.890515;116.274302,39.890799;116.274307,39.891357;116.274307,39.891486;116.274318,39.892274;116.274318,39.892778",0,via_north_wanshoulu,0,6
AM0017,N017,N018,1.214,fire,0.05,true,西翠路,沿西翠路向东北行驶1.2千米左转,"116.274318,39.892778;116.27434,39.892827;116.274409,39.892902;116.2745,39.892961;116.27472,39.893073;116.274849,39.893079;116.275418,39.893095;116.276169,39.893122;116.276367,39.893127;116.277242,39.893143;116.27744,39.893148;116.27795,39.893095;116.278679,39.893084;116.278755,39.893084;116.279296,39.893084;116.280192,39.893095;116.281726,39.893095;116.282955,39.893106;116.283068,39.893116;116.283153,39.893148;116.283228,39.893202;116.283277,39.893293;116.283298,39.893449;116.283298,39.893825;116.283379,39.895332;116.2834,39.895407;116.283411,39.895643;116.283427,39.896523;116.283432,39.89663;116.283438,39.897166",0,via_north_wanshoulu,0,7
AM0018,N018,N019,0.125,normal,0.05,true,莲花池西路辅路,沿莲花池西路辅路向西行驶125米右转,"116.283352,39.897247;116.282483,39.897247;116.281882,39.897225",0,via_north_wanshoulu,0,8
AM0019,N019,N020,0.019,normal,0.15,true,向北行驶19米到达途经地,向北行驶19米到达途经地,"116.281882,39.897225;116.281876,39.89729;116.281876,39.89737;116.281875,39.897407",0,via_north_wanshoulu,0,9
AM0020,N020,N021,0.033,normal,0.15,true,向北行驶33米左转调头,向北行驶33米左转调头,"116.281875,39.897407;116.281866,39.897708",0,via_north_wanshoulu,0,10
AM0021,N021,N022,0.052,normal,0.15,true,向南行驶52米右转,向南行驶52米右转,"116.281866,39.897708;116.281876,39.89737;116.281876,39.89729;116.281882,39.897225",0,via_north_wanshoulu,0,11
AM0022,N022,N023,0.643,normal,0.05,true,莲花池西路辅路,沿莲花池西路辅路途径西四环中路辅路向西行驶643米向左前方行驶,"116.281882,39.897225;116.281587,39.897225;116.281126,39.89722;116.279838,39.897231;116.279296,39.897263;116.279092,39.897274;116.278604,39.897327;116.278009,39.897467;116.277564,39.897606;116.277161,39.897756;116.2764,39.898036;116.276233,39.898062;116.275756,39.898239;116.274956,39.898556;116.274736,39.898679",0,via_north_wanshoulu,0,12
