edge_id,from,to,road_name,scenario,event_id,event_name,danger_type,distance_to_event_km,influence_radius_km,mapping_method,source_url
AM0005,N006,N007,岳各庄桥,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.667,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0006,N007,N008,西四环中路出口,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.614,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0007,N008,N009,西四环中路出口,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.524,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0008,N009,N010,靛厂路,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.042,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0009,N010,N002,向南行驶41米到达目的地,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.016,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0014,N014,N015,岳各庄桥,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.667,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0015,N015,N016,西四环中路出口,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.614,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0016,N016,N017,西四环中路出口,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.524,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0017,N017,N018,西翠路,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.439,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0025,N025,N026,西四环中路辅路,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.576,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0027,N027,N028,西四环中路辅路,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.524,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0028,N028,N029,靛厂路,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.042,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0029,N029,N002,向南行驶41米到达目的地,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.016,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0034,N033,N034,岳各庄桥,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.796,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0035,N034,N035,西四环中路出口,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.752,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0036,N035,N036,向东行驶757米右转,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.654,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0037,N036,N037,岳各庄东路,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.742,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0039,N038,N039,岳各庄东路,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.354,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
AM0040,N039,N040,靛厂路,beijing_fire,FIRE2023-BJ-CHANGFENG-01,2023 Beijing Changfeng Hospital urban fire response zone,fire,0.051,0.8,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E5%8C%97%E4%BA%AC%E9%95%BF%E5%B3%B0%E5%8C%BB%E9%99%A2%E7%81%AB%E7%81%BE
