edge_id,from,to,road_name,traffic_road_name,traffic_status,traffic_status_label,traffic_speed_kmh,matched_distance_km,original_congestion,mapped_congestion,traffic_captured_at
AM0001,N001,N003,向北行驶701米右转,京港澳高速,1,expedite,80,0.0138,0.103,0.103,2026-06-22T12:29:17
AM0002,N003,N004,卢沟桥南路,京港澳高速,1,expedite,80,0.0108,0.05,0.05,2026-06-22T12:29:17
AM0003,N004,N005,G4京港澳高速辅路,京港澳高速,1,expedite,80,0.01,0.05,0.05,2026-06-22T12:29:17
AM0004,N005,N006,G4京港澳高速入口,京港澳高速,1,expedite,80,0.0,0.05,0.05,2026-06-22T12:29:17
AM0005,N006,N007,岳各庄桥,西四环路,1,expedite,71,0.0001,0.05,0.05,2026-06-22T12:29:17
AM0006,N007,N008,西四环中路出口,西四环路,1,expedite,70,0.0015,0.05,0.05,2026-06-22T12:29:17
AM0007,N008,N009,西四环中路出口,靛厂路,1,expedite,40,0.0136,0.05,0.05,2026-06-22T12:29:17
AM0008,N009,N010,靛厂路,靛厂路,1,expedite,40,0.0,0.05,0.05,2026-06-22T12:29:17
AM0009,N010,N002,向南行驶41米到达目的地,靛厂路,1,expedite,40,0.0002,0.15,0.15,2026-06-22T12:29:17
AM0010,N001,N011,向北行驶701米右转,京港澳高速,1,expedite,80,0.0138,0.103,0.103,2026-06-22T12:29:17
AM0011,N011,N012,卢沟桥南路,京港澳高速,1,expedite,80,0.0108,0.05,0.05,2026-06-22T12:29:17
AM0012,N012,N013,G4京港澳高速辅路,京港澳高速,1,expedite,80,0.01,0.05,0.05,2026-06-22T12:29:17
AM0013,N013,N014,G4京港澳高速入口,京港澳高速,1,expedite,80,0.0,0.05,0.05,2026-06-22T12:29:17
AM0014,N014,N015,岳各庄桥,西四环路,1,expedite,71,0.0001,0.05,0.05,2026-06-22T12:29:17
AM0015,N015,N016,西四环中路出口,西四环路,1,expedite,70,0.0015,0.05,0.05,2026-06-22T12:29:17
AM0016,N016,N017,西四环中路出口,靛厂路,1,expedite,40,0.0021,0.05,0.05,2026-06-22T12:29:17
AM0017,N017,N018,西翠路,西翠路,1,expedite,35,0.0,0.05,0.05,2026-06-22T12:29:17
