record_id,captured_at,query_location,query_radius_m,query_level,area_description,evaluation_status,evaluation_description,evaluation_expedite,evaluation_congested,evaluation_blocked,evaluation_unknown,road_name,status,status_label,direction,angle,speed_kmh,lcodes,polyline
TR0001,2026-06-22T12:29:17,"116.280437,39.889128",3000,5,莲花池西路：莲花桥附近自东向西行驶缓慢；广安路：六里桥附近自西向东行驶缓慢；复兴路：五棵松桥附近自东向西行驶缓慢；石景山路：从九州大厦到八角桥行驶缓慢；卢沟桥路：自西向东缓慢，从岳各庄南桥到丰体西桥行驶缓慢；广安路：双向缓慢。,2,轻度拥堵,49.02%,5.88%,0.00%,45.10%,莲花池西路,2,congested,莲花桥附近,180,25,-5326,"116.313179,39.8971062;116.311661,39.8971024;116.310867,39.8971024;116.310257,39.8970947;116.309868,39.8970985;116.308975,39.8970947"
TR0002,2026-06-22T12:29:17,"116.280437,39.889128",3000,5,莲花池西路：莲花桥附近自东向西行驶缓慢；广安路：六里桥附近自西向东行驶缓慢；复兴路：五棵松桥附近自东向西行驶缓慢；石景山路：从九州大厦到八角桥行驶缓慢；卢沟桥路：自西向东缓慢，从岳各庄南桥到丰体西桥行驶缓慢；广安路：双向缓慢。,2,轻度拥堵,49.02%,5.88%,0.00%,45.10%,莲花池西路,2,congested,从岳家楼桥到南沙窝桥,179,26,-5331,"116.28096,39.897049;116.279663,39.8970604"
TR0003,2026-06-22T12:29:17,"116.280437,39.889128",3000,5,莲花池西路：莲花桥附近自东向西行驶缓慢；广安路：六里桥附近自西向东行驶缓慢；复兴路：五棵松桥附近自东向西行驶缓慢；石景山路：从九州大厦到八角桥行驶缓慢；卢沟桥路：自西向东缓慢，从岳各庄南桥到丰体西桥行驶缓慢；广安路：双向缓慢。,2,轻度拥堵,49.02%,5.88%,0.00%,45.10%,广安路,2,congested,从六里桥到北京西站南路,29,30,"8784,5446","116.311806,39.8852005;116.312706,39.8856049;116.313423,39.8859367;116.314507,39.8864365;116.315292,39.886776;116.315544,39.8868904;116.315697,39.8869476;116.316154,39.8871078;116.316498,39.8872185;116.316856,39.8873596;116.317101,39.887455;116.317436,39.8875923;116.31765,39.8876877;116.318336,39.8879967;116.318848,39.8882256;116.319168,39.8883705;116.319977,39.8887405;116.320625,39.889019;116.320717,39.8890533;116.320801,39.8890915;116.32103,39.8892136;116.321136,39.8892479"
TR0004,2026-06-22T12:29:17,"116.280437,39.889128",3000,5,莲花池西路：莲花桥附近自东向西行驶缓慢；广安路：六里桥附近自西向东行驶缓慢；复兴路：五棵松桥附近自东向西行驶缓慢；石景山路：从九州大厦到八角桥行驶缓慢；卢沟桥路：自西向东缓慢，从岳各庄南桥到丰体西桥行驶缓慢；广安路：双向缓慢。,2,轻度拥堵,49.02%,5.88%,0.00%,45.10%,广安路,2,congested,马连道路附近,180,,-5447,"116.326363,39.8899765;116.326294,39.8899765"
TR0005,2026-06-22T12:29:17,"116.280437,39.889128",3000,5,莲花池西路：莲花桥附近自东向西行驶缓慢；广安路：六里桥附近自西向东行驶缓慢；复兴路：五棵松桥附近自东向西行驶缓慢；石景山路：从九州大厦到八角桥行驶缓慢；卢沟桥路：自西向东缓慢，从岳各庄南桥到丰体西桥行驶缓慢；广安路：双向缓慢。,2,轻度拥堵,49.02%,5.88%,0.00%,45.10%,复兴路,2,congested,从西翠路到万寿路,359,40,5055,"116.283432,39.9074211;116.285591,39.9074173;116.287979,39.9074173;116.292816,39.9074097;116.295113,39.9074135"
TR0006,2026-06-22T12:29:17,"116.280437,39.889128",3000,5,莲花池西路：莲花桥附近自东向西行驶缓慢；广安路：六里桥附近自西向东行驶缓慢；复兴路：五棵松桥附近自东向西行驶缓慢；石景山路：从九州大厦到八角桥行驶缓慢；卢沟桥路：自西向东缓慢，从岳各庄南桥到丰体西桥行驶缓慢；广安路：双向缓慢。,2,轻度拥堵,49.02%,5.88%,0.00%,45.10%,复兴路,2,congested,从万寿路到五棵松桥,180,30,"-5054,-6460,-5052","116.294868,39.9075317;116.287979,39.9075279;116.283318,39.9075165;116.283211,39.9075165;116.280952,39.907505;116.279022,39.9075012;116.276665,39.9074898;116.274315,39.907505;116.273758,39.907505;116.273697,39.907505"
TR0007,2026-06-22T12:29:17,"116.280437,39.889128",3000,5,莲花池西路：莲花桥附近自东向西行驶缓慢；广安路：六里桥附近自西向东行驶缓慢；复兴路：五棵松桥附近自东向西行驶缓慢；石景山路：从九州大厦到八角桥行驶缓慢；卢沟桥路：自西向东缓慢，从岳各庄南桥到丰体西桥行驶缓慢；广安路：双向缓慢。,2,轻度拥堵,49.02%,5.88%,0.00%,45.10%,石景山路,2,congested,从玉泉路到八角桥,180,35,"-4872,-4871,-4870,-4869,-4868","116.252747,39.9074745;116.249146,39.9074783;116.245255,39.907486;116.243851,39.9074936;116.242851,39.9074936;116.241493,39.9074936;116.239754,39.9074974;116.23954,39.9075012;116.239441,39.9075012;116.235634,39.9074707;116.235535,39.9074707;116.2351,39.9074745;116.233696,39.907486;116.231819,39.9074745;116.230759,39.9074745;116.230415,39.9074707;116.228477,39.9074707;116.227005,39.9074898;116.22654,39.907486;116.223091,39.907486;116.221031,39.907486;116.219185,39.907486;116.216408,39.9074745;116.216194,39.9074745;116.216003,39.9074745;116.213654,39.907486;116.212234,39.9074783;116.211273,39.9074707;116.210762,39.9074707"
TR0008,2026-06-22T12:29:17,"116.280437,39.889128",3000,5,莲花池西路：莲花桥附近自东向西行驶缓慢；广安路：六里桥附近自西向东行驶缓慢；复兴路：五棵松桥附近自东向西行驶缓慢；石景山路：从九州大厦到八角桥行驶缓慢；卢沟桥路：自西向东缓慢，从岳各庄南桥到丰体西桥行驶缓慢；广安路：双向缓慢。,2,轻度拥堵,49.02%,5.88%,0.00%,45.10%,卢沟桥路,2,congested,从大瓦窑桥到丰体西桥,23,30,"8659,8660","116.239571,39.8566284;116.240707,39.8560638;116.241127,39.856041;116.24247,39.8559456;116.242966,39.8559418;116.243324,39.8559418;116.243584,39.855957;116.243774,39.8559723;116.244179,39.8560143;116.244392,39.8560448;116.244614,39.8560905;116.24482,39.8561249;116.245087,39.8561974;116.246559,39.856617;116.247665,39.8569717;116.248405,39.8572693;116.248672,39.8573761;116.250542,39.8581657;116.252014,39.8587646;116.252998,39.8591614;116.25351,39.8593521;116.253868,39.8594818;116.254448,39.859684;116.254608,39.8597145;116.254753,39.859745;116.255661,39.8598976;116.256027,39.8599739;116.256149,39.8600197;116.25705,39.8604393;116.258224,39.8610001;116.259468,39.8616104;116.260765,39.862236;116.26313,39.8634453;116.264389,39.8640785;116.264481,39.8640709;116.266167,39.8648796;116.266327,39.8649597;116.266487,39.8650589;116.267075,39.8654366;116.267517,39.8657875"
TR0009,2026-06-22T12:29:17,"116.280437,39.889128",3000,5,莲花池西路：莲花桥附近自东向西行驶缓慢；广安路：六里桥附近自西向东行驶缓慢；复兴路：五棵松桥附近自东向西行驶缓慢；石景山路：从九州大厦到八角桥行驶缓慢；卢沟桥路：自西向东缓慢，从岳各庄南桥到丰体西桥行驶缓慢；广安路：双向缓慢。,2,轻度拥堵,49.02%,5.88%,0.00%,45.10%,卢沟桥路,2,congested,从岳各庄南桥到程庄路,218,30,"-8660,-8659","116.278664,39.8728485;116.277794,39.8725204;116.276436,39.8719482;116.274803,39.8711929;116.274292,39.8709641;116.273972,39.8708038;116.273575,39.870594;116.273209,39.8703804;116.272835,39.8701172;116.272392,39.8697815;116.271339,39.8689461;116.271057,39.8687019;116.270645,39.8683815;116.269318,39.8673019;116.268372,39.8665695;116.267929,39.8661957;116.267662,39.8659439;116.267509,39.8657951;116.266914,39.8654404;116.266434,39.8651543;116.265923,39.8648834;116.265549,39.8646965;116.264915,39.864399;116.264481,39.864193;116.264389,39.8640938"
TR0010,2026-06-22T12:29:17,"116.280437,39.889128",3000,5,莲花池西路：莲花桥附近自东向西行驶缓慢；广安路：六里桥附近自西向东行驶缓慢；复兴路：五棵松桥附近自东向西行驶缓慢；石景山路：从九州大厦到八角桥行驶缓慢；卢沟桥路：自西向东缓慢，从岳各庄南桥到丰体西桥行驶缓慢；广安路：双向缓慢。,2,轻度拥堵,49.02%,5.88%,0.00%,45.10%,广安路,2,congested,从岳各庄南桥到万丰路,24,30,"8326,8327,8328","116.278687,39.8728218;116.279327,39.8731194;116.282158,39.8743439;116.283722,39.8750076;116.284943,39.8754883;116.286674,39.8760948;116.288483,39.8767014;116.288887,39.8768349;116.2892,39.8769417;116.28949,39.8770294;116.289864,39.8771362;116.292,39.8777657;116.293495,39.87817;116.294891,39.8785439;116.295113,39.8786049"
