edge_id,from,to,distance,danger_type,congestion,passable,road_name,instruction,polyline,strategy,variant,path_index,step_index
AM0001,N001,N003,0.088,normal,0.05,true,光复西路,沿光复西路向西南行驶88米向右前方行驶,"121.426277,31.236927;121.426262,31.23692;121.426133,31.236796;121.425935,31.236587;121.425645,31.236346",0,default_fast,0,0
AM0002,N004,N005,0.467,normal,0.05,true,谈家渡路,沿谈家渡路向西南行驶467米右转进入主路,"121.425554,31.236448;121.424535,31.23597;121.424272,31.235847;121.42387,31.235611;121.423483,31.235364;121.423258,31.235246;121.42306,31.235144;121.422706,31.234999;121.422351,31.234849;121.421901,31.234656;121.421724,31.234575;121.421547,31.234511;121.421402,31.234452;121.421236,31.234388",0,default_fast,0,1
AM0003,N006,N007,0.137,normal,0.05,true,曹杨路,沿曹杨路向西北行驶137米右转,"121.421161,31.234356;121.421005,31.234667;121.420898,31.234887;121.420844,31.234999;121.420817,31.235053;121.420619,31.235514",0,default_fast,0,2
AM0004,N007,N008,0.417,normal,0.05,true,普雄路,沿普雄路向东北行驶417米右转,"121.420619,31.235514;121.420898,31.235681;121.421037,31.235761;121.421423,31.235949;121.421499,31.235981;121.421686,31.236078;121.421981,31.236238;121.422185,31.23634;121.422824,31.236641;121.42373,31.237091;121.423784,31.23714;121.424186,31.237467;121.424315,31.23758",0,default_fast,0,3
AM0005,N009,N010,0.681,normal,0.19,true,武宁路桥,沿武宁路桥途径武宁路向东南行驶681米左转,"121.424374,31.237633;121.425597,31.236678;121.425989,31.236373;121.426214,31.236201;121.426783,31.235761;121.42836,31.234543;121.428901,31.23413;121.429711,31.233513",0,default_fast,0,4
AM0006,N011,N012,0.805,fire,0.05,true,长寿路,沿长寿路向东北行驶805米右转,"121.429953,31.233551;121.430414,31.23413;121.430597,31.234361;121.430699,31.234511;121.430795,31.234645;121.43109,31.235123;121.431122,31.235182;121.431525,31.23611;121.431702,31.2364;121.431981,31.236716;121.432147,31.236866;121.432523,31.237161;121.433048,31.237392;121.433655,31.237558;121.434389,31.237741;121.43447,31.237762;121.434936,31.23788;121.435199,31.237966;121.435425,31.238078;121.43565,31.238218;121.435779,31.23832",0,default_fast,0,5
AM0007,N012,N002,0.436,fire,0.05,true,胶州路,沿胶州路向东南行驶436米到达目的地,"121.435779,31.23832;121.435886,31.238186;121.436047,31.238057;121.436251,31.237923;121.43661,31.237762;121.436996,31.237553;121.437377,31.237343;121.437576,31.237226;121.437967,31.237;121.438043,31.236968;121.438445,31.23677;121.43859,31.236673;121.438654,31.236593;121.439024,31.236045;121.439153,31.235874;121.439218,31.235798",0,default_fast,0,6
AM0008,N009,N013,1.039,congestion,0.342,true,武宁路桥,沿武宁路桥途径武宁路、武宁南路向东南行驶1.0千米左转,"121.424374,31.237633;121.425597,31.236678;121.425989,31.236373;121.426214,31.236201;121.426783,31.235761;121.42836,31.234543;121.428901,31.23413;121.429711,31.233513;121.429851,31.233438;121.430457,31.233149;121.430924,31.232923;121.430994,31.232896;121.43124,31.232746;121.431761,31.232333;121.432088,31.231979;121.432324,31.231732;121.432565,31.23147",2,default_shortest,0,4
AM0009,N014,N015,0.786,fire,0.05,true,余姚路,沿余姚路向东北行驶786米右转,"121.432641,31.231545;121.432855,31.23177;121.433021,31.231925;121.433156,31.232049;121.433349,31.232221;121.433536,31.232446;121.433617,31.23251;121.43395,31.232827;121.434245,31.2331;121.43433,31.233181;121.434641,31.23346;121.434883,31.233674;121.435092,31.23383;121.435317,31.233969;121.435441,31.23405;121.435532,31.234114;121.435553,31.23413;121.435682,31.234216;121.435822,31.234307;121.435999,31.234425;121.436165,31.234538;121.436288,31.234618;121.436766,31.234881;121.437211,31.235117;121.437302,31.235155;121.437468,31.23523;121.437748,31.235343;121.437796,31.235364;121.438187,31.23553;121.438429,31.235632;121.438498,31.23567;121.438917,31.235831;121.439153,31.235874",2,default_shortest,0,5
AM0010,N015,N002,0.01,fire,0.05,true,胶州路,沿胶州路向东南行驶10米到达目的地,"121.439153,31.235874;121.439218,31.235798",2,default_shortest,0,6
AM0011,N011,N016,0.47,normal,0.05,true,长寿路,沿长寿路向东北行驶470米左转,"121.429953,31.233551;121.430414,31.23413;121.430597,31.234361;121.430699,31.234511;121.430795,31.234645;121.43109,31.235123;121.431122,31.235182;121.431525,31.23611;121.431702,31.2364;121.431981,31.236716;121.432147,31.236866;121.432523,31.237161",0,via_changshou_direct,0,5
AM0012,N017,N018,0.085,normal,0.05,true,叶家宅路,沿叶家宅路向西行驶85米右转,"121.432292,31.237285;121.432126,31.23736;121.431761,31.237488;121.431466,31.23758",0,via_changshou_direct,0,6
AM0013,N018,N019,0.047,normal,0.15,true,向北行驶47米右转,向北行驶47米右转,"121.431466,31.23758;121.431493,31.237681;121.431584,31.237998",0,via_changshou_direct,0,7
AM0014,N019,N020,0.125,normal,0.15,true,向东北行驶125米向左前方行驶,向东北行驶125米向左前方行驶,"121.431584,31.237998;121.431761,31.237966;121.431793,31.237971;121.431846,31.238025;121.431943,31.238191;121.431991,31.238298;121.432018,31.238379;121.432066,31.238513;121.432158,31.238878",0,via_changshou_direct,0,8
AM0015,N020,N021,0.069,normal,0.15,true,向西北行驶69米到达途经地,向西北行驶69米到达途经地,"121.432158,31.238878;121.432152,31.238958;121.432131,31.23899;121.43211,31.239023;121.43205,31.23906;121.431588,31.239163",0,via_changshou_direct,0,9
AM0016,N021,N022,0.015,normal,0.15,true,向西行驶15米左转,向西行驶15米左转,"121.431588,31.239163;121.431546,31.239173;121.431423,31.239189",0,via_changshou_direct,0,10
AM0017,N022,N023,0.343,fire,0.15,true,向东南行驶343米右转进入主路,向东南行驶343米右转进入主路,"121.431423,31.239189;121.43138,31.239081;121.431353,31.238942;121.431358,31.23877;121.43138,31.238717;121.431412,31.238695;121.4319,31.238561;121.432066,31.238513;121.432549,31.238395;121.432898,31.238309;121.433021,31.238277;121.433225,31.238223;121.433563,31.238138;121.433676,31.238105;121.433955,31.238036;121.434143,31.237976;121.434185,31.237955;121.434282,31.237864",0,via_changshou_direct,0,11
AM0018,N023,N024,0.192,fire,0.05,true,长寿路,沿长寿路向西行驶192米左转调头,"121.434282,31.237864;121.433692,31.237719;121.433129,31.23758;121.432743,31.237419;121.432399,31.237236",0,via_changshou_direct,0,12
