node_id,x,y,label,type
N001,121.426226,31.237003,AMap origin,start
N002,121.439175,31.235771,AMap destination,target
N003,121.425645,31.236346,光复西路,normal
N004,121.425554,31.236448,谈家渡路,normal
N005,121.421236,31.234388,谈家渡路,normal
N006,121.421161,31.234356,曹杨路,normal
N007,121.420619,31.235514,曹杨路,normal
N008,121.424315,31.23758,普雄路,normal
N009,121.424374,31.237633,武宁路桥,normal
N010,121.429711,31.233513,武宁路桥,normal
N011,121.429953,31.233551,长寿路,normal
N012,121.435779,31.23832,长寿路,normal
N013,121.432565,31.23147,武宁路桥,normal
N014,121.432641,31.231545,余姚路,normal
N015,121.439153,31.235874,余姚路,normal
N016,121.432523,31.237161,长寿路,normal
N017,121.432292,31.237285,叶家宅路,normal
N018,121.431466,31.23758,叶家宅路,normal
N019,121.431584,31.237998,route point,normal
N020,121.432158,31.238878,route point,normal
N021,121.431588,31.239163,route point,normal
N022,121.431423,31.239189,route point,normal
N023,121.434282,31.237864,route point,normal
N024,121.432399,31.237236,长寿路,normal
N025,121.436871,31.239631,长寿路,normal
N026,121.437731,31.24031,长寿路,normal
N027,121.438906,31.239312,常德路,normal
N028,121.436996,31.237553,新会路,normal
N029,121.432361,31.245428,光复西路,normal
N030,121.432592,31.24546,镇坪路辅路,normal
N031,121.432222,31.246232,镇坪路辅路,normal
N032,121.430704,31.248137,镇坪路,normal
N033,121.43064,31.248056,镇坪路,normal
N034,121.433011,31.243507,镇坪路,normal
N035,121.43307,31.243534,宜昌路,normal
N036,121.4344,31.245095,宜昌路,normal
N037,121.434684,31.244966,宜昌路,normal
N038,121.436632,31.246415,宜昌路,normal
N039,121.436305,31.24664,route point,normal
N040,121.437054,31.247353,route point,normal
N041,121.436793,31.247681,route point,normal
N042,121.436996,31.24678,宜昌路,normal
N043,121.441363,31.24326,陕西北路,normal
N044,121.435688,31.238465,长寿路,normal
N045,121.438096,31.225499,武宁路桥,normal
N046,121.43838,31.225472,万航渡路,normal
N047,121.440945,31.225284,万航渡路,normal
N048,121.440408,31.224764,乌鲁木齐北路,normal
N049,121.441835,31.223387,乌鲁木齐北路,normal
N050,121.441969,31.223267,乌鲁木齐北路,normal
N051,121.445542,31.224517,愚园路,normal
N052,121.433424,31.249387,光复西路,normal
N053,121.44456,31.24289,光复西路,normal
N054,121.442763,31.241984,新会路,normal
N055,121.449117,31.235363,陕西北路,normal
N056,121.450697,31.233943,陕西北路,normal
N057,121.442554,31.229994,武定路,normal
N058,121.447754,31.239638,光复西路,normal
N059,121.448117,31.239264,江宁路,normal
N060,121.451577,31.235391,光复西路,normal
N061,121.456314,31.23744,康定路,normal
N062,121.456909,31.237022,康定东路,normal
N063,121.458454,31.237692,康定东路,normal
N064,121.459007,31.237461,康定东路,normal
N065,121.459302,31.237563,顺德路,normal
N066,121.459683,31.237729,顺德路,normal
N067,121.459817,31.237794,顺德路,normal
N068,121.456512,31.237419,康定东路,normal
N069,121.453422,31.235986,康定东路,normal
N070,121.451507,31.237708,昌化路,normal
N071,121.451346,31.237853,昌平路,normal
N072,121.440709,31.233867,昌平路,normal
N073,121.442769,31.224683,万航渡路,normal
N074,121.442908,31.224737,北京西路,normal
N075,121.45211,31.229248,北京西路,normal
N076,121.455166,31.230193,北京西路,normal
N077,121.45515,31.230263,江宁路,normal
N078,121.449989,31.237118,江宁路,normal
N079,121.449909,31.23721,昌平路,normal
N080,121.43352,31.23044,武宁路桥,normal
N081,121.433655,31.230423,康定路,normal
N082,121.439228,31.231389,康定路,normal
N083,121.439765,31.230616,延平路,normal
N084,121.443793,31.232403,康定路,normal
