edge_id,from,to,road_name,scenario,event_id,event_name,danger_type,distance_to_event_km,influence_radius_km,mapping_method,source_url
AM0006,N011,N012,长寿路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.429,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0007,N012,N002,胶州路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.005,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0009,N014,N015,余姚路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.012,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0010,N015,N002,胶州路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.005,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0017,N022,N023,向东南行驶343米右转进入主路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.52,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0018,N023,N024,长寿路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.52,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0019,N016,N012,长寿路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.429,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0020,N011,N025,长寿路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.429,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0021,N025,N026,长寿路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.48,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0022,N026,N027,常德路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.392,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0023,N027,N028,新会路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.286,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0024,N028,N002,胶州路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.005,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0038,N043,N044,长寿路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.446,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0045,N051,N002,胶州路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.005,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0052,N057,N002,胶州路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.005,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0055,N059,N015,海防路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.012,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0067,N071,N072,昌平路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.256,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0068,N072,N002,胶州路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.005,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
AM0073,N079,N072,昌平路,shanghai_fire,FIRE2010-SH-JIAOZHOU-01,2010 Shanghai Jiaozhou Road high-rise fire response zone,fire,0.256,0.65,road polyline intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
