edge_id,from,to,road_name,traffic_road_name,traffic_status,traffic_status_label,traffic_speed_kmh,matched_distance_km,original_congestion,mapped_congestion,traffic_captured_at
AM0001,N001,N003,光复西路,光复西路,1,expedite,30,0.0009,0.05,0.05,2026-06-22T21:31:15
AM0002,N004,N005,谈家渡路,曹杨路,1,expedite,35,0.0072,0.05,0.05,2026-06-22T21:31:15
AM0003,N006,N007,曹杨路,曹杨路,1,expedite,35,0.0,0.05,0.05,2026-06-22T21:31:15
AM0004,N007,N008,普雄路,普雄路,1,expedite,30,0.0003,0.05,0.05,2026-06-22T21:31:15
AM0005,N009,N010,武宁路桥,武宁路,1,expedite,50,0.0001,0.19,0.19,2026-06-22T21:31:15
AM0006,N011,N012,长寿路,安远路,1,expedite,25,0.0001,0.05,0.05,2026-06-22T21:31:15
AM0007,N012,N002,胶州路,胶州路,1,expedite,25,0.0,0.05,0.05,2026-06-22T21:31:15
AM0008,N009,N013,武宁路桥,武宁南路,1,expedite,35,0.0,0.342,0.342,2026-06-22T21:31:15
AM0009,N014,N015,余姚路,余姚路,1,expedite,100,0.0,0.05,0.05,2026-06-22T21:31:15
AM0010,N015,N002,胶州路,胶州路,1,expedite,25,0.0003,0.05,0.05,2026-06-22T21:31:15
AM0011,N011,N016,长寿路,安远路,1,expedite,25,0.0001,0.05,0.05,2026-06-22T21:31:15
AM0012,N017,N018,叶家宅路,长寿路,1,expedite,30,0.0076,0.05,0.05,2026-06-22T21:31:15
AM0017,N022,N023,向东南行驶343米右转进入主路,长寿路,1,expedite,30,0.0014,0.15,0.15,2026-06-22T21:31:15
AM0018,N023,N024,长寿路,长寿路,1,expedite,30,0.001,0.05,0.05,2026-06-22T21:31:15
AM0019,N016,N012,长寿路,胶州路,1,expedite,25,0.0002,0.05,0.05,2026-06-22T21:31:15
AM0020,N011,N025,长寿路,安远路,1,expedite,25,0.0001,0.05,0.05,2026-06-22T21:31:15
AM0021,N025,N026,长寿路,常德路,1,expedite,30,0.0027,0.05,0.05,2026-06-22T21:31:15
AM0022,N026,N027,常德路,常德路,1,expedite,30,0.0002,0.05,0.05,2026-06-22T21:31:15
AM0023,N027,N028,新会路,常德路,1,expedite,30,0.0011,0.05,0.05,2026-06-22T21:31:15
AM0024,N028,N002,胶州路,胶州路,1,expedite,25,0.0,0.05,0.05,2026-06-22T21:31:15
AM0025,N001,N029,光复西路,光复西路,1,expedite,30,0.0001,0.05,0.05,2026-06-22T21:31:15
AM0026,N030,N031,镇坪路辅路,光复西路,1,expedite,30,0.0003,0.05,0.05,2026-06-22T21:31:15
AM0027,N031,N032,镇坪路,凯旋北路,1,expedite,56,0.0006,0.05,0.05,2026-06-22T21:31:15
AM0028,N033,N034,镇坪路,镇坪路,1,expedite,35,0.0001,0.05,0.05,2026-06-22T21:31:15
AM0029,N035,N036,宜昌路,宜昌路,1,expedite,30,0.0001,0.05,0.05,2026-06-22T21:31:15
AM0030,N037,N038,宜昌路,宜昌路,1,expedite,25,0.0,0.05,0.05,2026-06-22T21:31:15
AM0031,N038,N039,向西北行驶39米右转,宜昌路,1,expedite,25,0.0007,0.15,0.15,2026-06-22T21:31:15
AM0032,N039,N040,向东北行驶120米到达途经地,宜昌路,1,expedite,25,0.0168,0.15,0.15,2026-06-22T21:31:15
AM0033,N040,N041,向西北行驶44米左转调头,宜昌路,1,expedite,25,0.0375,0.15,0.15,2026-06-22T21:31:15
AM0034,N041,N039,向西南行驶164米向左后方行驶,宜昌路,1,expedite,25,0.0168,0.15,0.15,2026-06-22T21:31:15
AM0035,N039,N038,向东南行驶39米左转,宜昌路,1,expedite,25,0.0007,0.15,0.15,2026-06-22T21:31:15
AM0036,N038,N042,宜昌路,宜昌路,1,expedite,25,0.0004,0.05,0.05,2026-06-22T21:31:15
AM0037,N042,N043,陕西北路,宜昌路,1,expedite,30,0.0001,0.05,0.05,2026-06-22T21:31:15
AM0038,N043,N044,长寿路,长寿路,1,expedite,30,0.0001,0.05,0.05,2026-06-22T21:31:15
AM0039,N009,N045,武宁路桥,武宁南路,1,expedite,35,0.0,0.05,0.05,2026-06-22T21:31:15
AM0040,N046,N047,万航渡路,万航渡路,1,expedite,30,0.0003,0.05,0.05,2026-06-22T21:31:15
