node_id,x,y,label,type
O27477662,116.3695522,39.9843711,,normal
O27484728,116.353754,39.9598796,,normal
O27484730,116.3534915,39.9684678,,normal
O27484733,116.3529328,39.9678582,,normal
O27484736,116.369989,39.9681075,,normal
O27484737,116.368561,39.9675951,,normal
O27547614,116.3561082,39.9290958,,normal
O27547621,116.3556296,39.9400844,,normal
O27547627,116.3555608,39.9416195,,normal
O27547629,116.3557364,39.943076,,normal
O27547644,116.3563341,39.9490393,,normal
O27547646,116.3561258,39.9502203,,normal
O27547648,116.3552082,39.9556453,,normal
O27547653,116.3549997,39.961264,,normal
O27547660,116.3541061,39.9776674,,normal
O27547665,116.3536397,39.9853188,,normal
O27547688,116.3699097,39.9758013,,normal
O30993511,116.4165438,39.9951182,,normal
O30993514,116.4008132,39.9947843,,normal
O30993516,116.4034272,39.9935003,,normal
O30993517,116.4039029,39.9935092,,normal
O30993518,116.4043327,39.9934471,,normal
O30993519,116.4046842,39.9933209,,normal
O30993520,116.4051911,39.9929545,,normal
O30993521,116.4054987,39.9922155,,normal
O30993523,116.4054657,39.9909784,,normal
O30993524,116.4054058,39.9906905,,normal
O30993525,116.4051804,39.9903895,,normal
O30993526,116.4048837,39.9902172,,normal
O30993527,116.4045273,39.9901453,,normal
O30993528,116.4041316,39.9901249,,normal
O30993546,116.4034383,39.994687,,normal
O30993549,116.4034619,39.9901051,,normal
O30993553,116.4007914,39.9917983,,normal
O30993605,116.3702776,39.9873041,,normal
O30993612,116.4103231,39.9884208,,normal
O30993614,116.4248838,39.9888339,,normal
O30993615,116.435147,39.9891312,,normal
O30993616,116.4366762,39.9891353,,normal
O30993617,116.4373284,39.9890798,,normal
O30993618,116.438095,39.9889771,,normal
O30993619,116.4396541,39.988623,,normal
O30993620,116.4410543,39.9881502,,normal
O30993621,116.4466087,39.9859874,,normal
O30993622,116.4478921,39.9853962,,normal
O30993623,116.448312,39.9851474,,normal
O30993628,116.4642987,39.9746339,,normal
O30993631,116.4750228,39.9675512,,normal
