edge_id,from,to,distance,danger_type,congestion,passable,road_name,instruction,polyline,strategy,variant,path_index,step_index
OSM00001,O746496440,O2358605991,0.0203,flood,0.08,true,慧忠路,OSM tertiary way 4822336,"116.4009747,39.9946528;116.4012129,39.9946402",osm,osm_tertiary,4822336,0
OSM00002,O2358605991,O10784658087,0.1285,flood,0.08,true,慧忠路,OSM tertiary way 4822336,"116.4012129,39.9946402;116.4027205,39.9946719",osm,osm_tertiary,4822336,1
OSM00003,O10784658087,O30993546,0.0612,flood,0.08,true,慧忠路,OSM tertiary way 4822336,"116.4027205,39.9946719;116.4034383,39.9946870",osm,osm_tertiary,4822336,2
OSM00004,O30993546,O1718852260,0.0272,flood,0.08,true,慧忠路,OSM tertiary way 4822336,"116.4034383,39.9946870;116.4037574,39.9947034",osm,osm_tertiary,4822336,3
OSM00005,O1718852260,O1718852261,0.0689,flood,0.08,true,慧忠路,OSM tertiary way 4822336,"116.4037574,39.9947034;116.4045541,39.9948083",osm,osm_tertiary,4822336,4
OSM00006,O30993546,O6187514008,0.0487,flood,0.05,true,residential,OSM residential way 4822342,"116.4034383,39.9946870;116.4034716,39.9942502",osm,osm_residential,4822342,5
OSM00007,O6187514008,O1718852255,0.0693,flood,0.05,true,residential,OSM residential way 4822342,"116.4034716,39.9942502;116.4034957,39.9936274",osm,osm_residential,4822342,6
OSM00008,O1718852255,O13384069236,0.0032,flood,0.05,true,residential,OSM residential way 4822342,"116.4034957,39.9936274;116.4034885,39.9935996",osm,osm_residential,4822342,7
OSM00009,O13384069236,O30993516,0.0122,flood,0.05,true,residential,OSM residential way 4822342,"116.4034885,39.9935996;116.4034272,39.9935003",osm,osm_residential,4822342,8
OSM00010,O30993516,O13385609231,0.0051,flood,0.05,true,residential,OSM residential way 4822342,"116.4034272,39.9935003;116.4034277,39.9934540",osm,osm_residential,4822342,9
OSM00011,O13385609231,O13177407625,0.135,flood,0.05,true,residential,OSM residential way 4822342,"116.4034277,39.9934540;116.4034400,39.9922402",osm,osm_residential,4822342,10
OSM00012,O13177407625,O13177407617,0.0218,flood,0.05,true,residential,OSM residential way 4822342,"116.4034400,39.9922402;116.4034421,39.9920440",osm,osm_residential,4822342,11
OSM00013,O13177407617,O9655519155,0.0723,flood,0.05,true,residential,OSM residential way 4822342,"116.4034421,39.9920440;116.4034487,39.9913934",osm,osm_residential,4822342,12
OSM00014,O9655519155,O30993549,0.1433,flood,0.05,true,residential,OSM residential way 4822342,"116.4034487,39.9913934;116.4034619,39.9901051",osm,osm_residential,4822342,13
OSM00015,O30993605,O10216127682,0.1331,normal,0.05,true,北四环中路,OSM trunk way 4822362,"116.3702776,39.9873041;116.3718392,39.9873428",osm,osm_trunk,4822362,14
OSM00016,O10216127682,O32618885,0.0376,normal,0.05,true,北四环中路,OSM trunk way 4822362,"116.3718392,39.9873428;116.3722804,39.9873537",osm,osm_trunk,4822362,15
OSM00017,O32618885,O1421587228,0.0494,normal,0.05,true,北四环中路,OSM trunk way 4822362,"116.3722804,39.9873537;116.3728599,39.9873616",osm,osm_trunk,4822362,16
OSM00018,O31017965,O31017966,0.2851,congestion,0.9,true,北二环,OSM trunk way 4825504,"116.4082958,39.9490065;116.4116398,39.9490646",osm,osm_trunk,4825504,17
OSM00019,O9322433639,O733859080,0.2828,congestion,0.6,true,美术馆后街,OSM secondary way 4843675,"116.4088734,39.9324383;116.4089884,39.9298969",osm,osm_secondary,4843675,18
OSM00020,O733859080,O9327723478,0.2429,congestion,0.6,true,美术馆后街,OSM secondary way 4843675,"116.4089884,39.9298969;116.4090678,39.9277133",osm,osm_secondary,4843675,19
OSM00021,O9327723478,O1860131869,0.0295,congestion,0.6,true,美术馆后街,OSM secondary way 4843675,"116.4090678,39.9277133;116.4090775,39.9274479",osm,osm_secondary,4843675,20
OSM00022,O1860131869,O32899013,0.0185,congestion,0.6,true,美术馆后街,OSM secondary way 4843675,"116.4090775,39.9274479;116.4091343,39.9272875",osm,osm_secondary,4843675,21
OSM00023,O31204703,O31204892,0.0586,flood,0.05,true,unclassified,OSM unclassified way 4845099,"116.4006970,39.9824276;116.4002485,39.9828277",osm,osm_unclassified,4845099,22
OSM00024,O31204696,O31204911,0.0569,flood,0.05,true,unclassified,OSM unclassified way 4845102,"116.3980073,39.9823544;116.3983972,39.9827696",osm,osm_unclassified,4845102,23
OSM00025,O332618906,O32388118,0.0187,normal,0.08,true,primary,OSM primary way 4928045,"116.4088354,39.9334756;116.4088411,39.9333079",osm,osm_primary,4928045,24
OSM00026,O9864155731,O9864155732,0.0091,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3959454,39.9401726;116.3959500,39.9400908",osm,osm_secondary,4928048,25
OSM00027,O9864155732,O13239706078,0.0049,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3959500,39.9400908;116.3959529,39.9400471",osm,osm_secondary,4928048,26
OSM00028,O13239706078,O321262088,0.085,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3959529,39.9400471;116.3960036,39.9392840",osm,osm_secondary,4928048,27
OSM00029,O321262088,O269491225,0.0981,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3960036,39.9392840;116.3960442,39.9384021",osm,osm_secondary,4928048,28
OSM00030,O269491225,O9378344192,0.0381,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3960442,39.9384021;116.3960584,39.9380598",osm,osm_secondary,4928048,29
OSM00031,O9378344192,O32451488,0.0151,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3960584,39.9380598;116.3960674,39.9379245",osm,osm_secondary,4928048,30
OSM00032,O32451488,O9378344190,0.0292,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3960674,39.9379245;116.3960791,39.9376622",osm,osm_secondary,4928048,31
OSM00033,O9378344190,O269491787,0.0218,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3960791,39.9376622;116.3960873,39.9374663",osm,osm_secondary,4928048,32
OSM00034,O269491787,O269487636,0.08,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3960873,39.9374663;116.3961282,39.9367475",osm,osm_secondary,4928048,33
OSM00035,O269487636,O269491782,0.0198,congestion,0.6,true,地安门外大街,OSM secondary way 4928048,"116.3961282,39.9367475;116.3961298,39.9365696",osm,osm_secondary,4928048,34
OSM00036,O32451488,O1976195314,0.1122,normal,0.05,true,方砖厂胡同,OSM service way 4931009,"116.3960674,39.9379245;116.3973701,39.9380658",osm,osm_service,4931009,35
OSM00037,O1976195314,O32451728,0.0243,normal,0.05,true,方砖厂胡同,OSM service way 4931009,"116.3973701,39.9380658;116.3976532,39.9380912",osm,osm_service,4931009,36
