edge_id,from,to,road_name,traffic_road_name,traffic_status,traffic_status_label,traffic_speed_kmh,original_congestion,mapped_congestion,traffic_captured_at
OSM00018,O31017965,O31017966,北二环,北二环路,3,blocked,5,0.05,0.9,2026-06-23T17:30:01
OSM00019,O9322433639,O733859080,美术馆后街,美术馆后街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM00020,O733859080,O9327723478,美术馆后街,美术馆后街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM00021,O9327723478,O1860131869,美术馆后街,美术馆后街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM00022,O1860131869,O32899013,美术馆后街,美术馆后街,2,congested,15,0.08,0.6,2026-06-23T17:30:01
OSM00026,O9864155731,O9864155732,地安门外大街,地安门外大街,2,congested,19,0.08,0.6,2026-06-23T17:30:01
OSM00027,O9864155732,O13239706078,地安门外大街,地安门外大街,2,congested,19,0.08,0.6,2026-06-23T17:30:01
OSM00028,O13239706078,O321262088,地安门外大街,地安门外大街,2,congested,19,0.08,0.6,2026-06-23T17:30:01
OSM00029,O321262088,O269491225,地安门外大街,地安门外大街,2,congested,19,0.08,0.6,2026-06-23T17:30:01
OSM00030,O269491225,O9378344192,地安门外大街,地安门外大街,2,congested,19,0.08,0.6,2026-06-23T17:30:01
OSM00031,O9378344192,O32451488,地安门外大街,地安门外大街,2,congested,19,0.08,0.6,2026-06-23T17:30:01
OSM00032,O32451488,O9378344190,地安门外大街,地安门外大街,2,congested,19,0.08,0.6,2026-06-23T17:30:01
OSM00033,O9378344190,O269491787,地安门外大街,地安门外大街,2,congested,19,0.08,0.6,2026-06-23T17:30:01
OSM00034,O269491787,O269487636,地安门外大街,地安门外大街,2,congested,19,0.08,0.6,2026-06-23T17:30:01
OSM00035,O269487636,O269491782,地安门外大街,地安门外大街,2,congested,19,0.08,0.6,2026-06-23T17:30:01
OSM00089,O9385110314,O12865299863,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
OSM00090,O12865299863,O1807791733,姚家园路,姚家园路,2,congested,20,0.08,0.6,2026-06-23T17:30:01
