record_id,captured_at,query_location,query_radius_m,query_level,area_description,evaluation_status,evaluation_description,evaluation_expedite,evaluation_congested,evaluation_blocked,evaluation_unknown,road_name,status,status_label,direction,angle,speed_kmh,lcodes,polyline
TR0001,2026-06-23T17:30:01,"116.4012,39.9420",5000,5,北二环路：从德胜门桥到鼓楼桥严重拥堵，安定门桥附近自东向西严重拥堵；北河沿大街：从亮果厂胡同到五四大街行驶缓慢；地安门西大街：市文物研究所附近自西向东行驶缓慢；地安门东大街：从南锣鼓巷到东板桥街行驶缓慢；安定门内大街：自南向北缓慢，反向畅通；安定门外大街：从和平里北街到青年沟路行驶缓慢；美术馆后街：自南向北畅通，反向缓慢。,2,轻度拥堵,72.55%,21.57%,3.92%,1.96%,北二环路,3,blocked,从德胜门桥到鼓楼桥,0,5,"4587,6117","116.375626,39.948761;116.376434,39.9487839;116.378723,39.9488144;116.379211,39.9487991;116.379593,39.9487991;116.380051,39.948822;116.380501,39.9488258;116.381226,39.9488258;116.382088,39.9488297;116.382828,39.9488297;116.384201,39.9488487;116.387184,39.9488678;116.38942,39.9488945;116.392212,39.9489098;116.394028,39.9489059"
TR0002,2026-06-23T17:30:01,"116.4012,39.9420",5000,5,北二环路：从德胜门桥到鼓楼桥严重拥堵，安定门桥附近自东向西严重拥堵；北河沿大街：从亮果厂胡同到五四大街行驶缓慢；地安门西大街：市文物研究所附近自西向东行驶缓慢；地安门东大街：从南锣鼓巷到东板桥街行驶缓慢；安定门内大街：自南向北缓慢，反向畅通；安定门外大街：从和平里北街到青年沟路行驶缓慢；美术馆后街：自南向北畅通，反向缓慢。,2,轻度拥堵,72.55%,21.57%,3.92%,1.96%,北二环路,3,blocked,从安定门东大街出口到德胜门桥东５５０米入口,180,10,"-4584,-6557,-4585,-6117,-4587","116.412651,39.9492416;116.411552,39.9491959;116.410576,39.9491653;116.409172,39.9491653;116.404282,39.9491158;116.403343,39.9491119;116.400444,39.9490891;116.399506,39.94907;116.396332,39.949028;116.395821,39.949028;116.395149,39.9490128;116.393806,39.9490166;116.39296,39.9490051;116.392197,39.9490128;116.389687,39.9490013;116.384979,39.9489632"
TR0003,2026-06-23T17:30:01,"116.4012,39.9420",5000,5,北二环路：从德胜门桥到鼓楼桥严重拥堵，安定门桥附近自东向西严重拥堵；北河沿大街：从亮果厂胡同到五四大街行驶缓慢；地安门西大街：市文物研究所附近自西向东行驶缓慢；地安门东大街：从南锣鼓巷到东板桥街行驶缓慢；安定门内大街：自南向北缓慢，反向畅通；安定门外大街：从和平里北街到青年沟路行驶缓慢；美术馆后街：自南向北畅通，反向缓慢。,2,轻度拥堵,72.55%,21.57%,3.92%,1.96%,北二环路,2,congested,从西直门北大街到桦皮厂胡同,20,15,6192,"116.358276,39.9443207;116.359146,39.9445763"
TR0004,2026-06-23T17:30:01,"116.4012,39.9420",5000,5,北二环路：从德胜门桥到鼓楼桥严重拥堵，安定门桥附近自东向西严重拥堵；北河沿大街：从亮果厂胡同到五四大街行驶缓慢；地安门西大街：市文物研究所附近自西向东行驶缓慢；地安门东大街：从南锣鼓巷到东板桥街行驶缓慢；安定门内大街：自南向北缓慢，反向畅通；安定门外大街：从和平里北街到青年沟路行驶缓慢；美术馆后街：自南向北畅通，反向缓慢。,2,轻度拥堵,72.55%,21.57%,3.92%,1.96%,北二环路,2,congested,从鼓楼桥到北锣鼓巷,0,20,"4585,6557","116.394028,39.9489059;116.395157,39.9489059;116.398125,39.9489288;116.398933,39.9489555;116.400497,39.9489822"
TR0005,2026-06-23T17:30:01,"116.4012,39.9420",5000,5,北二环路：从德胜门桥到鼓楼桥严重拥堵，安定门桥附近自东向西严重拥堵；北河沿大街：从亮果厂胡同到五四大街行驶缓慢；地安门西大街：市文物研究所附近自西向东行驶缓慢；地安门东大街：从南锣鼓巷到东板桥街行驶缓慢；安定门内大街：自南向北缓慢，反向畅通；安定门外大街：从和平里北街到青年沟路行驶缓慢；美术馆后街：自南向北畅通，反向缓慢。,2,轻度拥堵,72.55%,21.57%,3.92%,1.96%,北二环路,2,congested,从雍和大厦到雍和宫桥,182,15,-4583,"116.420181,39.9494743;116.417671,39.9494095;116.415588,39.9493561;116.412651,39.9492416"
TR0006,2026-06-23T17:30:01,"116.4012,39.9420",5000,5,北二环路：从德胜门桥到鼓楼桥严重拥堵，安定门桥附近自东向西严重拥堵；北河沿大街：从亮果厂胡同到五四大街行驶缓慢；地安门西大街：市文物研究所附近自西向东行驶缓慢；地安门东大街：从南锣鼓巷到东板桥街行驶缓慢；安定门内大街：自南向北缓慢，反向畅通；安定门外大街：从和平里北街到青年沟路行驶缓慢；美术馆后街：自南向北畅通，反向缓慢。,2,轻度拥堵,72.55%,21.57%,3.92%,1.96%,北河沿大街,2,congested,从亮果厂胡同到五四大街,272,15,-6853,"116.406044,39.9272308;116.406204,39.924305"
TR0007,2026-06-23T17:30:01,"116.4012,39.9420",5000,5,北二环路：从德胜门桥到鼓楼桥严重拥堵，安定门桥附近自东向西严重拥堵；北河沿大街：从亮果厂胡同到五四大街行驶缓慢；地安门西大街：市文物研究所附近自西向东行驶缓慢；地安门东大街：从南锣鼓巷到东板桥街行驶缓慢；安定门内大街：自南向北缓慢，反向畅通；安定门外大街：从和平里北街到青年沟路行驶缓慢；美术馆后街：自南向北畅通，反向缓慢。,2,轻度拥堵,72.55%,21.57%,3.92%,1.96%,地安门西大街,2,congested,从东官房胡同到三座桥胡同,3,15,4819,"116.385529,39.9331207;116.387024,39.9331741;116.388535,39.9332504"
TR0008,2026-06-23T17:30:01,"116.4012,39.9420",5000,5,北二环路：从德胜门桥到鼓楼桥严重拥堵，安定门桥附近自东向西严重拥堵；北河沿大街：从亮果厂胡同到五四大街行驶缓慢；地安门西大街：市文物研究所附近自西向东行驶缓慢；地安门东大街：从南锣鼓巷到东板桥街行驶缓慢；安定门内大街：自南向北缓慢，反向畅通；安定门外大街：从和平里北街到青年沟路行驶缓慢；美术馆后街：自南向北畅通，反向缓慢。,2,轻度拥堵,72.55%,21.57%,3.92%,1.96%,地安门西大街,2,congested,从地安门外大街到前海南沿,178,25,-4820,"116.396286,39.9334755;116.392906,39.9335213"
TR0009,2026-06-23T17:30:01,"116.4012,39.9420",5000,5,北二环路：从德胜门桥到鼓楼桥严重拥堵，安定门桥附近自东向西严重拥堵；北河沿大街：从亮果厂胡同到五四大街行驶缓慢；地安门西大街：市文物研究所附近自西向东行驶缓慢；地安门东大街：从南锣鼓巷到东板桥街行驶缓慢；安定门内大街：自南向北缓慢，反向畅通；安定门外大街：从和平里北街到青年沟路行驶缓慢；美术馆后街：自南向北畅通，反向缓慢。,2,轻度拥堵,72.55%,21.57%,3.92%,1.96%,地安门东大街,2,congested,从南锣鼓巷到东板桥街,180,15,-4824,"116.402756,39.9335213;116.400406,39.933506"
TR0010,2026-06-23T17:30:01,"116.4012,39.9420",5000,5,北二环路：从德胜门桥到鼓楼桥严重拥堵，安定门桥附近自东向西严重拥堵；北河沿大街：从亮果厂胡同到五四大街行驶缓慢；地安门西大街：市文物研究所附近自西向东行驶缓慢；地安门东大街：从南锣鼓巷到东板桥街行驶缓慢；安定门内大街：自南向北缓慢，反向畅通；安定门外大街：从和平里北街到青年沟路行驶缓慢；美术馆后街：自南向北畅通，反向缓慢。,2,轻度拥堵,72.55%,21.57%,3.92%,1.96%,安定门内大街,2,congested,从交道口东大街到国子监街,91,15,6168,"116.408569,39.9408989;116.408585,39.9412766;116.408554,39.941925;116.408531,39.9426193;116.408501,39.9433441;116.408463,39.9440117;116.408424,39.944767;116.408371,39.9454384"
