record_id,captured_at,query_location,query_radius_m,query_level,area_description,evaluation_status,evaluation_description,evaluation_expedite,evaluation_congested,evaluation_blocked,evaluation_unknown,road_name,status,status_label,direction,angle,speed_kmh,lcodes,polyline
TR0001,2026-06-23T17:30:01,"116.326936,40.003213",5000,5,中关村东路：保福寺桥附近双向行驶缓慢；双清路：林业大学附近自北向南行驶缓慢；中关村北大街：从圆明园遗址东门到清华大学西门行驶缓慢。,2,轻度拥堵,66.67%,33.33%,0.00%,0.00%,中关村东路,2,congested,联想桥附近,94,27,5651,"116.334267,39.9673538;116.334259,39.9674454;116.334221,39.9677582"
TR0002,2026-06-23T17:30:01,"116.326936,40.003213",5000,5,中关村东路：保福寺桥附近双向行驶缓慢；双清路：林业大学附近自北向南行驶缓慢；中关村北大街：从圆明园遗址东门到清华大学西门行驶缓慢。,2,轻度拥堵,66.67%,33.33%,0.00%,0.00%,中关村东路,2,congested,从中关村南路到双清路,92,20,"5646,5643,5641","116.333527,39.9811058;116.33342,39.982769;116.333366,39.9837914;116.333359,39.9843102;116.333298,39.9857559;116.33326,39.9862862;116.333206,39.9874458;116.333084,39.9896584;116.332977,39.9915276;116.332962,39.9920616;116.332924,39.9927902;116.332886,39.9931984;116.332863,39.9939041;116.332817,39.9948273;116.332802,39.9952812"
TR0003,2026-06-23T17:30:01,"116.326936,40.003213",5000,5,中关村东路：保福寺桥附近双向行驶缓慢；双清路：林业大学附近自北向南行驶缓慢；中关村北大街：从圆明园遗址东门到清华大学西门行驶缓慢。,2,轻度拥堵,66.67%,33.33%,0.00%,0.00%,中关村东路,2,congested,从双清路到知春路,272,20,"-5643,-5646,-8802,-5650","116.332695,39.9948959;116.332748,39.9937973;116.332779,39.9927025;116.332832,39.9914474;116.33297,39.9894409;116.333069,39.9874344;116.333122,39.9862747;116.333153,39.9857483;116.333206,39.9846115;116.333252,39.9837761;116.333298,39.9826508;116.333389,39.9810982;116.333466,39.9795723;116.333656,39.9764633"
TR0004,2026-06-23T17:30:01,"116.326936,40.003213",5000,5,中关村东路：保福寺桥附近双向行驶缓慢；双清路：林业大学附近自北向南行驶缓慢；中关村北大街：从圆明园遗址东门到清华大学西门行驶缓慢。,2,轻度拥堵,66.67%,33.33%,0.00%,0.00%,双清路,2,congested,从清华东路到荷清路,246,15,-9364,"116.338135,40.0005188;116.338013,40.000267;116.337883,39.9999733;116.337761,39.9997063;116.337677,39.9995346;116.337563,39.9992142;116.337463,39.9990883;116.337402,39.999012;116.337334,39.9989319;116.337166,39.9987946"
TR0005,2026-06-23T17:30:01,"116.326936,40.003213",5000,5,中关村东路：保福寺桥附近双向行驶缓慢；双清路：林业大学附近自北向南行驶缓慢；中关村北大街：从圆明园遗址东门到清华大学西门行驶缓慢。,2,轻度拥堵,66.67%,33.33%,0.00%,0.00%,中关村北大街,2,congested,中关村一桥附近,95,16,5818,"116.316452,39.9852448;116.316391,39.9857674"
TR0006,2026-06-23T17:30:01,"116.326936,40.003213",5000,5,中关村东路：保福寺桥附近双向行驶缓慢；双清路：林业大学附近自北向南行驶缓慢；中关村北大街：从圆明园遗址东门到清华大学西门行驶缓慢。,2,轻度拥堵,66.67%,33.33%,0.00%,0.00%,中关村北大街,2,congested,从荷清路到清华西路,259,20,-5819,"116.318222,40.0127029;116.31839,40.0114632;116.318527,40.0103378;116.318703,40.0090942;116.31881,40.008213;116.318909,40.0073547;116.318916,40.0071869;116.318901,40.0070038;116.318878,40.0069199;116.31881,40.0067596;116.31871,40.0066299;116.318649,40.0065613;116.318558,40.0064888;116.318405,40.0064087;116.318275,40.0063705;116.318184,40.0063477;116.318039,40.0063171;116.317421,40.0062447;116.316994,40.0061874;116.316727,40.0061378;116.316574,40.0061035;116.316376,40.0060349;116.316177,40.0059586;116.315956,40.0058441;116.31575,40.0057144;116.315536,40.0055466;116.315399,40.0054054;116.315269,40.0052414;116.315163,40.0050888;116.315117,40.0049896;116.315041,40.0048027;116.315002,40.0046234;116.314987,40.0044441;116.31498,40.0042648;116.314987,40.0025024;116.315041,40.0023651;116.315056,40.0010834;116.315056,40.0009308;116.315025,40.0000877;116.314987,39.9999008"
TR0007,2026-06-23T17:30:01,"116.326936,40.003213",5000,5,中关村东路：保福寺桥附近双向行驶缓慢；双清路：林业大学附近自北向南行驶缓慢；中关村北大街：从圆明园遗址东门到清华大学西门行驶缓慢。,2,轻度拥堵,66.67%,33.33%,0.00%,0.00%,中关村东路,1,expedite,双清路附近,273,32,-5641,"116.332672,39.995224;116.332695,39.9948959"
TR0008,2026-06-23T17:30:01,"116.326936,40.003213",5000,5,中关村东路：保福寺桥附近双向行驶缓慢；双清路：林业大学附近自北向南行驶缓慢；中关村北大街：从圆明园遗址东门到清华大学西门行驶缓慢。,2,轻度拥堵,66.67%,33.33%,0.00%,0.00%,荷清路,1,expedite,从中关村北大街到成府路,305,40,"9362,2210,9363","116.318222,40.0127029;116.318451,40.0126724;116.318756,40.0127068;116.319344,40.0127945;116.320312,40.0129662;116.320816,40.013031;116.321884,40.013134;116.322792,40.0131569;116.323677,40.0131874;116.325562,40.0132484;116.326279,40.0132751;116.327179,40.013298;116.328163,40.0133095;116.328323,40.0132904;116.328499,40.0132408;116.328766,40.0131912;116.328873,40.0131721;116.329048,40.0131645;116.329727,40.0131874;116.330475,40.0132141;116.330803,40.0132217;116.330986,40.0131874;116.331108,40.0131607;116.33123,40.0131187;116.331314,40.0130882;116.33139,40.0130501;116.331482,40.0129929;116.331535,40.0129509;116.332436,40.0121574;116.333565,40.0111389;116.33419,40.0105896;116.334503,40.0102921;116.335365,40.009552;116.335518,40.0093994;116.335648,40.0092583;116.335983,40.0088387;116.33625,40.0084648;116.336403,40.0081673;116.336517,40.0079079;116.336632,40.0075989;116.3367,40.0073128;116.336739,40.0071602;116.336815,40.0068054;116.336838,40.0067329;116.336838,40.0064507;116.336945,40.0043144;116.33699,40.00317;116.337051,40.0015945;116.337051,40.0013199;116.337173,39.9987869;116.337296,39.9970551;116.337387,39.9948654;116.337379,39.9946785;116.337349,39.9945145;116.337227,39.9941063;116.336906,39.9929619;116.336891,39.9929161;116.336922,39.9928551"
TR0009,2026-06-23T17:30:01,"116.326936,40.003213",5000,5,中关村东路：保福寺桥附近双向行驶缓慢；双清路：林业大学附近自北向南行驶缓慢；中关村北大街：从圆明园遗址东门到清华大学西门行驶缓慢。,2,轻度拥堵,66.67%,33.33%,0.00%,0.00%,荷清路,1,expedite,从成府路到中关村北大街,125,25,"-9363,-2210,-9362","116.336922,39.9928551;116.33696,39.9929199;116.336967,39.9929543;116.337296,39.9940987;116.337425,39.9945068;116.337448,39.9946747;116.337456,39.9948654;116.337372,39.9970589;116.337242,39.9988441;116.337234,39.9992638;116.337143,40.0013199;116.337128,40.0018578;116.337029,40.0043106;116.33699,40.0053253;116.336967,40.006176;116.33696,40.0066147;116.336945,40.0069809;116.336937,40.0070877;116.336914,40.0072098;116.336891,40.0073547;116.336792,40.0076752;116.336678,40.0079689;116.336563,40.0082092;116.336372,40.0085411;116.336098,40.008934;116.335861,40.0091972;116.335724,40.0093155;116.335609,40.009449;116.333656,40.0111656;116.331482,40.0131416;116.330673,40.0138474;116.330559,40.0139427;116.330391,40.0140457;116.330223,40.0141106;116.330032,40.0141678;116.329834,40.0141945;116.329651,40.0141907;116.329514,40.0141792;116.329224,40.0140762;116.32917,40.0140495;116.328178,40.0134125;116.327232,40.0133781;116.325882,40.0133705;116.322433,40.0132484;116.321877,40.0132256;116.321602,40.0132103;116.321198,40.0131721;116.320335,40.0130501;116.319611,40.0129395;116.319099,40.0128517;116.318794,40.0128098;116.318436,40.0127678;116.318222,40.0127029"
TR0010,2026-06-23T17:30:01,"116.326936,40.003213",5000,5,中关村东路：保福寺桥附近双向行驶缓慢；双清路：林业大学附近自北向南行驶缓慢；中关村北大街：从圆明园遗址东门到清华大学西门行驶缓慢。,2,轻度拥堵,66.67%,33.33%,0.00%,0.00%,双清路,1,expedite,从中关村东路到上清桥,62,35,"9364,8451,8452,8780,8453","116.332817,39.995266;116.332932,39.9953613;116.334007,39.9962044;116.335136,39.9971466;116.336433,39.9981728;116.337265,39.9988365;116.337357,39.9989166;116.337433,39.9989967;116.337494,39.9990692;116.337601,39.9992027;116.337715,39.9995232;116.337799,39.9996986;116.337921,39.9999657;116.338043,40.0002594;116.338257,40.0006943;116.338531,40.0013161;116.339272,40.0030212;116.339661,40.0038948;116.339706,40.0040092;116.339821,40.0042572;116.339958,40.0045128;116.340256,40.0048828;116.340347,40.0050049;116.340454,40.0051308;116.340683,40.0054474;116.340797,40.0056458;116.340904,40.0058098;116.340981,40.0059776;116.341156,40.0064278;116.341675,40.0075874;116.341949,40.0082321;116.342789,40.0098991;116.343254,40.0108681;116.343567,40.0114594;116.34391,40.0121422;116.344017,40.0123596;116.344704,40.0136986;116.345406,40.0151215;116.345741,40.0158119;116.345917,40.0162582;116.346016,40.0165405;116.3461,40.0168533;116.346153,40.0169945;116.346268,40.0172501;116.346344,40.0174026;116.346596,40.0177956;116.346718,40.0179787;116.346863,40.0182419;116.346931,40.0183907;116.346977,40.0185432;116.347122,40.0192757;116.347183,40.0194969;116.347351,40.0200195;116.347664,40.0208931;116.347855,40.0213318;116.347946,40.0214081;116.348053,40.0215111;116.348282,40.0217247;116.348389,40.0218086;116.34848,40.0218697;116.348572,40.0219307;116.348679,40.0219841;116.348801,40.0220413;116.348961,40.0221024;116.349121,40.0221558;116.349297,40.0222015;116.35009,40.0223618;116.350296,40.0224037;116.350594,40.0224571;116.351021,40.0225563"
