record_id,captured_at,query_location,query_radius_m,query_level,area_description,evaluation_status,evaluation_description,evaluation_expedite,evaluation_congested,evaluation_blocked,evaluation_unknown,road_name,status,status_label,direction,angle,speed_kmh,lcodes,polyline
TR0001,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,酒仙桥路,3,blocked,从京密路到酒仙桥北路,318,10,-6950,"116.487961,39.9889717;116.489464,39.9879456"
TR0002,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,机场高速,2,congested,从三元桥到东直门外斜街,229,41,-6265,"116.453514,39.9570808;116.452637,39.9562988"
TR0003,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园路,2,congested,从石佛营路到青年路,20,20,6298,"116.502007,39.9360428;116.50264,39.9362259;116.504532,39.9367599;116.505417,39.9370079;116.505699,39.9370842;116.506012,39.9371796;116.513351,39.9392281;116.514862,39.9396477;116.517174,39.9403076;116.517342,39.9403496"
TR0004,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,姚家园路,2,congested,从青年路到石佛营路,200,15,-5890,"116.517174,39.9404259;116.515465,39.93993;116.513924,39.9395027;116.51297,39.9392319;116.512108,39.9389954;116.506012,39.937294;116.505402,39.9371262;116.504593,39.9368935;116.50354,39.9366074;116.502525,39.9363251;116.501884,39.936142"
TR0005,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,星火东路,2,congested,从姚家园北路到东坝路,90,25,8568,"116.512131,39.9447327;116.512108,39.9461899"
TR0006,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,星火东路,2,congested,从姚家园北一路到姚家园北二路,98,25,9403,"116.512001,39.9476395;116.511559,39.9497833"
TR0007,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,酒仙桥路,2,congested,从将台西路到将台路,90,20,6947,"116.489861,39.9712677;116.489861,39.9716949;116.489845,39.9724693"
TR0008,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,将台路,2,congested,从星火东路到东风南路,110,20,-8775,"116.511383,39.9508476;116.511292,39.9512749;116.511162,39.951725;116.511078,39.9520836;116.510971,39.952446;116.510719,39.9531212;116.51001,39.9543915;116.509651,39.9550323;116.509598,39.9551048;116.509567,39.9551659;116.509491,39.9552307;116.509171,39.9555168;116.509087,39.9555969;116.509033,39.955677"
TR0009,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,青年路,1,expedite,从朝阳路辅路到姚家园路,91,35,"7043,7042,7041","116.518356,39.9165306;116.518402,39.9165993;116.518402,39.9165955;116.518433,39.9166527;116.518417,39.9173927;116.518372,39.9178505;116.518341,39.9180984;116.518311,39.9182358;116.51815,39.9190445;116.518044,39.9196968;116.51799,39.9202232;116.517937,39.9206276;116.517876,39.9210587;116.517761,39.922123;116.517746,39.922287;116.517693,39.9225464;116.517601,39.9231911;116.517479,39.9240532;116.517403,39.9245949;116.517372,39.9250565;116.517387,39.928524;116.517387,39.9305191;116.51738,39.9310036;116.51738,39.9347839;116.517395,39.9385033;116.517334,39.9404716"
TR0010,2026-06-23T17:30:01,"116.508410,39.944819",5000,5,酒仙桥路：兆维华灯大厦附近自南向北行驶缓慢；机场高速：三元桥附近进京方向行驶缓慢；姚家园路：从石佛营路到青年路双向行驶缓慢；星火东路：自南向北缓慢，反向畅通；将台路：东方垂钓游乐园附近自南向北行驶缓慢。,2,轻度拥堵,70.59%,13.73%,1.96%,13.72%,青年路,1,expedite,从姚家园路到朝阳北路,271,35,"-7041,-7042","116.517174,39.9404259;116.517174,39.9403076;116.517174,39.9400978;116.517174,39.9379501;116.517174,39.936924;116.517189,39.9359436;116.517174,39.9319458;116.517159,39.9299927;116.517159,39.9284782;116.517166,39.9257698;116.517174,39.9249725;116.517212,39.9244995;116.517319,39.9239883;116.517441,39.9231911;116.517601,39.9230843"
