edge_id,from,to,distance,danger_type,congestion,passable,road_name,instruction,polyline,strategy,variant,path_index,step_index
OSM00001,O71121979,O1721531798,0.0403,normal,0.05,true,南北高架路,OSM trunk way 8756689,"121.4705025,31.2231066;121.4707766,31.2228305",osm,osm_trunk,8756689,0
OSM00002,O1721531798,O1721531811,0.037,normal,0.05,true,南北高架路,OSM trunk way 8756689,"121.4707766,31.2228305;121.4709958,31.2225557",osm,osm_trunk,8756689,1
OSM00003,O1721531811,O1721531799,0.0214,normal,0.05,true,南北高架路,OSM trunk way 8756689,"121.4709958,31.2225557;121.4711014,31.2223856",osm,osm_trunk,8756689,2
OSM00004,O1721531799,O1721531804,0.0213,normal,0.15,true,南北高架路,OSM trunk way 8756689,"121.4711014,31.2223856;121.4711954,31.2222120",osm,osm_trunk,8756689,3
OSM00005,O1721531804,O1721533839,0.0275,normal,0.15,true,南北高架路,OSM trunk way 8756689,"121.4711954,31.2222120;121.4713182,31.2219879",osm,osm_trunk,8756689,4
OSM00006,O1721533839,O1721531795,0.0329,normal,0.15,true,南北高架路,OSM trunk way 8756689,"121.4713182,31.2219879;121.4714397,31.2217107",osm,osm_trunk,8756689,5
OSM00007,O1721531795,O1721531808,0.0329,normal,0.15,true,南北高架路,OSM trunk way 8756689,"121.4714397,31.2217107;121.4715462,31.2214292",osm,osm_trunk,8756689,6
OSM00008,O1721531808,O4375143304,0.0149,normal,0.15,true,南北高架路,OSM trunk way 8756689,"121.4715462,31.2214292;121.4715811,31.2212984",osm,osm_trunk,8756689,7
OSM00009,O4375143304,O83316739,0.0175,normal,0.15,true,南北高架路,OSM trunk way 8756689,"121.4715811,31.2212984;121.4716160,31.2211437",osm,osm_trunk,8756689,8
OSM00010,O824481103,O62924733,0.0878,normal,0.05,true,威海路,OSM residential way 8758061,"121.4550783,31.2242003;121.4557112,31.2247758",osm,osm_residential,8758061,9
OSM00011,O62924733,O94820531,0.0936,normal,0.05,true,威海路,OSM residential way 8758061,"121.4557112,31.2247758;121.4564598,31.2253221",osm,osm_residential,8758061,10
OSM00012,O64806543,O64806544,0.078,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4316306,31.2179737;121.4324372,31.2181025",osm,osm_residential,8881053,11
OSM00013,O64806544,O4239813530,0.0402,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4324372,31.2181025;121.4328490,31.2181824",osm,osm_residential,8881053,12
OSM00014,O4239813530,O4239813533,0.0454,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4328490,31.2181824;121.4333016,31.2183111",osm,osm_residential,8881053,13
OSM00015,O4239813533,O8339246257,0.0204,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4333016,31.2183111;121.4335144,31.2183306",osm,osm_residential,8881053,14
OSM00016,O8339246257,O64806545,0.012,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4335144,31.2183306;121.4336397,31.2183392",osm,osm_residential,8881053,15
OSM00017,O64806545,O9681338235,0.0314,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4336397,31.2183392;121.4339689,31.2183164",osm,osm_residential,8881053,16
OSM00018,O9681338235,O64806546,0.027,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4339689,31.2183164;121.4342515,31.2182969",osm,osm_residential,8881053,17
OSM00019,O64806546,O4239813531,0.0333,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4342515,31.2182969;121.4346017,31.2182815",osm,osm_residential,8881053,18
OSM00020,O4239813531,O4239813532,0.0314,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4346017,31.2182815;121.4349307,31.2183011",osm,osm_residential,8881053,19
OSM00021,O4239813532,O4458655110,0.0372,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4349307,31.2183011;121.4353174,31.2183528",osm,osm_residential,8881053,20
OSM00022,O4458655110,O573259239,0.0591,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4353174,31.2183528;121.4359310,31.2184369",osm,osm_residential,8881053,21
OSM00023,O573259239,O12459103365,0.0103,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4359310,31.2184369;121.4360357,31.2184599",osm,osm_residential,8881053,22
OSM00024,O12459103365,O4239813534,0.0249,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4360357,31.2184599;121.4362890,31.2185154",osm,osm_residential,8881053,23
OSM00025,O4239813534,O4239813535,0.0314,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4362890,31.2185154;121.4365995,31.2186109",osm,osm_residential,8881053,24
OSM00026,O4239813535,O4239813536,0.0211,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4365995,31.2186109;121.4367673,31.2187347",osm,osm_residential,8881053,25
OSM00027,O4239813536,O573267343,0.0235,normal,0.05,true,东诸安浜路,OSM residential way 8881053,"121.4367673,31.2187347;121.4368793,31.2189228",osm,osm_residential,8881053,26
OSM00028,O616806539,O640199097,0.0898,normal,0.08,true,曹杨路,OSM primary way 8881057,"121.4157525,31.2389764;121.4165154,31.2385001",osm,osm_primary,8881057,27
OSM00029,O640199097,O565239556,0.1179,normal,0.08,true,曹杨路,OSM primary way 8881057,"121.4165154,31.2385001;121.4175560,31.2379228",osm,osm_primary,8881057,28
OSM00030,O565239556,O9108225257,0.0542,normal,0.08,true,曹杨路,OSM primary way 8881057,"121.4175560,31.2379228;121.4179889,31.2376060",osm,osm_primary,8881057,29
OSM00031,O9108225257,O565239561,0.1109,normal,0.08,true,曹杨路,OSM primary way 8881057,"121.4179889,31.2376060;121.4189197,31.2370043",osm,osm_primary,8881057,30
OSM00032,O565239561,O616807329,0.0985,normal,0.08,true,曹杨路,OSM primary way 8881057,"121.4189197,31.2370043;121.4197233,31.2364455",osm,osm_primary,8881057,31
