node_id,x,y,label,type
O62906018,121.4732812,31.2080433,,normal
O62906019,121.4725905,31.2096234,,normal
O62906021,121.4706289,31.2127932,,normal
O62906023,121.4704579,31.2132856,,normal
O62906024,121.470398,31.2137485,,normal
O62906025,121.4703981,31.2142993,,normal
O62906027,121.4705997,31.2152282,,normal
O62906028,121.4709818,31.2166975,,normal
O62906029,121.4710288,31.2173247,,normal
O62906030,121.4714062,31.2185734,,normal
O62906031,121.4717456,31.2198771,,normal
O62906032,121.4715574,31.2213141,,normal
O62906035,121.4714538,31.2215411,,normal
O62917024,121.4676072,31.2219006,,normal
O62917028,121.4675069,31.2232023,,normal
O62917029,121.4674704,31.2235329,,normal
O62917031,121.467482,31.2238041,,normal
O62917032,121.4672182,31.2237749,,normal
O62917034,121.4659077,31.2237368,,normal
O62917035,121.4649715,31.2238386,,normal
O62921380,121.4562039,31.2259269,,normal
O62924733,121.4557112,31.2247758,,normal
O63242769,121.4670011,31.2314181,,normal
O63242770,121.4666292,31.2333119,,normal
O63242772,121.4664212,31.2342341,,normal
O63242773,121.4661731,31.2349883,,normal
O63242774,121.465689,31.2359024,,normal
O63242775,121.464901,31.2371382,,normal
O63242778,121.4643442,31.2382299,,normal
O63242780,121.4627267,31.2421859,,normal
O63242781,121.4624823,31.2429345,,normal
O63242783,121.46239,31.2433149,,normal
O63242784,121.4623477,31.2436522,,normal
O63242785,121.4623572,31.2441969,,normal
O63242786,121.4624344,31.2447571,,normal
O63242788,121.4625065,31.2451213,,normal
O63242789,121.4625909,31.2455253,,normal
O63242790,121.4629135,31.2470509,,normal
O63242791,121.4632,31.2484374,,normal
O63242793,121.463636,31.2507022,,normal
O63242794,121.4636724,31.2510453,,normal
O63242795,121.4637828,31.2524872,,normal
O63242797,121.463784,31.2557718,,normal
O63279258,121.4636492,31.255939,,normal
O63279259,121.4636609,31.2524876,,normal
O63279260,121.4635391,31.2510485,,normal
O63279261,121.4635019,31.2507121,,normal
O63279263,121.4630777,31.2484535,,normal
O63279264,121.4627997,31.2470806,,normal
O63279265,121.4624276,31.2455489,,normal
O63279266,121.4622,31.2442891,,normal
O63279267,121.4621791,31.244085,,normal
O63279270,121.4622049,31.2434358,,normal
O63279271,121.4625349,31.2422558,,normal
O63279273,121.4639464,31.2388732,,normal
O63279275,121.4642149,31.238273,,normal
O63279276,121.4649495,31.2369069,,normal
O63279278,121.4655803,31.2358516,,normal
O63279279,121.4660677,31.2349448,,normal
O63279281,121.4662983,31.2341982,,normal
O63279282,121.4668203,31.2315843,,normal
O63283237,121.4601948,31.2357995,,normal
O63283238,121.4599021,31.2353178,,normal
O63283241,121.4574872,31.2335965,,normal
O63283242,121.4561523,31.2333223,,normal
O63283243,121.4554112,31.2331135,,normal
O63283244,121.4547045,31.2329473,,normal
