edge_id,from,to,road_name,scenario,event_id,event_name,danger_type,distance_to_event_km,influence_radius_km,mapping_method,source_url
OSM01022,O322008718,O322008726,延平路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.2449,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM01023,O322008726,O1881233742,延平路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3235,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM01024,O1881233742,O322008728,延平路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3886,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM01192,O13441435737,O469886984,新会路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3847,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM01193,O469886984,O6537367199,新会路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.318,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM01194,O6537367199,O6537367200,新会路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3009,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM01195,O6537367200,O13441785272,新会路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.2926,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM01196,O13441785272,O6536561396,新会路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.2778,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM02771,O2298514196,O469940094,余姚路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.4314,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM02772,O469940094,O2298514203,余姚路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3486,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM02773,O2298514203,O2298514205,余姚路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3183,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM02774,O2298514205,O12258569328,余姚路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3112,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM02775,O12258569328,O322008718,余姚路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.2469,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM03264,O618749468,O618749471,长寿路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.4467,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM04113,O857781107,O2355892990,余姚路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.2768,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM04114,O2355892990,O2355892989,余姚路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.4298,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM05605,O322008793,O322008794,安远路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.4402,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM05606,O322008794,O600493484,安远路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.4001,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM05607,O600493484,O1573839237,安远路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3606,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM05608,O1573839237,O13434131805,安远路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3183,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM05609,O13434131805,O322008714,安远路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.2807,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM06236,O469887428,O1573839244,常德路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3268,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM06237,O1573839244,O13454673639,常德路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3674,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM06238,O13454673639,O1573839164,常德路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.4068,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM06239,O1573839164,O10081234356,常德路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.4101,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM06240,O10081234356,O469887457,常德路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.4297,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM06241,O469887457,O469888104,常德路,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.4444,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM07143,O1684430781,O2298514188,昌平路 984 弄,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3483,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
OSM07144,O2298514188,O2298514190,昌平路 984 弄,osm_shanghai_fire,FIRE2010-SH-JIAOZHOU-OSM-01,2010 Shanghai Jiaozhou Road fire response zone with OSM road network,fire,0.3423,0.45,OSM road segment intersects historical urban-fire response buffer,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E2%80%9C11%C2%B715%E2%80%9D%E7%89%B9%E5%88%AB%E9%87%8D%E5%A4%A7%E7%81%AB%E7%81%BE
