edge_id,from,to,road_name,traffic_road_name,traffic_status,traffic_status_label,traffic_speed_kmh,matched_distance_km,original_congestion,mapped_congestion,traffic_captured_at
OSM00001,O71121979,O1721531798,南北高架路,南北高架路,1,expedite,60,0.0037,0.05,0.05,2026-06-22T21:40:23
OSM00002,O1721531798,O1721531811,南北高架路,南北高架路,1,expedite,60,0.0034,0.05,0.05,2026-06-22T21:40:23
OSM00003,O1721531811,O1721531799,南北高架路,南北高架路,1,expedite,60,0.0034,0.05,0.05,2026-06-22T21:40:23
OSM00004,O1721531799,O1721531804,南北高架路,南北高架路,0,unknown,,0.0023,0.05,0.15,2026-06-22T21:40:23
OSM00005,O1721531804,O1721533839,南北高架路,南北高架路,0,unknown,,0.0011,0.05,0.15,2026-06-22T21:40:23
OSM00006,O1721533839,O1721531795,南北高架路,南北高架路,0,unknown,,0.0002,0.05,0.15,2026-06-22T21:40:23
OSM00007,O1721531795,O1721531808,南北高架路,南北高架路,0,unknown,,0.0001,0.05,0.15,2026-06-22T21:40:23
OSM00008,O1721531808,O4375143304,南北高架路,南北高架路,0,unknown,,0.0004,0.05,0.15,2026-06-22T21:40:23
OSM00009,O4375143304,O83316739,南北高架路,南北高架路,0,unknown,,0.0004,0.05,0.15,2026-06-22T21:40:23
OSM00010,O824481103,O62924733,威海路,威海路,1,expedite,25,0.0007,0.05,0.05,2026-06-22T21:40:23
OSM00011,O62924733,O94820531,威海路,威海路,1,expedite,25,0.0001,0.05,0.05,2026-06-22T21:40:23
OSM00028,O616806539,O640199097,曹杨路,曹杨路,1,expedite,30,0.0014,0.08,0.08,2026-06-22T21:40:23
OSM00029,O640199097,O565239556,曹杨路,曹杨路,1,expedite,35,0.0012,0.08,0.08,2026-06-22T21:40:23
OSM00030,O565239556,O9108225257,曹杨路,曹杨路,1,expedite,35,0.0012,0.08,0.08,2026-06-22T21:40:23
OSM00031,O9108225257,O565239561,曹杨路,曹杨路,1,expedite,30,0.0018,0.08,0.08,2026-06-22T21:40:23
OSM00032,O565239561,O616807329,曹杨路,曹杨路,1,expedite,30,0.0003,0.08,0.08,2026-06-22T21:40:23
OSM00033,O616807329,O616807330,曹杨路,曹杨路,1,expedite,30,0.0003,0.08,0.08,2026-06-22T21:40:23
OSM00034,O616807330,O726711357,曹杨路,曹杨路,1,expedite,30,0.0003,0.08,0.08,2026-06-22T21:40:23
OSM00049,O63288791,O78013509,延安高架路,延安高架路,1,expedite,60,0.0009,0.05,0.05,2026-06-22T21:40:23
OSM00050,O78013509,O10614551638,延安高架路,延安高架路,1,expedite,60,0.0008,0.05,0.05,2026-06-22T21:40:23
