edge_id,from,to,distance,danger_type,congestion,passable,road_name,instruction,polyline,strategy,variant,path_index,step_index
AM0001,N001,N003,0.082,normal,0.15,true,向南行驶82米左转,向南行驶82米左转,"104.066557,30.572794;104.066566,30.572499;104.066576,30.572322;104.066533,30.572215;104.066539,30.572048",0,default_fast,0,0
AM0002,N003,N004,0.526,normal,0.05,true,锦悦西路,沿锦悦西路途径锦悦东路向东行驶526米右转进入右侧道路,"104.066539,30.571995;104.068137,30.572027;104.068717,30.572032;104.069344,30.572054;104.0709,30.572102;104.072053,30.57214",0,default_fast,0,1
AM0003,N004,N005,0.276,normal,0.05,true,濯锦立交桥,沿濯锦立交桥向南行驶276米减速行驶到达收费站,"104.072053,30.57214;104.072005,30.571748;104.072005,30.571024;104.072016,30.570477;104.072011,30.569962;104.072016,30.569645",0,default_fast,0,2
AM0004,N005,N006,0.101,normal,0.05,true,濯锦立交桥,沿濯锦立交桥向南行驶101米向右前方行驶进入匝道,"104.072016,30.569645;104.072021,30.569495;104.072048,30.569221;104.072134,30.568739",0,default_fast,0,3
AM0005,N006,N007,28.878,normal,0.05,true,濯锦立交桥,沿濯锦立交桥途径G4202成都绕城高速、月亮湾大桥、马家河大桥、江安河大桥、七里沟大桥向西北行驶28.9千米向右前方行驶进入匝道,"104.072134,30.568739;104.072091,30.56861;104.071951,30.56655;104.07193,30.566405;104.071898,30.566308;104.07185,30.566217;104.071796,30.566153;104.071731,30.566094;104.071662,30.566046;104.071549,30.565992;104.071431,30.565955;104.07126,30.565928;104.071029,30.565911;104.07097,30.565901;104.070921,30.56589;104.070771,30.565826;104.069843,30.565799;104.06487,30.565659;104.06325,30.565649;104.0625,30.565665;104.0617,30.565702;104.061035,30.565751;104.060128,30.565847;104.058578,30.566099;104.05779,30.566271;104.057108,30.566437;104.054587,30.567135;104.051374,30.568052;104.048386,30.568889;104.047458,30.569152;104.044008,30.570117;104.043053,30.570423;104.042211,30.570627;104.040527,30.571104;104.040178,30.571201;104.036552,30.57222;104.036015,30.572376;104.034722,30.57274;104.034669,30.572756;104.033617,30.573046;104.032845,30.573266;104.032094,30.573475;104.031869,30.57355;104.031214,30.573749;104.03041,30.574039;104.028816,30.574677;104.028151,30.574951;104.027298,30.575315;104.026263,30.575798;104.024664,30.576603;104.023994,30.576962;104.022813,30.577665;104.021188,30.578684;104.020888,30.578888;104.020448,30.579156;104.020131,30.579376;104.018554,30.580497;104.018205,30.580744;104.016446,30.582005;104.015378,30.582777;104.013892,30.583802;104.013453,30.584081;104.012932,30.584381;104.012342,30.584708;104.011505,30.585089;104.010803,30.585384;104.01018,30.585588;104.009499,30.585776;104.008866,30.585926;104.008801,30.585937;104.007589,30.58613;104.00731,30.586157;104.00635,30.586226;104.005476,30.586248;104.004896,30.586264;104.002311,30.586205;104.001871,30.586189;104.000058,30.586162;103.996828,30.586151;103.996581,30.586162;103.994736,30.586226;103.9934,30.586339;103.992714,30.586414;103.990997,30.58665;103.990166,30.586838;103.989575,30.586988;103.989296,30.587096;103.98913,30.58716;103.98736,30.588013;103.986598,30.58841;103.98581,30.588775;103.984737,30.589247;103.983932,30.589633;103.982725,30.59025;103.982312,30.590475;103.980933,30.591419;103.980649,30.591618;103.97823,30.593281;103.977312,30.593887;103.975794,30.594847;103.974609,30.595539;103.974298,30.595721;103.97271,30.596618;103.97213,30.596923;103.970763,30.597631;103.969389,30.598296;103.967351,30.599219;103.966519,30.599589;103.966471,30.599611;103.965849,30.599879;103.965296,30.60012;103.962356,30.601419;103.958236,30.603243;103.95704,30.603822;103.956134,30.604283;103.955415,30.604696;103.954503,30.605249;103.954095,30.605528;103.953113,30.606246;103.952636,30.606665;103.951906,30.607303;103.951477,30.607738;103.951311,30.60791;103.950909,30.608333;103.950265,30.609095;103.94989,30.609583;103.949294,30.610425;103.948709,30.611396;103.948135,30.612545;103.94783,30.613258;103.947626,30.6138;103.947347,30.614647;103.947218,30.615103;103.947068,30.61572;103.946869,30.61667;103.946655,30.617796;103.946472,30.618896;103.94629,30.620001;103.945496,30.62477;103.945169,30.626326;103.945013,30.627018;103.94467,30.62837;103.944498,30.62897;103.944235,30.629882;103.944155,30.630145;103.943688,30.631535;103.943238,30.632811;103.941832,30.636556;103.941258,30.638122;103.940995,30.638873;103.940534,30.640278;103.940362,30.640868;103.940335,30.64097;103.940228,30.641362;103.939955,30.642617;103.939767,30.643674;103.939638,30.64457;103.939547,30.645407;103.939483,30.646431;103.939434,30.648223;103.939418,30.651855;103.939408,30.653341;103.939391,30.654752;103.939365,30.655508;103.939295,30.656656;103.939193,30.657654;103.939,30.659016;103.938699,30.660438;103.93856,30.661006;103.93842,30.661538;103.938249,30.662101;103.938163,30.66238;103.938136,30.662476;103.938018,30.662841;103.937621,30.664;103.937321,30.664837;103.936795,30.666312;103.936071,30.668302;103.935271,30.670539;103.935153,30.670904;103.934805,30.671939;103.93429,30.673736;103.934268,30.673828;103.934166,30.674235;103.934016,30.674858;103.933732,30.676172;103.933566,30.677073;103.933523,30.677271;103.933308,30.678731;103.933238,30.679186;103.933126,30.680098;103.932997,30.68137;103.932664,30.684658;103.932654,30.684814;103.932563,30.685763;103.932461,30.68674;103.932407,30.687292;103.932359,30.687845;103.932257,30.688966;103.93223,30.689481;103.932187,30.690253;103.932176,30.690833;103.932171,30.691181;103.932165,30.691273;103.93216,30.692168;103.932214,30.693917;103.932273,30.694894;103.932343,30.695752;103.932343,30.6958;103.932401,30.696347;103.932445,30.696734;103.932493,30.69712;103.932756,30.698933;103.933244,30.70168;103.933673,30.704008;103.933823,30.704946;103.934081,30.706701;103.934091,30.706786;103.934258,30.708208;103.934429,30.710032;103.934563,30.712344;103.934601,30.713792;103.934644,30.716394;103.93466,30.717639;103.934665,30.717773;103.934671,30.718358;103.934681,30.719093;103.934708,30.720021;103.934767,30.721142;103.93481,30.721861;103.934891,30.72296;103.934971,30.72376;103.935035,30.724376;103.935202,30.725481;103.9354,30.72715;103.935459,30.727558;103.93555,30.728126;103.935663,30.728759;103.935717,30.729135;103.935937,30.730213;103.936243,30.731726;103.937213,30.736554;103.937863,30.739745;103.937884,30.739853;103.9382,30.741178;103.938501,30.742288;103.938855,30.743356;103.938995,30.743705;103.939343,30.744515;103.939772,30.74541;103.940051,30.745925;103.940191,30.746172;103.940561,30.7468;103.940861,30.74725",0,default_fast,0,4
AM0006,N007,N008,0.236,normal,0.05,true,犀浦立交,沿犀浦立交向东北行驶236米靠左,"103.940861,30.74725;103.940931,30.747293;103.941006,30.747379;103.941392,30.747905;103.941982,30.748742;103.942202,30.749037",0,default_fast,0,5
AM0007,N008,N009,0.409,normal,0.05,true,犀浦立交,沿犀浦立交向东北行驶409米靠左,"103.942202,30.749037;103.942455,30.749391;103.942851,30.749938;103.943055,30.750179;103.943254,30.750378;103.943441,30.750533;103.943715,30.750732;103.944042,30.750973;103.944225,30.751129;103.944359,30.751284;103.944493,30.751467;103.944638,30.751735;103.944708,30.751971",0,default_fast,0,6
AM0008,N009,N010,34.639,normal,0.05,true,犀浦立交,沿犀浦立交途径G4217蓉昌高速向西北行驶34.6千米向右前方行驶进入匝道,"103.944708,30.751971;103.944761,30.752346;103.944745,30.752491;103.944713,30.75262;103.944648,30.752754;103.944573,30.752872;103.944471,30.75299;103.944359,30.753087;103.944091,30.753253;103.94393,30.753312;103.943785,30.75335;103.943618,30.753376;103.943425,30.753382;103.942513,30.753285;103.942084,30.753275;103.94173,30.753307;103.941478,30.753355;103.94121,30.75343;103.940995,30.753511;103.940749,30.753634;103.940502,30.753773;103.939735,30.754331;103.939445,30.754551;103.939155,30.754771;103.938581,30.755211;103.936784,30.756536;103.934097,30.758467;103.930663,30.761031;103.929735,30.761718;103.925047,30.765189;103.924103,30.76586;103.923432,30.766401;103.922762,30.767029;103.921656,30.768177;103.921319,30.768504;103.920841,30.768853;103.918953,30.769915;103.918218,30.770382;103.917971,30.770489;103.91515,30.772705;103.913224,30.774217;103.908691,30.777768;103.907146,30.77897;103.906277,30.779608;103.906041,30.779775;103.905097,30.780392;103.904855,30.780536;103.904276,30.780875;103.903745,30.781159;103.903139,30.781465;103.902248,30.781867;103.90124,30.782275;103.900826,30.782425;103.900011,30.782688;103.898895,30.78301;103.898531,30.783101;103.897356,30.783348;103.896154,30.783546;103.894974,30.783675;103.89469,30.783691;103.893987,30.783734;103.893188,30.783755;103.892249,30.78375;103.891144,30.783701;103.890978,30.783691;103.88969,30.783605;103.888499,30.783551;103.887968,30.783541;103.887233,30.783557;103.886718,30.783578;103.886235,30.783616;103.885549,30.783691;103.884964,30.783771;103.884497,30.783846;103.883296,30.784098;103.882207,30.784404;103.881413,30.784673;103.880597,30.784989;103.879305,30.785585;103.878248,30.786153;103.877094,30.786813;103.876188,30.787333;103.867862,30.792097;103.866001,30.793154;103.865212,30.793577;103.864745,30.793862;103.864322,30.794114;103.863335,30.794677;103.859864,30.796662;103.857825,30.797864;103.856624,30.798647;103.856082,30.799006;103.855079,30.79973;103.854778,30.799961;103.853314,30.801136;103.853131,30.801313;103.852445,30.801892;103.851866,30.802456;103.851136,30.803196;103.850444,30.803931;103.849553,30.80495;103.848969,30.805663;103.848786,30.805894;103.847987,30.806962;103.847113,30.808238;103.845643,30.810475;103.845112,30.811301;103.845026,30.811436;103.844532,30.812181;103.843787,30.81327;103.843181,30.814091;103.842773,30.814611;103.842601,30.814821;103.841249,30.816355;103.840997,30.81665;103.840981,30.816671;103.840198,30.817471;103.84,30.817642;103.839323,30.818297;103.838299,30.819203;103.834624,30.822138;103.833337,30.823253;103.832688,30.823854;103.831781,30.824729;103.830531,30.826032;103.829995,30.826628;103.829517,30.827201;103.829158,30.827636;103.827811,30.829261;103.827629,30.829498;103.826749,30.830737;103.826443,30.831182;103.825778,30.832212;103.823745,30.83557;103.823214,30.836418;103.82293,30.836895;103.822576,30.837431;103.821895,30.838419;103.82175,30.838622;103.821331,30.839213;103.8208,30.839926;103.820784,30.839948;103.820199,30.840693;103.819346,30.841739;103.818198,30.843064;103.817651,30.843665;103.81712,30.844228;103.81675,30.844631;103.816246,30.84514;103.814813,30.846519;103.814384,30.846921;103.813049,30.848101;103.81138,30.849609;103.809481,30.85132;103.807899,30.852801;103.806643,30.854056;103.804637,30.856255;103.800914,30.860595;103.79931,30.862451;103.798828,30.862982;103.798597,30.86324;103.79791,30.863964;103.797116,30.864742;103.796569,30.865241;103.796027,30.865697;103.795496,30.866169;103.794327,30.867016;103.793452,30.867633;103.792101,30.86847;103.791119,30.869023;103.790271,30.869463;103.789713,30.869731;103.789064,30.870031;103.787782,30.870562;103.785776,30.871378;103.785298,30.871581;103.784848,30.871775;103.784102,30.872113;103.783314,30.872499;103.782482,30.872944;103.781618,30.873427;103.780964,30.873824;103.780556,30.874097;103.779746,30.87465;103.779022,30.875165;103.778566,30.875508;103.777998,30.875964;103.777246,30.876613;103.776855,30.876962;103.776463,30.877311;103.775836,30.877928;103.775294,30.878491;103.77495,30.878872;103.774242,30.879708;103.773588,30.880551;103.773143,30.881162;103.772778,30.881704;103.772504,30.882128;103.772225,30.882568;103.771968,30.883008;103.770911,30.884891;103.769098,30.8882;103.768551,30.889134;103.768181,30.889735;103.767596,30.890641;103.766915,30.891623;103.765766,30.893066;103.765348,30.893554;103.76478,30.894198;103.764109,30.894922;103.762983,30.896022;103.76192,30.896982;103.761105,30.897669;103.760461,30.898178;103.759335,30.89901;103.757994,30.899922;103.757066,30.900501;103.756111,30.901064;103.755703,30.90129;103.754882,30.90173;103.754415,30.901976;103.753799,30.902271;103.752608,30.902824;103.75227,30.902958;103.751315,30.903344;103.74992,30.903875;103.747908,30.90454;103.74778,30.904583;103.741155,30.906606;103.739218,30.907201;103.738204,30.907528;103.737137,30.907904;103.736016,30.908338;103.735002,30.908773;103.734068,30.909202;103.733156,30.909642;103.73291,30.90976;103.732314,30.910071;103.731246,30.910672;103.730882,30.910903;103.729825,30.911573;103.729616,30.911713;103.728698,30.912335;103.727234,30.913424;103.726505,30.913993;103.726252,30.91418;103.725313,30.914985;103.724863,30.915398;103.724729,30.915527;103.723978,30.916251;103.723189,30.917072;103.720013,30.9205;103.718973,30.921583;103.718495,30.922066;103.717739,30.92279;103.716317,30.92404;103.715405,30.924775;103.714054,30.925783;103.712986,30.926513;103.712868,30.926593;103.710937,30.92787;103.708689,30.929335;103.707193,30.930333;103.70487,30.931974;103.702842,30.933519;103.70171,30.93442;103.700643,30.935311;103.698051,30.9375;103.694243,30.94075;103.693706,30.941201;103.691888,30.942638;103.691266,30.943111;103.690064,30.94399;103.68963,30.944323;103.689195,30.944661;103.688964,30.9448;103.688712,30.944951;103.68654,30.946436;103.6861,30.946705;103.685086,30.947332;103.683932,30.948046;103.683198,30.948486;103.682575,30.948856;103.681132,30.949763;103.679802,30.950556;103.67897,30.95105",0,default_fast,0,7
AM0009,N010,N011,0.388,normal,0.05,true,G4217蓉昌高速出口,沿G4217蓉昌高速出口向西北行驶388米靠左,"103.67897,30.95105;103.678482,30.951463;103.677828,30.951903;103.677383,30.952241;103.676948,30.952643;103.676326,30.953652",0,default_fast,0,8
AM0010,N011,N012,3.286,normal,0.05,true,G4217蓉昌高速出口,沿G4217蓉昌高速出口途径G0511德都高速向西行驶3.3千米靠左,"103.676326,30.953652;103.67595,30.954355;103.67573,30.954644;103.675296,30.955009;103.674829,30.955261;103.67477,30.955272;103.67411,30.955422;103.673488,30.955422;103.672823,30.955315;103.666991,30.953501;103.666756,30.953426;103.665098,30.952992;103.662609,30.952203;103.660463,30.951549;103.659616,30.951307;103.657958,30.950937;103.646816,30.949135;103.645802,30.948926;103.645395,30.948829;103.645019,30.948743;103.644729,30.948663;103.644086,30.948486;103.644064,30.94848",0,default_fast,0,9
