node_id,x,y,label,type
N001,104.0668,30.5728,AMap origin,start
N002,103.5904,31.4769,AMap destination,target
N003,104.066539,30.572048,route point,normal
N004,104.072053,30.57214,锦悦西路,normal
N005,104.072016,30.569645,濯锦立交桥,normal
N006,104.072134,30.568739,濯锦立交桥,normal
N007,103.940861,30.74725,濯锦立交桥,normal
N008,103.942202,30.749037,犀浦立交,normal
N009,103.944708,30.751971,犀浦立交,normal
N010,103.67897,30.95105,犀浦立交,normal
N011,103.676326,30.953652,G4217蓉昌高速出口,normal
N012,103.644064,30.94848,G4217蓉昌高速出口,normal
N013,103.588644,30.997795,G4217蓉昌高速,normal
N014,103.536652,31.030508,紫坪铺隧道,normal
N015,103.528718,31.04431,龙洞子隧道,normal
N016,103.49466,31.061621,龙溪隧道,normal
N017,103.49349,31.064341,G4217蓉昌高速,normal
N018,103.490373,31.132507,映秀隧道,normal
N019,103.496865,31.20189,银杏隧道,normal
N020,103.49054,31.247654,福堂隧道,normal
N021,103.48929,31.255019,桃关1号隧道,normal
N022,103.49879,31.35755,桃关2号隧道,normal
N023,103.512802,31.368745,绵虒隧道,normal
N024,103.532135,31.406843,单坎梁子隧道,normal
N025,103.548427,31.4464,板桥山隧道,normal
N026,103.558555,31.453326,七盘沟隧道,normal
N027,103.568184,31.456759,G4217蓉昌高速出口,normal
N028,103.57246,31.463062,G4217蓉昌高速出口,normal
N029,103.580399,31.477739,大九寨旅游环线,normal
N030,103.584406,31.479048,大九寨旅游环线,normal
N031,103.584878,31.47745,route point,normal
N032,103.590602,31.476993,东街,normal
N033,104.066539,30.572048,route point,normal
N034,104.072053,30.57214,锦悦西路,normal
N035,104.072016,30.569645,濯锦立交桥,normal
N036,104.072134,30.568739,濯锦立交桥,normal
N037,103.940861,30.74725,濯锦立交桥,normal
N038,103.942202,30.749037,犀浦立交,normal
N039,103.944708,30.751971,犀浦立交,normal
N040,103.670023,30.957283,犀浦立交,normal
N041,103.66903,30.957986,G4217蓉昌高速出口,normal
N042,103.650507,30.973511,迎宾大道,normal
N043,103.642396,30.980822,迎宾大道,normal
N044,103.647336,30.987941,岷江路,normal
N045,103.644863,30.988687,都江堰大道二段,normal
N046,103.647191,30.98797,都江堰大道二段,normal
N047,103.647224,30.987963,都江堰大道二段,normal
N048,103.641956,30.981064,岷江路,normal
N049,103.633501,30.984953,迎宾大道,normal
N050,103.632708,30.984299,青城路,normal
N051,103.597775,30.974664,青城路,normal
N052,103.598386,30.970882,G4217蓉昌高速入口,normal
N053,103.59793,30.96879,G4217蓉昌高速入口,normal
N054,103.588644,30.997795,G4217蓉昌高速入口,normal
N055,103.536652,31.030508,紫坪铺隧道,normal
N056,103.528718,31.04431,龙洞子隧道,normal
N057,103.49466,31.061621,龙溪隧道,normal
N058,103.494268,31.062625,G4217蓉昌高速出口,normal
N059,103.492702,31.064674,G4217蓉昌高速出口,normal
N060,103.49061,31.064641,G4217蓉昌高速出口,normal
N061,103.486699,31.062185,G4217蓉昌高速出口,normal
N062,103.488008,31.05903,route point,normal
N063,103.488582,31.058644,route point,normal
N064,103.489156,31.059711,route point,normal
N065,103.489285,31.060006,route point,normal
N066,103.49062,31.058719,route point,normal
N067,103.489156,31.059711,route point,normal
N068,103.489993,31.058059,route point,normal
N069,103.489295,31.058102,route point,normal
N070,103.488008,31.05903,route point,normal
N071,103.485336,31.063686,大九寨旅游环线,normal
N072,103.48612,31.063767,大九寨旅游环线,normal
N073,103.492058,31.065317,烧火坪隧道,normal
N074,103.491183,31.067023,213国道,normal
