edge_id,from,to,road_name,scenario,event_id,event_name,danger_type,distance_to_event_km,influence_radius_km,mapping_method,source_url
AM0011,N012,N013,G4217蓉昌高速,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,11.799,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0012,N013,N014,紫坪铺隧道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,5.659,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0013,N014,N015,龙洞子隧道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,4.214,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0014,N015,N016,龙溪隧道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.544,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0015,N016,N017,G4217蓉昌高速,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.495,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0016,N017,N018,映秀隧道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.565,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0017,N018,N019,银杏隧道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,7.908,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0018,N019,N020,福堂隧道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,15.597,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0042,N042,N043,迎宾大道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,17.112,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0043,N043,N044,岷江路,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,17.074,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0044,N044,N045,都江堰大道二段,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,16.884,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0045,N045,N046,都江堰大道二段,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,16.883,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0046,N046,N047,都江堰大道二段,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,17.117,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0047,N047,N048,岷江路,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,17.062,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0048,N048,N049,迎宾大道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,16.149,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0049,N049,N050,青城路,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,16.104,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0050,N050,N051,青城路,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,14.102,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0051,N051,N052,G4217蓉昌高速入口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,14.104,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0052,N052,N053,G4217蓉昌高速入口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,14.43,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0053,N053,N054,G4217蓉昌高速入口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,11.799,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0054,N054,N055,紫坪铺隧道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,5.659,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0055,N055,N056,龙洞子隧道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,4.214,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0056,N056,N057,龙溪隧道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.544,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0057,N057,N058,G4217蓉昌高速出口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.534,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0058,N058,N059,G4217蓉昌高速出口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.529,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0059,N059,N060,G4217蓉昌高速出口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.431,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0060,N060,N061,G4217蓉昌高速出口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.243,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0061,N061,N062,向东南行驶401米左转,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.115,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0062,N062,N063,向东南行驶69米左转,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.237,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0063,N063,N064,向东北行驶154米向左后方行驶,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.138,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0064,N064,N065,向东北行驶85米到达途经地,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.113,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0065,N065,N066,向东南行驶195米左转调头,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.113,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0066,N066,N067,向西北行驶280米向右前方行驶,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.113,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0067,N067,N068,向东南行驶203米右转,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.143,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0068,N068,N069,向西行驶66米向右前方行驶,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.322,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0069,N069,N070,向西北行驶159米右转,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.237,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0070,N070,N071,大九寨旅游环线,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.115,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0071,N071,N072,大九寨旅游环线,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.411,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0072,N072,N073,烧火坪隧道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.379,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0073,N073,N074,213国道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.559,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0074,N074,N075,213国道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,0.698,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0075,N075,N076,213国道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,1.851,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0076,N076,N077,213国道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,2.044,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0077,N077,N078,213国道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,2.409,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0078,N078,N079,213国道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,3.152,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0079,N079,N080,213国道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,4.499,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0080,N080,N081,213国道,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,4.736,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0081,N081,N082,G4217蓉昌高速出口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,5.399,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0082,N082,N083,G4217蓉昌高速出口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,5.412,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0083,N083,N084,G4217蓉昌高速入口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,5.667,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
AM0084,N084,N085,G4217蓉昌高速入口,sichuan_earthquake,EQ2008-SC-WENCHUAN-01,2008 Wenchuan earthquake Yingxiu-Wenchuan road impact zone,collapse,5.67,18.0,road polyline intersects historical earthquake influence buffer,https://earthquake.usgs.gov/earthquakes/eventpage/usp000g650
