image,damage_level,building_count,area_m2
guatemala-volcano_00000003,完好,2,522.0
guatemala-volcano_00000003,轻微损毁,1,414.0
guatemala-volcano_00000003,严重损毁,0,0.0
guatemala-volcano_00000003,完全损毁,0,0.0
guatemala-volcano_00000005,完好,0,0.0
guatemala-volcano_00000005,轻微损毁,0,0.0
guatemala-volcano_00000005,严重损毁,0,0.0
guatemala-volcano_00000005,完全损毁,0,0.0
guatemala-volcano_00000009,完好,2,2882.0
guatemala-volcano_00000009,轻微损毁,0,0.0
guatemala-volcano_00000009,严重损毁,1,370.0
guatemala-volcano_00000009,完全损毁,0,0.0
guatemala-volcano_00000011,完好,0,0.0
guatemala-volcano_00000011,轻微损毁,0,0.0
guatemala-volcano_00000011,严重损毁,0,0.0
guatemala-volcano_00000011,完全损毁,0,0.0
guatemala-volcano_00000021,完好,26,8356.0
guatemala-volcano_00000021,轻微损毁,0,0.0
guatemala-volcano_00000021,严重损毁,0,0.0
guatemala-volcano_00000021,完全损毁,0,0.0
hurricane-florence_00000004,完好,65,28130.0
hurricane-florence_00000004,轻微损毁,3,1092.0
hurricane-florence_00000004,严重损毁,5,2184.0
hurricane-florence_00000004,完全损毁,0,0.0
hurricane-florence_00000005,完好,69,37227.0
hurricane-florence_00000005,轻微损毁,0,0.0
hurricane-florence_00000005,严重损毁,0,0.0
hurricane-florence_00000005,完全损毁,1,71.0
hurricane-florence_00000007,完好,14,6430.0
hurricane-florence_00000007,轻微损毁,0,0.0
hurricane-florence_00000007,严重损毁,0,0.0
hurricane-florence_00000007,完全损毁,0,0.0
hurricane-florence_00000013,完好,46,13591.0
hurricane-florence_00000013,轻微损毁,0,0.0
hurricane-florence_00000013,严重损毁,0,0.0
hurricane-florence_00000013,完全损毁,0,0.0
hurricane-florence_00000019,完好,117,23772.0
hurricane-florence_00000019,轻微损毁,0,0.0
hurricane-florence_00000019,严重损毁,0,0.0
hurricane-florence_00000019,完全损毁,0,0.0
hurricane-florence_00000029,完好,0,0.0
hurricane-florence_00000029,轻微损毁,0,0.0
hurricane-florence_00000029,严重损毁,2,205.0
hurricane-florence_00000029,完全损毁,0,0.0
hurricane-florence_00000039,完好,2,62.0
hurricane-florence_00000039,轻微损毁,0,0.0
hurricane-florence_00000039,严重损毁,0,0.0
hurricane-florence_00000039,完全损毁,0,0.0
hurricane-florence_00000046,完好,141,58331.0
hurricane-florence_00000046,轻微损毁,0,0.0
hurricane-florence_00000046,严重损毁,0,0.0
hurricane-florence_00000046,完全损毁,0,0.0
hurricane-florence_00000056,完好,0,0.0
hurricane-florence_00000056,轻微损毁,0,0.0
hurricane-florence_00000056,严重损毁,0,0.0
hurricane-florence_00000056,完全损毁,0,0.0
hurricane-florence_00000076,完好,3,520.0
hurricane-florence_00000076,轻微损毁,2,473.0
hurricane-florence_00000076,严重损毁,0,0.0
hurricane-florence_00000076,完全损毁,0,0.0
hurricane-florence_00000077,完好,30,7218.0
hurricane-florence_00000077,轻微损毁,0,0.0
hurricane-florence_00000077,严重损毁,0,0.0
hurricane-florence_00000077,完全损毁,0,0.0
hurricane-florence_00000082,完好,0,0.0
hurricane-florence_00000082,轻微损毁,0,0.0
hurricane-florence_00000082,严重损毁,2,267.0
hurricane-florence_00000082,完全损毁,0,0.0
hurricane-florence_00000087,完好,50,16422.0
hurricane-florence_00000087,轻微损毁,2,258.0
hurricane-florence_00000087,严重损毁,0,0.0
hurricane-florence_00000087,完全损毁,1,55.0
hurricane-florence_00000092,完好,1,33.0
hurricane-florence_00000092,轻微损毁,1,89.0
hurricane-florence_00000092,严重损毁,2,430.0
hurricane-florence_00000092,完全损毁,1,23.0
hurricane-florence_00000095,完好,27,5343.0
hurricane-florence_00000095,轻微损毁,0,0.0
hurricane-florence_00000095,严重损毁,0,0.0
hurricane-florence_00000095,完全损毁,0,0.0
hurricane-florence_00000112,完好,0,0.0
hurricane-florence_00000112,轻微损毁,0,0.0
hurricane-florence_00000112,严重损毁,0,0.0
hurricane-florence_00000112,完全损毁,0,0.0
hurricane-florence_00000113,完好,1,64.0
hurricane-florence_00000113,轻微损毁,3,447.0
hurricane-florence_00000113,严重损毁,17,2087.0
hurricane-florence_00000113,完全损毁,0,0.0
hurricane-florence_00000116,完好,0,0.0
hurricane-florence_00000116,轻微损毁,1,307.0
hurricane-florence_00000116,严重损毁,0,0.0
hurricane-florence_00000116,完全损毁,1,50.0
hurricane-florence_00000117,完好,7,1197.0
hurricane-florence_00000117,轻微损毁,0,0.0
hurricane-florence_00000117,严重损毁,0,0.0
hurricane-florence_00000117,完全损毁,0,0.0
hurricane-florence_00000119,完好,1,225.0
hurricane-florence_00000119,轻微损毁,1,205.0
hurricane-florence_00000119,严重损毁,2,413.0
hurricane-florence_00000119,完全损毁,2,160.0
hurricane-florence_00000125,完好,1,38.0
hurricane-florence_00000125,轻微损毁,0,0.0
hurricane-florence_00000125,严重损毁,3,205.0
hurricane-florence_00000125,完全损毁,0,0.0
hurricane-florence_00000127,完好,0,0.0
hurricane-florence_00000127,轻微损毁,1,294.0
hurricane-florence_00000127,严重损毁,2,264.0
hurricane-florence_00000127,完全损毁,0,0.0
hurricane-florence_00000128,完好,0,0.0
hurricane-florence_00000128,轻微损毁,0,0.0
hurricane-florence_00000128,严重损毁,0,0.0
hurricane-florence_00000128,完全损毁,0,0.0
hurricane-florence_00000129,完好,3,175.0
hurricane-florence_00000129,轻微损毁,0,0.0
hurricane-florence_00000129,严重损毁,0,0.0
hurricane-florence_00000129,完全损毁,0,0.0
hurricane-florence_00000131,完好,0,0.0
hurricane-florence_00000131,轻微损毁,0,0.0
hurricane-florence_00000131,严重损毁,4,199.0
hurricane-florence_00000131,完全损毁,0,0.0
hurricane-florence_00000133,完好,1,16.0
hurricane-florence_00000133,轻微损毁,0,0.0
hurricane-florence_00000133,严重损毁,0,0.0
hurricane-florence_00000133,完全损毁,0,0.0
hurricane-florence_00000135,完好,0,0.0
hurricane-florence_00000135,轻微损毁,2,550.0
hurricane-florence_00000135,严重损毁,2,320.0
hurricane-florence_00000135,完全损毁,0,0.0
hurricane-florence_00000141,完好,1,23.0
hurricane-florence_00000141,轻微损毁,0,0.0
hurricane-florence_00000141,严重损毁,7,1572.0
hurricane-florence_00000141,完全损毁,0,0.0
hurricane-florence_00000143,完好,0,0.0
hurricane-florence_00000143,轻微损毁,1,1401.0
hurricane-florence_00000143,严重损毁,2,1489.0
hurricane-florence_00000143,完全损毁,0,0.0
hurricane-florence_00000145,完好,0,0.0
hurricane-florence_00000145,轻微损毁,0,0.0
hurricane-florence_00000145,严重损毁,1,66.0
hurricane-florence_00000145,完全损毁,0,0.0
hurricane-florence_00000150,完好,0,0.0
hurricane-florence_00000150,轻微损毁,0,0.0
hurricane-florence_00000150,严重损毁,5,1098.0
hurricane-florence_00000150,完全损毁,0,0.0
hurricane-florence_00000152,完好,3,352.0
hurricane-florence_00000152,轻微损毁,0,0.0
hurricane-florence_00000152,严重损毁,0,0.0
hurricane-florence_00000152,完全损毁,0,0.0
hurricane-florence_00000160,完好,0,0.0
hurricane-florence_00000160,轻微损毁,0,0.0
hurricane-florence_00000160,严重损毁,1,283.0
hurricane-florence_00000160,完全损毁,0,0.0
hurricane-florence_00000167,完好,0,0.0
hurricane-florence_00000167,轻微损毁,0,0.0
hurricane-florence_00000167,严重损毁,4,661.0
hurricane-florence_00000167,完全损毁,1,25.0
hurricane-florence_00000169,完好,55,10659.0
hurricane-florence_00000169,轻微损毁,0,0.0
hurricane-florence_00000169,严重损毁,0,0.0
hurricane-florence_00000169,完全损毁,0,0.0
hurricane-florence_00000171,完好,0,0.0
