sample_id,usgs_event_id,event_date,year,month,area,place_name,latitude,longitude,depth_km,magnitude,magnitude_type,review_status,locationSource,magSource,year_earthquake_count,year_max_magnitude,year_avg_magnitude,year_min_depth_km,year_avg_depth_km,year_major_earthquake_flag,noaa_significant_event_count,noaa_deaths_sum,noaa_injuries_sum,noaa_damage_million_usd_sum,noaa_houses_destroyed_sum,noaa_houses_damaged_sum,noaa_max_intensity,noaa_max_magnitude,gdp_real_million_2017usd,gdp_current_million_usd,industry_total_million_usd,industry_agriculture_million_usd,industry_construction_million_usd,industry_manufacturing_million_usd,industry_private_services_million_usd,industry_agriculture_share,industry_construction_share,industry_manufacturing_share,industry_private_services_share,has_noaa_loss_record,major_event_flag,shallow_event_flag,very_shallow_event_flag,event_severity_score,gdp_pre_1y,gdp_event_year,gdp_post_1y,gdp_post_2y,gdp_post_3y,gdp_change_event_vs_pre,gdp_growth_next_1y,gdp_growth_next_3y,recovery_cycle_years,recovered_within_horizon,recovery_target_note
1,usp0008dq4,1998-01-03,1998.0,1.0,AK,"85 km SW of False Pass, Alaska",54.224,-164.177,10.0,5.8,mwc,reviewed,us,hrv,205,6.1,4.82429268292683,-3.0,35.13990243902439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40263.7,24387.8,24387.8,341.2,1163.8,1118.9,13264.7,0.013990601858306202,0.047720581602276546,0.04587949712561199,0.5439071995013901,0,0,1,1,61.0,41071.0,40263.7,39783.1,38428.1,40014.4,-0.019656205108227288,-0.011936309877134952,-0.006191681340760925,4,0,>3
2,usp0008e47,1998-01-11,1998.0,1.0,AK,"147 km E of Atka, Alaska",52.117,-172.048,33.0,4.6,mb,reviewed,us,us,205,6.1,4.82429268292683,-3.0,35.13990243902439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40263.7,24387.8,24387.8,341.2,1163.8,1118.9,13264.7,0.013990601858306202,0.047720581602276546,0.04587949712561199,0.5439071995013901,0,0,1,0,49.0,41071.0,40263.7,39783.1,38428.1,40014.4,-0.019656205108227288,-0.011936309877134952,-0.006191681340760925,4,0,>3
3,usp0008ea4,1998-01-14,1998.0,1.0,AK,"155 km NE of Atka, Alaska",53.162,-172.546,156.9,4.9,mb,reviewed,us,us,205,6.1,4.82429268292683,-3.0,35.13990243902439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40263.7,24387.8,24387.8,341.2,1163.8,1118.9,13264.7,0.013990601858306202,0.047720581602276546,0.04587949712561199,0.5439071995013901,0,0,0,0,49.0,41071.0,40263.7,39783.1,38428.1,40014.4,-0.019656205108227288,-0.011936309877134952,-0.006191681340760925,4,0,>3
4,ak998qsuvww,1998-01-16,1998.0,1.0,AK,"129 km E of Chignik, Alaska",56.2602,-156.314,43.6,4.9,mb,reviewed,ak,ak,205,6.1,4.82429268292683,-3.0,35.13990243902439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40263.7,24387.8,24387.8,341.2,1163.8,1118.9,13264.7,0.013990601858306202,0.047720581602276546,0.04587949712561199,0.5439071995013901,0,0,1,0,52.0,41071.0,40263.7,39783.1,38428.1,40014.4,-0.019656205108227288,-0.011936309877134952,-0.006191681340760925,4,0,>3
5,usp0008eu9,1998-01-23,1998.0,1.0,AK,"123 km WSW of Adak, Alaska",51.296,-178.152,33.0,4.9,mb,reviewed,us,us,205,6.1,4.82429268292683,-3.0,35.13990243902439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40263.7,24387.8,24387.8,341.2,1163.8,1118.9,13264.7,0.013990601858306202,0.047720581602276546,0.04587949712561199,0.5439071995013901,0,0,1,0,52.0,41071.0,40263.7,39783.1,38428.1,40014.4,-0.019656205108227288,-0.011936309877134952,-0.006191681340760925,4,0,>3
6,usp0008euq,1998-01-23,1998.0,1.0,AK,"64 km SSE of Nikolski, Alaska",52.379,-168.643,33.0,5.9,mwc,reviewed,us,hrv,205,6.1,4.82429268292683,-3.0,35.13990243902439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40263.7,24387.8,24387.8,341.2,1163.8,1118.9,13264.7,0.013990601858306202,0.047720581602276546,0.04587949712561199,0.5439071995013901,0,0,1,0,62.0,41071.0,40263.7,39783.1,38428.1,40014.4,-0.019656205108227288,-0.011936309877134952,-0.006191681340760925,4,0,>3
7,usp0008eur,1998-01-23,1998.0,1.0,AK,"71 km S of Nikolski, Alaska",52.308,-168.668,33.0,5.2,mb,reviewed,us,us,205,6.1,4.82429268292683,-3.0,35.13990243902439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40263.7,24387.8,24387.8,341.2,1163.8,1118.9,13264.7,0.013990601858306202,0.047720581602276546,0.04587949712561199,0.5439071995013901,0,0,1,0,55.0,41071.0,40263.7,39783.1,38428.1,40014.4,-0.019656205108227288,-0.011936309877134952,-0.006191681340760925,4,0,>3
8,usp0008ev2,1998-01-23,1998.0,1.0,AK,"70 km SSE of Nikolski, Alaska",52.328,-168.615,33.0,5.4,mwc,reviewed,us,hrv,205,6.1,4.82429268292683,-3.0,35.13990243902439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40263.7,24387.8,24387.8,341.2,1163.8,1118.9,13264.7,0.013990601858306202,0.047720581602276546,0.04587949712561199,0.5439071995013901,0,0,1,0,57.0,41071.0,40263.7,39783.1,38428.1,40014.4,-0.019656205108227288,-0.011936309877134952,-0.006191681340760925,4,0,>3
9,usp0008eva,1998-01-23,1998.0,1.0,AK,"77 km SSE of Nikolski, Alaska",52.261,-168.614,33.0,5.3,mwc,reviewed,us,hrv,205,6.1,4.82429268292683,-3.0,35.13990243902439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40263.7,24387.8,24387.8,341.2,1163.8,1118.9,13264.7,0.013990601858306202,0.047720581602276546,0.04587949712561199,0.5439071995013901,0,0,1,0,56.0,41071.0,40263.7,39783.1,38428.1,40014.4,-0.019656205108227288,-0.011936309877134952,-0.006191681340760925,4,0,>3
10,usp0008ezn,1998-01-26,1998.0,1.0,AK,"54 km SSE of Nikolski, Alaska",52.523,-168.423,33.0,4.7,mb,reviewed,us,us,205,6.1,4.82429268292683,-3.0,35.13990243902439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40263.7,24387.8,24387.8,341.2,1163.8,1118.9,13264.7,0.013990601858306202,0.047720581602276546,0.04587949712561199,0.5439071995013901,0,0,1,0,50.0,41071.0,40263.7,39783.1,38428.1,40014.4,-0.019656205108227288,-0.011936309877134952,-0.006191681340760925,4,0,>3
