sample_id,usgs_event_id,event_date,year,month,area,place_name,latitude,longitude,depth_km,magnitude,magnitude_type,review_status,locationSource,magSource,year_earthquake_count,year_max_magnitude,year_avg_magnitude,year_min_depth_km,year_avg_depth_km,year_major_earthquake_flag,noaa_significant_event_count,noaa_deaths_sum,noaa_injuries_sum,noaa_damage_million_usd_sum,noaa_houses_destroyed_sum,noaa_houses_damaged_sum,noaa_max_intensity,noaa_max_magnitude,gdp_real_million_2017usd,gdp_current_million_usd,industry_total_million_usd,industry_agriculture_million_usd,industry_construction_million_usd,industry_manufacturing_million_usd,industry_private_services_million_usd,industry_agriculture_share,industry_construction_share,industry_manufacturing_share,industry_private_services_share,has_noaa_loss_record,major_event_flag,shallow_event_flag,very_shallow_event_flag,event_severity_score,gdp_pre_1y,gdp_pre_2y,gdp_pre_3y,gdp_event_year,gdp_post_1y,gdp_post_2y,gdp_post_3y,gdp_change_event_vs_pre,gdp_growth_pre_1y,gdp_growth_pre_2y,gdp_growth_pre_3y,gdp_decline_from_pre_pct,gdp_growth_next_1y,gdp_growth_next_3y,recovery_cycle_years,recovered_within_horizon,recovery_target_note,damage_to_gdp_ratio,casualties_sum,houses_affected_sum
1,usp0009kvv,2000-01-08,2000.0,1.0,CA,"189 km W of Ferndale, California",40.503,-126.497,25.0,5.4,mwr,reviewed,brk,brk,162,6.5,4.957037037037037,0.0,40.14596913580247,1,1.0,0.0,41.0,50.0,0.0,0.0,7.0,5.0,1784320.6,1354791.3,1354791.3,18152.9,54549.0,205903.1,904467.5,0.013399037918238772,0.04026376608707186,0.15198141588302197,0.6676065162213545,1,0,1,0,62.0,1655438.5,1538612.3,1441226.4,1784320.6,1784567.7,1821509.5,1895287.6,0.07785375294823703,0.07785375294823703,0.07592958927989849,0.06757154878650581,0.0,0.00013848408184037123,0.06219005710072506,0,1,0,3.6906053353014595e-05,41.0,0.0
2,nc21076750,2000-01-11,2000.0,1.0,CA,"6 km N of Geyserville, California",38.7693333,-122.9138333,5.77,4.59,mw,reviewed,nc,nc,162,6.5,4.957037037037037,0.0,40.14596913580247,1,1.0,0.0,41.0,50.0,0.0,0.0,7.0,5.0,1784320.6,1354791.3,1354791.3,18152.9,54549.0,205903.1,904467.5,0.013399037918238772,0.04026376608707186,0.15198141588302197,0.6676065162213545,1,0,1,1,53.9,1655438.5,1538612.3,1441226.4,1784320.6,1784567.7,1821509.5,1895287.6,0.07785375294823703,0.07785375294823703,0.07592958927989849,0.06757154878650581,0.0,0.00013848408184037123,0.06219005710072506,0,1,0,3.6906053353014595e-05,41.0,0.0
3,usp0009mdh,2000-01-20,2000.0,1.0,OR,"238 km WNW of Bandon, Oregon",43.649,-127.257,10.0,6.1,mwc,reviewed,us,hrv,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145094.2,117057.2,117057.2,2750.5,5851.4,21867.7,70887.3,0.02349705955720793,0.049987527465205045,0.18681208844906594,0.6055782984728834,0,1,1,1,74.0,133761.7,130425.1,124840.6,145094.2,144486.5,147432.8,154445.3,0.08472156080552205,0.08472156080552205,0.025582499074181315,0.044733043577169604,0.0,-0.004188313523214654,0.06444847554209593,0,1,0,0.0,0.0,0.0
4,hv1280058,2000-02-18,2000.0,2.0,HI,"12 km SSW of Volcano, Hawaii",19.3331667,-155.2766667,34.379,4.5,md,reviewed,hv,hv,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60745.7,41089.4,41089.4,357.5,1943.9,826.8,29323.8,0.008700540772072602,0.047309038340788624,0.020121977931047908,0.7136585104674198,0,0,1,0,48.0,59612.1,58946.1,60620.2,60745.7,60446.4,62355.2,65623.7,0.019016273541780922,0.019016273541780922,0.011298457404306647,-0.027616207138874478,0.0,-0.004927097720497017,0.08030198022246843,0,1,0,0.0,0.0,0.0
5,ak00034p02su,2000-03-08,2000.0,3.0,AK,"27 km SW of Larsen Bay, Alaska",57.341,-154.2517,39.5,5.4,mw,reviewed,ak,ak,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38428.1,26934.0,26934.0,414.3,1276.3,829.9,14332.4,0.015382044998886167,0.04738620331179921,0.030812356129798768,0.5321303928120591,0,0,1,0,57.0,39783.1,40263.7,41071.0,38428.1,40014.4,41904.7,41235.0,-0.03405968866176844,-0.03405968866176844,-0.011936309877134952,-0.019656205108227288,0.03405968866176844,0.04127968856123521,0.07304290350030321,1,1,1,0.0,0.0,0.0
6,nc21086915,2000-03-16,2000.0,3.0,CA,"85 km WSW of Ferndale, California",40.3886667,-125.2385,4.803,5.7,mw,reviewed,nc,nc,162,6.5,4.957037037037037,0.0,40.14596913580247,1,1.0,0.0,41.0,50.0,0.0,0.0,7.0,5.0,1784320.6,1354791.3,1354791.3,18152.9,54549.0,205903.1,904467.5,0.013399037918238772,0.04026376608707186,0.15198141588302197,0.6676065162213545,1,0,1,1,65.0,1655438.5,1538612.3,1441226.4,1784320.6,1784567.7,1821509.5,1895287.6,0.07785375294823703,0.07785375294823703,0.07592958927989849,0.06757154878650581,0.0,0.00013848408184037123,0.06219005710072506,0,1,0,3.6906053353014595e-05,41.0,0.0
7,usp0009q66,2000-03-26,2000.0,3.0,AK,"79 km SE of Sand Point, Alaska",54.766,-159.759,22.6,4.6,mb,reviewed,aeic,us,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38428.1,26934.0,26934.0,414.3,1276.3,829.9,14332.4,0.015382044998886167,0.04738620331179921,0.030812356129798768,0.5321303928120591,0,0,1,0,49.0,39783.1,40263.7,41071.0,38428.1,40014.4,41904.7,41235.0,-0.03405968866176844,-0.03405968866176844,-0.011936309877134952,-0.019656205108227288,0.03405968866176844,0.04127968856123521,0.07304290350030321,1,1,1,0.0,0.0,0.0
8,hv1284200,2000-04-02,2000.0,4.0,HI,"11 km SSE of Volcano, Hawaii",19.3455,-155.2053333,7.791,5.0,md,reviewed,hv,hv,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60745.7,41089.4,41089.4,357.5,1943.9,826.8,29323.8,0.008700540772072602,0.047309038340788624,0.020121977931047908,0.7136585104674198,0,0,1,1,53.0,59612.1,58946.1,60620.2,60745.7,60446.4,62355.2,65623.7,0.019016273541780922,0.019016273541780922,0.011298457404306647,-0.027616207138874478,0.0,-0.004927097720497017,0.08030198022246843,0,1,0,0.0,0.0,0.0
9,usp0009qys,2000-04-07,2000.0,4.0,AK,"165 km SW of Nikolski, Alaska",51.821,-170.473,33.0,5.3,mwc,reviewed,us,hrv,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38428.1,26934.0,26934.0,414.3,1276.3,829.9,14332.4,0.015382044998886167,0.04738620331179921,0.030812356129798768,0.5321303928120591,0,0,1,0,56.0,39783.1,40263.7,41071.0,38428.1,40014.4,41904.7,41235.0,-0.03405968866176844,-0.03405968866176844,-0.011936309877134952,-0.019656205108227288,0.03405968866176844,0.04127968856123521,0.07304290350030321,1,1,1,0.0,0.0,0.0
10,usp0009qyt,2000-04-07,2000.0,4.0,AK,"164 km SW of Nikolski, Alaska",51.851,-170.492,33.0,5.1,ms,reviewed,us,us,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38428.1,26934.0,26934.0,414.3,1276.3,829.9,14332.4,0.015382044998886167,0.04738620331179921,0.030812356129798768,0.5321303928120591,0,0,1,0,54.0,39783.1,40263.7,41071.0,38428.1,40014.4,41904.7,41235.0,-0.03405968866176844,-0.03405968866176844,-0.011936309877134952,-0.019656205108227288,0.03405968866176844,0.04127968856123521,0.07304290350030321,1,1,1,0.0,0.0,0.0
11,usp0009rn3,2000-04-21,2000.0,4.0,AK,"122 km WSW of Adak, Alaska",51.431,-178.252,33.0,4.5,mb,reviewed,us,us,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38428.1,26934.0,26934.0,414.3,1276.3,829.9,14332.4,0.015382044998886167,0.04738620331179921,0.030812356129798768,0.5321303928120591,0,0,1,0,48.0,39783.1,40263.7,41071.0,38428.1,40014.4,41904.7,41235.0,-0.03405968866176844,-0.03405968866176844,-0.011936309877134952,-0.019656205108227288,0.03405968866176844,0.04127968856123521,0.07304290350030321,1,1,1,0.0,0.0,0.0
12,nc21096137,2000-05-08,2000.0,5.0,CA,"45 km SW of Ferndale, California",40.3283333,-124.6921667,3.62,4.5,mw,reviewed,nc,nc,162,6.5,4.957037037037037,0.0,40.14596913580247,1,1.0,0.0,41.0,50.0,0.0,0.0,7.0,5.0,1784320.6,1354791.3,1354791.3,18152.9,54549.0,205903.1,904467.5,0.013399037918238772,0.04026376608707186,0.15198141588302197,0.6676065162213545,1,0,1,1,53.0,1655438.5,1538612.3,1441226.4,1784320.6,1784567.7,1821509.5,1895287.6,0.07785375294823703,0.07785375294823703,0.07592958927989849,0.06757154878650581,0.0,0.00013848408184037123,0.06219005710072506,0,1,0,3.6906053353014595e-05,41.0,0.0
13,usp0009t6n,2000-05-19,2000.0,5.0,AK,"43 km ESE of Akutan, Alaska",54.001,-165.152,43.9,4.5,mb,reviewed,us,us,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38428.1,26934.0,26934.0,414.3,1276.3,829.9,14332.4,0.015382044998886167,0.04738620331179921,0.030812356129798768,0.5321303928120591,0,0,1,0,48.0,39783.1,40263.7,41071.0,38428.1,40014.4,41904.7,41235.0,-0.03405968866176844,-0.03405968866176844,-0.011936309877134952,-0.019656205108227288,0.03405968866176844,0.04127968856123521,0.07304290350030321,1,1,1,0.0,0.0,0.0
14,usp0009tf8,2000-05-25,2000.0,5.0,AK,"125 km ESE of Nikolski, Alaska",52.633,-167.066,33.0,5.4,mwc,reviewed,us,hrv,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38428.1,26934.0,26934.0,414.3,1276.3,829.9,14332.4,0.015382044998886167,0.04738620331179921,0.030812356129798768,0.5321303928120591,0,0,1,0,57.0,39783.1,40263.7,41071.0,38428.1,40014.4,41904.7,41235.0,-0.03405968866176844,-0.03405968866176844,-0.011936309877134952,-0.019656205108227288,0.03405968866176844,0.04127968856123521,0.07304290350030321,1,1,1,0.0,0.0,0.0
15,usp0009ttw,2000-06-02,2000.0,6.0,OR,off the coast of Oregon,44.513,-130.081,10.0,6.2,mwc,reviewed,us,hrv,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145094.2,117057.2,117057.2,2750.5,5851.4,21867.7,70887.3,0.02349705955720793,0.049987527465205045,0.18681208844906594,0.6055782984728834,0,1,1,1,75.0,133761.7,130425.1,124840.6,145094.2,144486.5,147432.8,154445.3,0.08472156080552205,0.08472156080552205,0.025582499074181315,0.044733043577169604,0.0,-0.004188313523214654,0.06444847554209593,0,1,0,0.0,0.0,0.0
16,usp0009tx3,2000-06-04,2000.0,6.0,AK,"63 km NNW of Atka, Alaska",52.704,-174.633,172.5,4.9,mb,reviewed,us,us,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38428.1,26934.0,26934.0,414.3,1276.3,829.9,14332.4,0.015382044998886167,0.04738620331179921,0.030812356129798768,0.5321303928120591,0,0,0,0,49.0,39783.1,40263.7,41071.0,38428.1,40014.4,41904.7,41235.0,-0.03405968866176844,-0.03405968866176844,-0.011936309877134952,-0.019656205108227288,0.03405968866176844,0.04127968856123521,0.07304290350030321,1,1,1,0.0,0.0,0.0
17,ak0007teigkb,2000-06-18,2000.0,6.0,AK,"79 km NW of White Mountain, Alaska",65.2694,-164.3402,25.4,4.7,mb,reviewed,ak,ak,162,6.5,4.957037037037037,0.0,40.14596913580247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38428.1,26934.0,26934.0,414.3,1276.3,829.9,14332.4,0.015382044998886167,0.04738620331179921,0.030812356129798768,0.5321303928120591,0,0,1,0,50.0,39783.1,40263.7,41071.0,38428.1,40014.4,41904.7,41235.0,-0.03405968866176844,-0.03405968866176844,-0.011936309877134952,-0.019656205108227288,0.03405968866176844,0.04127968856123521,0.07304290350030321,1,1,1,0.0,0.0,0.0
