Date Time, Water Level, Sigma, I, L 
2024-01-01 00:00,0.589,0.016,0,0
2024-01-01 01:00,0.864,0.013,0,0
2024-01-01 02:00,1.144,0.041,0,0
2024-01-01 03:00,1.299,0.046,0,0
2024-01-01 04:00,1.397,0.017,0,0
2024-01-01 05:00,1.442,0.005,0,0
2024-01-01 06:00,1.339,0.006,0,0
2024-01-01 07:00,1.115,0.005,0,0
2024-01-01 08:00,0.771,0.006,0,0
2024-01-01 09:00,0.555,0.006,0,0
2024-01-01 10:00,0.501,0.008,0,0
2024-01-01 11:00,0.587,0.006,0,0
2024-01-01 12:00,0.771,0.007,0,0
2024-01-01 13:00,1.01,0.019,0,0
2024-01-01 14:00,1.253,0.011,0,0
2024-01-01 15:00,1.44,0.02,0,0
2024-01-01 16:00,1.569,0.015,0,0
2024-01-01 17:00,1.609,0.017,0,0
2024-01-01 18:00,1.485,0.015,0,0
2024-01-01 19:00,1.212,0.016,0,0
2024-01-01 20:00,0.867,0.02,0,0
2024-01-01 21:00,0.591,0.019,0,0
2024-01-01 22:00,0.458,0.015,0,0
2024-01-01 23:00,0.425,0.008,0,0
2024-01-02 00:00,0.593,0.014,0,0
2024-01-02 01:00,0.77,0.007,0,0
2024-01-02 02:00,0.958,0.022,0,0
2024-01-02 03:00,1.097,0.027,0,0
2024-01-02 04:00,1.269,0.008,0,0
2024-01-02 05:00,1.419,0.006,0,0
2024-01-02 06:00,1.475,0.016,0,0
2024-01-02 07:00,1.339,0.008,0,0
2024-01-02 08:00,1.04,0.014,0,0
2024-01-02 09:00,0.756,0.015,0,0
2024-01-02 10:00,0.593,0.007,0,0
2024-01-02 11:00,0.568,0.006,0,0
2024-01-02 12:00,0.654,0.036,0,0
2024-01-02 13:00,0.89,0.014,0,0
2024-01-02 14:00,1.145,0.025,0,0
2024-01-02 15:00,1.367,0.018,0,0
2024-01-02 16:00,1.478,0.017,0,0
2024-01-02 17:00,1.489,0.023,0,0
2024-01-02 18:00,1.463,0.02,0,0
2024-01-02 19:00,1.343,0.015,0,0
2024-01-02 20:00,1.151,0.023,0,0
2024-01-02 21:00,0.883,0.031,0,0
2024-01-02 22:00,0.683,0.039,0,0
2024-01-02 23:00,0.571,0.022,0,0
2024-01-03 00:00,0.534,0.021,0,0
2024-01-03 01:00,0.616,0.012,0,0
2024-01-03 02:00,0.78,0.008,0,0
2024-01-03 03:00,1.016,0.01,0,0
2024-01-03 04:00,1.235,0.012,0,0
2024-01-03 05:00,1.43,0.007,0,0
2024-01-03 06:00,1.531,0.008,0,0
2024-01-03 07:00,1.407,0.012,0,0
2024-01-03 08:00,1.183,0.006,0,0
2024-01-03 09:00,0.919,0.007,0,0
2024-01-03 10:00,0.763,0.008,0,0
2024-01-03 11:00,0.662,0.01,0,0
2024-01-03 12:00,0.583,0.067,0,0
2024-01-03 13:00,0.673,0.015,0,0
2024-01-03 14:00,0.856,0.037,0,0
2024-01-03 15:00,1.103,0.029,0,0
2024-01-03 16:00,1.269,0.015,0,0
2024-01-03 17:00,1.359,0.015,0,0
2024-01-03 18:00,1.392,0.012,0,0
2024-01-03 19:00,1.392,0.023,0,0
2024-01-03 20:00,1.241,0.015,0,0
2024-01-03 21:00,0.994,0.033,0,0
2024-01-03 22:00,0.73,0.019,0,0
2024-01-03 23:00,0.591,0.038,0,0
2024-01-04 00:00,0.574,0.03,0,0
2024-01-04 01:00,0.58,0.02,0,0
2024-01-04 02:00,0.68,0.01,0,0
2024-01-04 03:00,0.841,0.008,0,0
2024-01-04 04:00,1.116,0.016,0,0
2024-01-04 05:00,1.384,0.007,0,0
2024-01-04 06:00,1.578,0.006,0,0
2024-01-04 07:00,1.606,0.009,0,0
2024-01-04 08:00,1.427,0.009,0,0
2024-01-04 09:00,1.208,0.006,0,0
2024-01-04 10:00,1.022,0.012,0,0
2024-01-04 11:00,0.89,0.012,0,0
2024-01-04 12:00,0.78,0.052,0,0
2024-01-04 13:00,0.695,0.017,0,0
2024-01-04 14:00,0.763,0.024,0,0
2024-01-04 15:00,0.915,0.019,0,0
2024-01-04 16:00,1.115,0.018,0,0
2024-01-04 17:00,1.257,0.017,0,0
2024-01-04 18:00,1.297,0.015,0,0
2024-01-04 19:00,1.283,0.019,0,0
2024-01-04 20:00,1.237,0.016,0,0
2024-01-04 21:00,1.054,0.035,0,0
2024-01-04 22:00,0.848,0.019,0,0
2024-01-04 23:00,0.612,0.024,0,0
2024-01-05 00:00,0.425,0.025,0,0
2024-01-05 01:00,0.328,0.011,0,0
2024-01-05 02:00,0.309,0.01,0,0
2024-01-05 03:00,0.456,0.007,0,0
2024-01-05 04:00,0.662,0.006,0,0
2024-01-05 05:00,0.986,0.006,0,0
2024-01-05 06:00,1.276,0.006,0,0
2024-01-05 07:00,1.422,0.004,0,0
2024-01-05 08:00,1.382,0.006,0,0
2024-01-05 09:00,1.192,0.006,0,0
2024-01-05 10:00,1.006,0.004,0,0
2024-01-05 11:00,0.811,0.009,0,0
2024-01-05 12:00,0.647,0.04,0,0
2024-01-05 13:00,0.55,0.017,0,0
2024-01-05 14:00,0.508,0.02,0,0
2024-01-05 15:00,0.585,0.023,0,0
2024-01-05 16:00,0.714,0.015,0,0
2024-01-05 17:00,0.866,0.013,0,0
2024-01-05 18:00,1.061,0.028,0,0
2024-01-05 19:00,1.2,0.031,0,0
2024-01-05 20:00,1.268,0.016,0,0
2024-01-05 21:00,1.208,0.028,0,0
